size_gb,phase,t_s,cache_bytes
2,cold,0.161,3658291643
2,cold,10.377,6614341083
14,cold,0.157,16868675229
14,cold,10.369,19708194285
14,cold,20.631,22519924733
14,cold,30.950,25382565309
14,cold,41.403,28131874237
14,cold,51.866,30978879053
14,cold,62.356,33927615517
14,cold,72.941,36797711789
14,cold,83.547,39672575149
14,cold,94.251,42354541037
14,cold,104.943,45268658829
140,cold,0.168,152132533768
140,cold,10.387,155000541432
140,cold,20.668,157796488968
140,cold,30.994,160637058024
140,cold,41.388,163447399864
140,cold,51.871,166011801192
140,cold,62.373,168863561704
140,cold,74.481,171490948792
140,cold,85.181,174324350760
140,cold,95.814,176943923608
140,cold,107.036,179574935064
140,cold,117.768,182128947784
140,cold,128.533,184127039288
140,cold,139.850,186853951064
140,cold,151.983,189406736568
140,cold,163.223,192226044232
140,cold,174.423,194137722760
140,cold,185.441,197106876312
140,cold,196.746,200144561512
140,cold,207.927,202952030424
140,cold,219.108,205983147096
140,cold,230.377,208740617416
140,cold,241.648,211699962424
140,cold,253.054,214539587176
140,cold,264.510,217576413832
140,cold,278.401,220402025608
140,cold,289.886,223405705112
140,cold,304.328,226339350120
140,cold,315.954,229543959688
140,cold,328.808,232808243944
140,cold,340.488,235540287048
140,cold,352.301,238695828120
140,cold,364.127,241867686568
140,cold,376.004,245051372088
140,cold,388.002,248117387352
140,cold,400.005,250876213368
140,enospc,1.641,158981257352
140,enospc,6.947,160667518152
140,enospc,0.400,155402235111
140,enospc,5.641,157183371863
