scheme,size_gb,mode,rep,apply_to_pod_s,pod_to_scheduled_s,scheduled_to_initialized_s,initialized_to_ready_s,ready_to_first200_s,total_s,kubelet_pull,disk_delta_bytes,pod,notes,variant,layers,compression
oci-native,2,cold,1,0.417,0.145,0.052,23.929,0.093,24.636,8.549s,2850545664,b-oci-native-a-2g-cold-1-predictor-77d5468d-fd6x2,,A,1,gzip
oci-native,2,cold,2,0.156,0.094,0.048,24.166,0.084,24.548,8.373s,2850430976,b-oci-native-a-2g-cold-2-predictor-58d465c485-r8j4x,,A,1,gzip
oci-native,2,cold,3,0.405,0.090,0.047,23.938,0.089,24.569,8.387s,2850521088,b-oci-native-a-2g-cold-3-predictor-687f594dc8-xv2sn,,A,1,gzip
oci-native,2,cold,4,0.158,0.094,0.045,23.957,0.087,24.341,8.476s,2850484224,b-oci-native-a-2g-cold-4-predictor-7754c9d97f-77jj2,,A,1,gzip
oci-native,2,cold,5,0.161,0.113,0.047,23.955,0.089,24.365,8.33s,2850476032,b-oci-native-a-2g-cold-5-predictor-668754c79b-vt5m6,,A,1,gzip
oci-native,2,cold,1,0.405,0.093,0.046,20.754,0.089,21.387,5.708s,2850668544,b-oci-native-b-2g-cold-1-predictor-65bc7bbf56-l4swf,,B,8,gzip
oci-native,2,cold,2,0.405,0.090,0.052,20.762,0.092,21.401,5.943s,2850652160,b-oci-native-b-2g-cold-2-predictor-58b5d45d69-dclvr,,B,8,gzip
oci-native,2,cold,3,0.161,0.144,0.049,20.984,0.089,21.427,5.995s,2850582528,b-oci-native-b-2g-cold-3-predictor-7f6657494-dsfm6,,B,8,gzip
oci-native,2,cold,4,0.398,0.144,0.046,20.731,0.087,21.406,6.034s,2850578432,b-oci-native-b-2g-cold-4-predictor-fcfcc94bc-z6d6n,,B,8,gzip
oci-native,2,cold,5,0.161,0.144,0.049,21.035,0.086,21.475,5.728s,2850582528,b-oci-native-b-2g-cold-5-predictor-7744c95b6d-kv2z9,,B,8,gzip
oci-native,2,cold,1,0.400,0.093,0.050,19.971,0.087,20.601,4.879s,2850598912,b-oci-native-d-2g-cold-1-predictor-6cfb5c97b4-lc6ps,,D,8,zstd
oci-native,2,cold,2,0.410,0.094,0.056,21.657,0.090,22.307,5.45s,2850582528,b-oci-native-d-2g-cold-2-predictor-849d974b69-4df6d,,D,8,zstd
oci-native,2,cold,3,0.406,0.090,0.049,19.864,0.087,20.496,4.516s,2850574336,b-oci-native-d-2g-cold-3-predictor-5788d7b886-7tqcg,,D,8,zstd
oci-native,2,cold,4,0.398,0.092,0.053,19.696,0.089,20.328,5.051s,2850586624,b-oci-native-d-2g-cold-4-predictor-f874cffc5-99f56,,D,8,zstd
oci-native,2,cold,5,0.403,0.094,0.048,20.762,0.091,21.398,5.19s,2850582528,b-oci-native-d-2g-cold-5-predictor-6d5f6f5888-b5b28,,D,8,zstd
oci-native,2,warm,1,0.398,0.090,0.051,19.448,0.088,20.075,8.529s,2211487744,b-oci-native-a-2g-warm-1-predictor-7cc4f87967-gjhkb,,A,1,gzip
oci-native,2,warm,2,0.400,0.092,0.054,10.496,0.089,11.131,,163840,b-oci-native-a-2g-warm-2-predictor-7d5bf65bdb-5vxdh,,A,1,gzip
s3,2,cold,1,0.401,0.148,11.122,11.018,0.090,22.779,,2354442240,b-s3-s3-control-2g-cold-1-predictor-7756bb74c8-jz4km,,s3-control,0,none
oci-native,14,cold,1,0.161,0.095,0.048,69.376,0.090,69.770,58.334s,15101140992,b-oci-native-a-14g-cold-1-predictor-69d95c4b-d29lz,,A,1,gzip
oci-native,14,cold,2,0.401,0.091,0.051,71.808,0.092,72.443,56.615s,15735341056,b-oci-native-a-14g-cold-2-predictor-7f748cd59c-jpbtq,,A,1,gzip
oci-native,14,cold,3,0.399,0.147,0.047,72.159,0.085,72.837,56.183s,15735353344,b-oci-native-a-14g-cold-3-predictor-558995f9cb-24rwt,,A,1,gzip
oci-native,14,cold,4,0.404,0.153,0.053,71.997,0.089,72.696,56.013s,15735398400,b-oci-native-a-14g-cold-4-predictor-7485fd4575-x8zcz,,A,1,gzip
oci-native,14,cold,5,0.397,0.149,0.050,71.671,0.087,72.354,56.344s,15735398400,b-oci-native-a-14g-cold-5-predictor-79b58d78b6-fxgf2,,A,1,gzip
oci-native,14,cold,1,0.397,0.090,0.051,53.927,0.089,54.554,37.093s,15735504896,b-oci-native-b-14g-cold-1-predictor-6f9548699b-8kldg,,B,8,gzip
oci-native,14,cold,2,0.398,0.150,0.049,55.933,0.092,56.622,39.797s,15735574528,b-oci-native-b-14g-cold-2-predictor-6bfc4b864c-st2kj,,B,8,gzip
oci-native,14,cold,3,0.162,0.092,0.048,58.375,0.087,58.764,42.374s,15735500800,b-oci-native-b-14g-cold-3-predictor-7f8d6bbdf4-vphlh,,B,8,gzip
oci-native,14,cold,4,0.404,0.093,0.054,57.140,0.117,57.808,41.414s,15735504896,b-oci-native-b-14g-cold-4-predictor-d5c847f77-wddwc,,B,8,gzip
oci-native,14,cold,5,0.403,0.148,0.054,57.988,0.087,58.680,42.611s,15735537664,b-oci-native-b-14g-cold-5-predictor-c44fb468d-rk9hj,,B,8,gzip
oci-native,14,cold,1,0.404,0.098,0.051,51.945,0.092,52.590,36.814s,15735521280,b-oci-native-d-14g-cold-1-predictor-78bbf8d48-9d2sn,,D,8,zstd
oci-native,14,cold,2,0.408,0.093,0.049,52.053,0.086,52.689,36.699s,15735521280,b-oci-native-d-14g-cold-2-predictor-759d59558c-42vnj,,D,8,zstd
oci-native,14,cold,3,0.159,0.146,0.047,52.248,0.089,52.689,36.741s,15735525376,b-oci-native-d-14g-cold-3-predictor-6bd89cd4d6-nhkp5,,D,8,zstd
oci-native,14,cold,4,0.187,0.137,0.051,53.344,0.089,53.808,36.591s,15735492608,b-oci-native-d-14g-cold-4-predictor-77f954597-c7b4h,,D,8,zstd
oci-native,14,cold,5,0.164,0.092,0.046,53.398,0.092,53.792,36.868s,15735500800,b-oci-native-d-14g-cold-5-predictor-77d579b5b-jhc7b,,D,8,zstd
oci-native,14,warm,1,0.404,0.149,0.051,66.554,0.089,67.247,56.367s,15032586240,b-oci-native-a-14g-warm-1-predictor-78949998dc-t6qdm,,A,1,gzip
oci-native,14,warm,2,0.403,0.092,0.052,10.281,0.089,10.917,,63983616,b-oci-native-a-14g-warm-2-predictor-57669d4988-96rmm,,A,1,gzip
s3,14,cold,1,0.160,0.143,49.517,10.991,0.086,60.897,,15239286784,b-s3-s3-control-14g-cold-1-predictor-7bd448d66d-6bbk7,,s3-control,0,none
oci-native,140,cold,1,0.402,0.090,0.048,573.523,0.133,574.196,9m17.19s,151027863552,b-oci-native-a-140g-cold-1-predictor-5c599d6f7b-wjvbc,,A,1,gzip
oci-native,140,cold,2,0.165,0.096,0.047,571.475,0.095,571.878,9m15.113s,151027802112,b-oci-native-a-140g-cold-2-predictor-bc575b89c-7snjn,,A,1,gzip
oci-native,140,cold,3,0.407,0.152,0.052,572.273,0.091,572.975,9m16.516s,151027740672,b-oci-native-a-140g-cold-3-predictor-99d76bf58-4zdwz,,A,1,gzip
oci-native,140,cold,1,0.409,0.096,0.054,438.409,0.094,439.062,7m3.029s,151027920896,b-oci-native-b-140g-cold-1-predictor-5d9b846b8d-8d7vm,,B,8,gzip
oci-native,140,cold,2,0.408,0.094,0.048,447.742,0.092,448.384,7m11.245s,151027982336,b-oci-native-b-140g-cold-2-predictor-695ddb749-tzgjh,,B,8,gzip
oci-native,140,cold,3,0.415,0.151,0.071,448.758,0.092,449.487,7m12.199s,151027949568,b-oci-native-b-140g-cold-3-predictor-6c95fcc8c8-nj74p,,B,8,gzip
oci-native,140,cold,1,0.408,0.100,0.052,383.266,0.092,383.918,6m6.802s,151027900416,b-oci-native-d-140g-cold-1-predictor-77664ff4fb-ww95m,,D,8,zstd
oci-native,140,cold,2,0.410,0.095,0.049,391.902,0.090,392.546,6m16.031s,151028088832,b-oci-native-d-140g-cold-2-predictor-646dfc5bdf-55g8h,,D,8,zstd
oci-native,140,cold,3,0.406,0.097,0.050,395.765,0.093,396.411,6m18.938s,151028023296,b-oci-native-d-140g-cold-3-predictor-778477f678-hq8jx,,D,8,zstd
oci-native,140,warm,1,0.411,0.151,0.051,575.735,0.090,576.438,9m25.223s,150388887552,b-oci-native-a-140g-warm-1-predictor-5b87857d75-r8qgv,,A,1,gzip
oci-native,140,warm,2,0.404,0.145,0.049,10.362,0.089,11.049,,64057344,b-oci-native-a-140g-warm-2-predictor-65f7cdd7f8-blqsm,,A,1,gzip
s3,140,cold,1,0.427,0.100,449.557,11.040,0.089,461.213,,150467956736,b-s3-s3-control-140g-cold-1-predictor-6465b54d94-pxc6f,,s3-control,0,none
estargz-ttfp,2,cold,1,0.499,,,,,17.146,77ms,,b-estargz-ttfp-2g-1-predictor-79d947f656-t8nkn,,E,8,estargz
estargz-ttfp,2,cold,2,0.259,,,,,16.946,69ms,,b-estargz-ttfp-2g-2-predictor-f847c95c7-tqgl6,,E,8,estargz
estargz-ttfp,2,cold,3,0.456,,,,,16.931,64ms,,b-estargz-ttfp-2g-3-predictor-79cbd44658-pf8zv,,E,8,estargz
estargz-ttfp,2,cold,4,0.263,,,,,16.659,59ms,,b-estargz-ttfp-2g-4-predictor-6b8f67cb8c-llgl4,,E,8,estargz
estargz-ttfp,2,cold,5,0.509,,,,,16.428,76ms,,b-estargz-ttfp-2g-5-predictor-579dcfb4fb-qrggl,,E,8,estargz
estargz-read,2,cold,1,,,,,,12.320,,,b-estargz-read-cold-2g-predictor-76dcc8b85-tw6np,,E,8,estargz
estargz-read,2,cold,2,,,,,,11.893,,,b-estargz-read-cold-2g-predictor-76dcc8b85-srhsk,,E,8,estargz
estargz-read,2,cold,3,,,,,,11.976,,,b-estargz-read-cold-2g-predictor-76dcc8b85-ftw8z,,E,8,estargz
estargz-read,2,warm,1,,,,,,10.054,,,b-estargz-read-cold-2g-predictor-76dcc8b85-2n6qt,,E,8,estargz
estargz-read,2,warm,2,,,,,,0.328,,,b-estargz-read-cold-2g-predictor-76dcc8b85-2n6qt,,E,8,estargz
estargz-read,2,warm,3,,,,,,0.335,,,b-estargz-read-cold-2g-predictor-76dcc8b85-2n6qt,,E,8,estargz
estargz-ttfp,14,cold,1,0.460,,,,,16.621,67ms,,b-estargz-ttfp-14g-1-predictor-7b6cd8b78d-t8wx5,,E,8,estargz
estargz-ttfp,14,cold,2,0.508,,,,,16.981,67ms,,b-estargz-ttfp-14g-2-predictor-76bf4ffd87-f9znq,,E,8,estargz
estargz-ttfp,14,cold,3,0.208,,,,,17.688,65ms,,b-estargz-ttfp-14g-3-predictor-58f69d57f4-pk7qt,,E,8,estargz
estargz-ttfp,14,cold,4,0.514,,,,,17.432,71ms,,b-estargz-ttfp-14g-4-predictor-79cd7cc87c-nnncw,,E,8,estargz
estargz-ttfp,14,cold,5,0.507,,,,,17.526,70ms,,b-estargz-ttfp-14g-5-predictor-854cbf5d9b-4dlkc,,E,8,estargz
estargz-read,14,cold,1,,,,,,106.637,,,b-estargz-read-cold-14g-predictor-69bd7545d9-22tdp,,E,8,estargz
estargz-read,14,cold,2,,,,,,102.186,,,b-estargz-read-cold-14g-predictor-69bd7545d9-rwk85,,E,8,estargz
estargz-read,14,cold,3,,,,,,105.323,,,b-estargz-read-cold-14g-predictor-69bd7545d9-65l8z,,E,8,estargz
estargz-read,14,warm,1,,,,,,7.667,,,b-estargz-read-cold-14g-predictor-69bd7545d9-65l8z,,E,8,estargz
estargz-read,14,warm,2,,,,,,6.406,,,b-estargz-read-cold-14g-predictor-69bd7545d9-65l8z,,E,8,estargz
estargz-read,14,warm,3,,,,,,6.421,,,b-estargz-read-cold-14g-predictor-69bd7545d9-65l8z,,E,8,estargz
estargz-ttfp,140,cold,1,0.467,,,,,17.987,1.418s,,b-estargz-ttfp-140g-1-predictor-6f97f7ff46-n7rfd,,E,8,estargz
estargz-ttfp,140,cold,2,0.457,,,,,16.925,100ms,,b-estargz-ttfp-140g-2-predictor-7d86b4d59f-5p4cs,,E,8,estargz
estargz-ttfp,140,cold,3,0.459,,,,,17.717,111ms,,b-estargz-ttfp-140g-3-predictor-6846bb9f6-pmcjw,,E,8,estargz
estargz-ttfp,140,cold,4,0.508,,,,,17.572,112ms,,b-estargz-ttfp-140g-4-predictor-8576579949-sfhz4,,E,8,estargz
estargz-ttfp,140,cold,5,0.505,,,,,17.550,110ms,,b-estargz-ttfp-140g-5-predictor-bc9bd57c4-dx58n,,E,8,estargz
estargz-read,140,cold,1,,,,,,409.807,,,b-estargz-read-cold-140g-predictor-7f4bf6b54c-n6sdj,READ_ERROR_rc1;,E,8,estargz
estargz-read,140,cold,2,,,,,,404.569,,,b-estargz-read-cold-140g-predictor-7f4bf6b54c-b4bdp,READ_ERROR_rc1;,E,8,estargz
estargz-read,140,cold,3,,,,,,400.808,,,b-estargz-read-cold-140g-predictor-7f4bf6b54c-tjqjp,READ_ERROR_rc1;,E,8,estargz
estargz-read,140,warm,1,,,,,,54.329,,,b-estargz-read-cold-140g-predictor-7f4bf6b54c-tjqjp,READ_ERROR_rc1;,E,8,estargz
estargz-read,140,warm,2,,,,,,33.491,,,b-estargz-read-cold-140g-predictor-7f4bf6b54c-tjqjp,READ_ERROR_rc1;,E,8,estargz
estargz-read,140,warm,3,,,,,,33.409,,,b-estargz-read-cold-140g-predictor-7f4bf6b54c-tjqjp,READ_ERROR_rc1;,E,8,estargz
soci-ttfp,14,cold,1,,,,,,601.039,26.925s,,b-soci-ttfp-a-14g-1-predictor-b864754d5-bj4p2,TIMEOUT_READY;TIMEOUT_PREDICT;,A,8,gzip
soci-ttfp,14,cold,2,,,,,,600.612,28.3s,,b-soci-ttfp-a-14g-2-predictor-b7955bd74-6bp82,TIMEOUT_READY;TIMEOUT_PREDICT;,A,8,gzip
soci-ttfp,14,cold,3,,,,,,43.034,27.031s,,b-soci-ttfp-a-14g-3-predictor-7f4d85cb79-5pdgt,,A,8,gzip
soci-read,14,cold,1,,,,,,1.934,,,b-soci-read-a-14g-predictor-7776fb6897-jq7nj,,A,8,gzip
soci-read,14,cold,2,,,,,,1.837,,,b-soci-read-a-14g-predictor-7776fb6897-jdrnf,,A,8,gzip
soci-read,14,cold,3,,,,,,1.899,,,b-soci-read-a-14g-predictor-7776fb6897-tcbn9,,A,8,gzip
soci-read,14,warm,1,,,,,,1.886,,,b-soci-read-a-14g-predictor-7776fb6897-tcbn9,,A,8,gzip
soci-read,14,warm,2,,,,,,1.870,,,b-soci-read-a-14g-predictor-7776fb6897-tcbn9,,A,8,gzip
soci-read,14,warm,3,,,,,,1.937,,,b-soci-read-a-14g-predictor-7776fb6897-tcbn9,,A,8,gzip
soci-ttfp,14,cold,1,,,,,,44.348,28.665s,,b-soci-ttfp-b-14g-1-predictor-79b9bc868f-74p5r,,B,8,gzip
soci-ttfp,14,cold,2,,,,,,42.425,26.47s,,b-soci-ttfp-b-14g-2-predictor-67b4d74654-t8ntd,,B,8,gzip
soci-ttfp,14,cold,3,,,,,,42.164,26.469s,,b-soci-ttfp-b-14g-3-predictor-5f79d9cc6c-x768v,,B,8,gzip
soci-read,14,cold,1,,,,,,1.862,,,b-soci-read-b-14g-predictor-6ddbbbbdcc-c7sqt,,B,8,gzip
soci-read,14,cold,2,,,,,,1.886,,,b-soci-read-b-14g-predictor-6ddbbbbdcc-c9q6j,,B,8,gzip
soci-read,14,cold,3,,,,,,1.908,,,b-soci-read-b-14g-predictor-6ddbbbbdcc-c88v6,,B,8,gzip
soci-read,14,warm,1,,,,,,1.858,,,b-soci-read-b-14g-predictor-6ddbbbbdcc-c88v6,,B,8,gzip
soci-read,14,warm,2,,,,,,1.907,,,b-soci-read-b-14g-predictor-6ddbbbbdcc-c88v6,,B,8,gzip
soci-read,14,warm,3,,,,,,1.867,,,b-soci-read-b-14g-predictor-6ddbbbbdcc-c88v6,,B,8,gzip
