scheme,size_gb,mode,rep,apply_to_pod_s,pod_to_scheduled_s,scheduled_to_initialized_s,initialized_to_ready_s,ready_to_first200_s,total_s,kubelet_pull,disk_delta_bytes,pod,notes,variant,layers,compression
soci-ttfp,14,cold,1,,,,,,38.045,26.582s,,b-soci-ttfp-a-14g-1-predictor-7596b59544-p6fm9,,A,8,gzip
soci-ttfp,14,cold,2,,,,,,42.586,26.489s,,b-soci-ttfp-a-14g-2-predictor-6d97dfdb45-qxqmc,,A,8,gzip
soci-ttfp,14,cold,3,,,,,,42.533,26.517s,,b-soci-ttfp-a-14g-3-predictor-657c4ccdf4-mbqzr,,A,8,gzip
soci-read,14,cold,1,,,,,,1.848,,,b-soci-read-a-14g-predictor-7c5646bc48-crxfq,,A,8,gzip
soci-read,14,cold,2,,,,,,1.912,,,b-soci-read-a-14g-predictor-7c5646bc48-q2xp8,,A,8,gzip
soci-read,14,cold,3,,,,,,1.880,,,b-soci-read-a-14g-predictor-7c5646bc48-vdmvr,,A,8,gzip
soci-read,14,warm,1,,,,,,1.865,,,b-soci-read-a-14g-predictor-7c5646bc48-vdmvr,,A,8,gzip
soci-read,14,warm,2,,,,,,1.886,,,b-soci-read-a-14g-predictor-7c5646bc48-vdmvr,,A,8,gzip
soci-read,14,warm,3,,,,,,1.862,,,b-soci-read-a-14g-predictor-7c5646bc48-vdmvr,,A,8,gzip
soci-ttfp,14,cold,1,,,,,,42.509,26.508s,,b-soci-ttfp-b-14g-1-predictor-65f546c8cd-cmq8g,,B,8,gzip
soci-ttfp,14,cold,2,,,,,,42.486,26.463s,,b-soci-ttfp-b-14g-2-predictor-685448fc79-s6n5r,,B,8,gzip
soci-ttfp,14,cold,3,,,,,,42.526,26.494s,,b-soci-ttfp-b-14g-3-predictor-f6947789b-wttql,,B,8,gzip
soci-read,14,cold,1,,,,,,1.863,,,b-soci-read-b-14g-predictor-5654f6ccdb-dbs6n,,B,8,gzip
soci-read,14,cold,2,,,,,,1.912,,,b-soci-read-b-14g-predictor-5654f6ccdb-slvw4,,B,8,gzip
soci-read,14,cold,3,,,,,,1.863,,,b-soci-read-b-14g-predictor-5654f6ccdb-b9gqt,,B,8,gzip
soci-read,14,warm,1,,,,,,1.871,,,b-soci-read-b-14g-predictor-5654f6ccdb-b9gqt,,B,8,gzip
soci-read,14,warm,2,,,,,,1.893,,,b-soci-read-b-14g-predictor-5654f6ccdb-b9gqt,,B,8,gzip
soci-read,14,warm,3,,,,,,1.902,,,b-soci-read-b-14g-predictor-5654f6ccdb-b9gqt,,B,8,gzip
