NAMESPACE            LAST SEEN   TYPE      REASON                  OBJECT                                         MESSAGE
bench                29m         Normal    Pulling                 pod/smoke-probe                                Pulling image "172.31.49.141:5000/custom-predictor:v4"
bench                29m         Normal    Pulled                  pod/smoke-probe                                Successfully pulled image "172.31.49.141:5000/model-ballast:estargz-140g" in 165ms (165ms including waiting). Image size: 150374664101 bytes.
bench                29m         Normal    Pulling                 pod/smoke-probe                                Pulling image "172.31.49.141:5000/model-ballast:estargz-140g"
bench                29m         Normal    Scheduled               pod/smoke-probe                                Successfully assigned bench/smoke-probe to ocibench-control-plane
bench                29m         Warning   Unhealthy               pod/smoke-probe                                Readiness probe failed: Get "http://10.244.0.6:8080/healthz": dial tcp 10.244.0.6:8080: connect: connection refused
bench                29m         Normal    Created                 pod/smoke-probe                                Container created
bench                29m         Normal    Pulled                  pod/smoke-probe                                Successfully pulled image "172.31.49.141:5000/custom-predictor:v4" in 1.182s (1.182s including waiting). Image size: 48519468 bytes.
bench                29m         Normal    Started                 pod/smoke-probe                                Container started
bench                29m         Normal    Pulled                  pod/smoke-probe                                Container image "172.31.49.141:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench                29m         Normal    Killing                 pod/smoke-probe                                Stopping container predictor
bench                28m         Normal    Pulled                  pod/s5-probe                                   Container image "172.31.49.141:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench                28m         Normal    Scheduled               pod/s5-probe                                   Successfully assigned bench/s5-probe to ocibench-control-plane
bench                28m         Normal    Created                 pod/s5-probe                                   Container created
bench                28m         Normal    Started                 pod/s5-probe                                   Container started
bench                28m         Warning   Unhealthy               pod/s5-probe                                   Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
bench                26m         Normal    Pulled                  pod/s5-probe                                   Container image "172.31.49.141:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench                25m         Warning   Evicted                 pod/s5-probe                                   The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 820872Ki. Container predictor was using 2268Ki, request is 0, has larger consumption of ephemeral-storage.
bench                25m         Normal    Killing                 pod/s5-probe                                   Stopping container predictor
bench                25m         Warning   FailedScheduling        pod/s5-probe                                   0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
bench                25m         Normal    Scheduled               pod/s5-probe                                   Successfully assigned bench/s5-probe to ocibench-control-plane
bench                25m         Normal    Pulled                  pod/s5-probe                                   Successfully pulled image "172.31.49.141:5000/model-ballast:estargz-140g" in 132ms (132ms including waiting). Image size: 150374664101 bytes.
bench                25m         Normal    Pulling                 pod/s5-probe                                   Pulling image "172.31.49.141:5000/custom-predictor:v4"
bench                25m         Normal    Pulling                 pod/s5-probe                                   Pulling image "172.31.49.141:5000/model-ballast:estargz-140g"
bench                25m         Normal    Created                 pod/s5-probe                                   Container created
bench                25m         Normal    Pulled                  pod/s5-probe                                   Successfully pulled image "172.31.49.141:5000/custom-predictor:v4" in 1.054s (1.054s including waiting). Image size: 48519468 bytes.
bench                25m         Normal    Started                 pod/s5-probe                                   Container started
bench                22m         Normal    Pulled                  pod/s5-probe                                   Container image "172.31.49.141:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench                22m         Normal    Killing                 pod/s5-probe                                   Stopping container predictor
bench                22m         Warning   Unhealthy               pod/s5-probe                                   Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
bench                21m         Normal    Scheduled               pod/s4-probe                                   Successfully assigned bench/s4-probe to ocibench-control-plane
bench                21m         Warning   Unhealthy               pod/s4-probe                                   Readiness probe failed: Get "http://10.244.0.9:8080/healthz": dial tcp 10.244.0.9:8080: connect: connection refused
bench                21m         Normal    Started                 pod/s4-probe                                   Container started
bench                21m         Normal    Created                 pod/s4-probe                                   Container created
bench                21m         Normal    Pulled                  pod/s4-probe                                   Container image "172.31.49.141:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench                21m         Normal    Pulled                  pod/s4-probe                                   Container image "172.31.49.141:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench                21m         Normal    Killing                 pod/s4-probe                                   Stopping container predictor
bench                21m         Warning   Evicted                 pod/s4-probe                                   The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 8885644Ki. Container predictor was using 2264Ki, request is 0, has larger consumption of ephemeral-storage.
default              20m         Normal    NodeHasNoDiskPressure   node/ocibench-control-plane                    Node ocibench-control-plane status is now: NodeHasNoDiskPressure
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-8kkz7    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-gw8mr    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-gw8mr to ocibench-control-plane
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-8kkz7
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-rsxmx
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-nx57r
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-rtgdz
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-ffgjs
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-r99dt
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-696t7    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-696t7 to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-696t7    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-gw8mr
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-696t7
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-8kkz7    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-8kkz7 to ocibench-control-plane
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-c7dtb
local-path-storage   16m         Normal    Killing                 pod/local-path-provisioner-855c7b7774-vm5dq    Stopping container local-path-provisioner
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-vm5dq    The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 0. Container local-path-provisioner was using 4Ki, request is 0, has larger consumption of ephemeral-storage.
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-rtgdz    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-rtgdz    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-rtgdz to ocibench-control-plane
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-c7dtb    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-c7dtb to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-c7dtb    The node had condition: [DiskPressure].
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-rsxmx    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-rsxmx    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-rsxmx to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-r99dt    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-ffgjs    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-ffgjs to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-ffgjs    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-r99dt    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-r99dt to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-nx57r    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-nx57r    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-nx57r to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-gw8mr    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-tscgc    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-tscgc to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-d2vqb    The node had condition: [DiskPressure].
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-znfgb    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-znfgb    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-znfgb to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-tscgc    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-8zmz7    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-8zmz7 to ocibench-control-plane
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-jhdnq    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-jhdnq to ocibench-control-plane
