Sep 09 07:48:28 ocibench-control-plane kubelet[828]: I0909 07:48:28.378938     828 eviction_manager.go:381] "Eviction manager: attempting to reclaim" resourceName="ephemeral-storage"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: I0909 07:48:28.392427     828 eviction_manager.go:392] "Eviction manager: must evict pod(s) to reclaim" resourceName="ephemeral-storage"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: I0909 07:48:28.392552     828 eviction_manager.go:410] "Eviction manager: pods ranked for eviction" pods=["kube-system/coredns-589f44dc88-gwclp","kube-system/coredns-589f44dc88-z5rds","kube-system/kindnet-hpsp8","kube-system/kube-apiserver-ocibench-control-plane","kube-system/kube-controller-manager-ocibench-control-plane","kube-system/etcd-ocibench-control-plane","kube-system/kube-proxy-gbtkr","kube-system/kube-scheduler-ocibench-control-plane"]
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392577     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/coredns-589f44dc88-gwclp"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392584     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/coredns-589f44dc88-z5rds"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392590     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kindnet-hpsp8"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392596     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-apiserver-ocibench-control-plane"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392601     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-controller-manager-ocibench-control-plane"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392606     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/etcd-ocibench-control-plane"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392611     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-proxy-gbtkr"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: E0909 07:48:28.392616     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-scheduler-ocibench-control-plane"
Sep 09 07:48:28 ocibench-control-plane kubelet[828]: I0909 07:48:28.392622     828 eviction_manager.go:444] "Eviction manager: unable to evict any pods from the node"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: I0909 07:48:38.400430     828 eviction_manager.go:381] "Eviction manager: attempting to reclaim" resourceName="ephemeral-storage"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: I0909 07:48:38.412259     828 eviction_manager.go:392] "Eviction manager: must evict pod(s) to reclaim" resourceName="ephemeral-storage"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: I0909 07:48:38.412394     828 eviction_manager.go:410] "Eviction manager: pods ranked for eviction" pods=["kube-system/coredns-589f44dc88-gwclp","kube-system/coredns-589f44dc88-z5rds","kube-system/kindnet-hpsp8","kube-system/kube-apiserver-ocibench-control-plane","kube-system/etcd-ocibench-control-plane","kube-system/kube-controller-manager-ocibench-control-plane","kube-system/kube-proxy-gbtkr","kube-system/kube-scheduler-ocibench-control-plane"]
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412417     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/coredns-589f44dc88-gwclp"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412425     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/coredns-589f44dc88-z5rds"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412432     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kindnet-hpsp8"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412437     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-apiserver-ocibench-control-plane"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412443     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/etcd-ocibench-control-plane"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412448     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-controller-manager-ocibench-control-plane"
Sep 09 07:48:38 ocibench-control-plane kubelet[828]: E0909 07:48:38.412454     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-proxy-gbtkr"
