t_s,cache_pct,imagefs_avail,imagefs_used,imagefs_avail_pct,disk_pressure,pod_phase,pod_ready,pod_reason
0.117,100,0,741376,0.00,True,,,
5.234,100,0,741376,0.00,True,,,
10.352,100,0,741376,0.00,True,,,
15.469,100,0,741376,0.00,True,,,
20.589,100,0,741376,0.00,True,,,
25.716,100,0,741376,0.00,True,,,
30.841,100,0,741376,0.00,True,,,
35.960,100,0,741376,0.00,True,,,
41.081,100,0,741376,0.00,True,,,
46.202,100,0,741376,0.00,True,,,
51.321,100,0,741376,0.00,True,,,
56.443,100,0,741376,0.00,True,,,
61.564,100,0,741376,0.00,True,,,
66.693,100,0,741376,0.00,True,,,
71.816,100,0,741376,0.00,True,,,
76.944,100,0,741376,0.00,True,,,
82.062,100,0,741376,0.00,True,,,
87.181,100,0,741376,0.00,True,,,
92.302,100,0,741376,0.00,True,,,
97.423,100,0,741376,0.00,True,,,
102.543,100,0,741376,0.00,True,,,
107.664,100,0,741376,0.00,True,,,
112.786,100,0,741376,0.00,True,,,
117.904,100,0,741376,0.00,True,,,
123.022,100,0,741376,0.00,True,,,
128.149,100,0,741376,0.00,True,,,
133.265,100,0,741376,0.00,True,,,
138.382,100,0,741376,0.00,True,,,
143.500,100,0,741376,0.00,True,,,
148.623,100,0,741376,0.00,True,,,
