t_s,cache_pct,imagefs_avail,imagefs_used,imagefs_avail_pct,disk_pressure,pod_phase,pod_ready,pod_reason
0.233,100,0,741376,0.00,True,Pending,false,
5.459,100,0,741376,0.00,True,Pending,false,
10.685,100,0,741376,0.00,True,Pending,false,
15.924,100,0,741376,0.00,True,Pending,false,
21.149,100,0,741376,0.00,True,Pending,false,
26.379,100,0,741376,0.00,True,Pending,false,
31.607,100,0,741376,0.00,True,Pending,false,
36.838,100,0,741376,0.00,True,Pending,false,
42.066,100,0,741376,0.00,True,Pending,false,
47.292,100,0,741376,0.00,True,Pending,false,
52.520,100,0,741376,0.00,True,Pending,false,
57.748,100,0,741376,0.00,True,Pending,false,
62.979,100,0,741376,0.00,True,Pending,false,
68.205,100,0,741376,0.00,True,Pending,false,
73.436,100,0,741376,0.00,True,Pending,false,
78.662,100,0,741376,0.00,True,Pending,false,
83.891,100,0,741376,0.00,True,Pending,false,
89.115,100,0,741376,0.00,True,Pending,false,
94.340,100,0,741376,0.00,True,Pending,false,
99.574,100,0,741376,0.00,True,Pending,false,
104.804,100,0,741376,0.00,True,Pending,false,
110.029,100,0,741376,0.00,True,Pending,false,
115.255,100,0,741376,0.00,True,Pending,false,
120.487,100,0,741376,0.00,True,Pending,false,
125.717,100,0,741376,0.00,True,Pending,false,
130.946,100,0,741376,0.00,True,Pending,false,
136.171,100,0,741376,0.00,True,Pending,false,
141.402,100,0,741376,0.00,True,Pending,false,
146.632,100,0,741376,0.00,True,Pending,false,
