NAMESPACE   LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
bench       58m         Normal    Scheduled                pod/smoke-probe                     Successfully assigned bench/smoke-probe to ocibench-control-plane
bench       58m         Normal    Pulling                  pod/smoke-probe                     Pulling image "172.31.48.227:5000/custom-predictor:v4"
bench       58m         Normal    Pulling                  pod/smoke-probe                     Pulling image "172.31.48.227:5000/model-ballast:estargz-140g"
bench       58m         Normal    Pulled                   pod/smoke-probe                     Successfully pulled image "172.31.48.227:5000/model-ballast:estargz-140g" in 139ms (139ms including waiting). Image size: 150374665258 bytes.
bench       58m         Normal    Started                  pod/smoke-probe                     Container started
bench       58m         Normal    Created                  pod/smoke-probe                     Container created
bench       58m         Normal    Pulled                   pod/smoke-probe                     Successfully pulled image "172.31.48.227:5000/custom-predictor:v4" in 1.037s (1.037s including waiting). Image size: 48519468 bytes.
bench       58m         Warning   Unhealthy                pod/smoke-probe                     Readiness probe failed: Get "http://10.244.0.6:8080/healthz": dial tcp 10.244.0.6:8080: connect: connection refused
bench       58m         Normal    Pulled                   pod/smoke-probe                     Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       58m         Normal    Killing                  pod/smoke-probe                     Stopping container predictor
bench       57m         Normal    Created                  pod/s1-probe                        Container created
bench       57m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       57m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       57m         Normal    Started                  pod/s1-probe                        Container started
bench       56m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       55m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       55m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
bench       55m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       55m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       55m         Normal    Created                  pod/s1-probe                        Container created
bench       55m         Normal    Started                  pod/s1-probe                        Container started
bench       54m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       53m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       53m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
