ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789067533,2026-09-10T19:12:13Z,435348530,2.71575756e+08,1.63772774e+08,530375756,365127676,895503432,1361195008,8e+10,0.005441856625,0,0,0,0,0,1,0
1789067549,2026-09-10T19:12:29Z,5362333953,2.753253637e+09,2.609080316e+09,2976953637,2835572732,5812526369,6350110720,8e+10,0.0670291744125,0,0,0,2,0,1,0
1789067565,2026-09-10T19:12:45Z,9791876465,4.968203637e+09,4.823672828e+09,5210953637,5071136764,10282090401,11011026944,8e+10,0.1223984558125,0,0,0,2,0,0,0
1789067581,2026-09-10T19:13:01Z,14337539233,7.240553637e+09,7.096985596e+09,7483203637,7342352380,14825556017,15756578816,8e+10,0.1792192404125,0,0,0,2,0,0,0
1789067598,2026-09-10T19:13:18Z,18870463393,9.508553637e+09,9.361909756e+09,9723553637,9596790780,19320344417,20465004544,8e+10,0.2358807924125,0,0,0,2,0,1,0
1789067615,2026-09-10T19:13:35Z,23569123633,1.1858403637e+10,1.1710719996e+10,12023303637,11899463676,23922767313,25277177856,8e+10,0.2946140454125,0,0,0,2,0,0,0
1789067632,2026-09-10T19:13:52Z,28200329441,1.4174353637e+10,1.4025975804e+10,14395953637,14252468220,28648421857,30198677504,8e+10,0.3525041180125,0,0,0,2,0,1,0
1789067649,2026-09-10T19:14:09Z,32638566257,1.6393803637e+10,1.624476262e+10,16664803637,16580306940,33245110577,35040550912,8e+10,0.4079820782125,0,0,0,2,0,0,0
1789067667,2026-09-10T19:14:27Z,37620182833,1.8884003637e+10,1.8736179196e+10,19248703637,19126249468,38374953105,40417271808,8e+10,0.4702522854125,0,0,0,2,0,0,0
1789067684,2026-09-10T19:14:44Z,42681798145,2.1416453637e+10,2.1265344508e+10,21721553637,21638637564,43360191201,45727002624,8e+10,0.5335224768125,0,0,0,2,0,0,0
1789067703,2026-09-10T19:15:03Z,47771890673,2.3960603637e+10,2.3811287036e+10,24140003637,24067139580,48207143217,50718883840,8e+10,0.5971486334125,0,0,0,2,0,1,0
1789067721,2026-09-10T19:15:21Z,53009186369,2.6580653637e+10,2.6428532732e+10,26749403637,26713745404,53463149041,56242716672,8e+10,0.6626148296125,0,0,0,2,0,0,0
1789067741,2026-09-10T19:15:41Z,57733179521,2.8943253637e+10,2.8789925884e+10,29276603637,29209356284,58485959921,61487837184,8e+10,0.7216647440125,0,0,0,2,0,0,0
1789067760,2026-09-10T19:16:00Z,62783450529,3.1468553637e+10,3.1314896892e+10,31822403637,31683995644,63506399281,66558267392,8e+10,0.7847931316125,0,0,0,2,0,1,0
1789067779,2026-09-10T19:16:19Z,67876143057,3.4015303637e+10,3.386083942e+10,34174653637,34154440700,68329094337,71674941440,8e+10,0.8484517882125,0,0,0,2,0,1,0
1789067798,2026-09-10T19:16:38Z,72172176705,3.6163853637e+10,3.6008323068e+10,36433753637,36398393340,72832146977,76410736640,8e+10,0.9021522088125,0,0,0,2,0,0,0
1789067817,2026-09-10T19:16:57Z,75781406256,3.797395e+10,3.7807456256e+10,38295150000,37811650560,76106800560,78952820736,8e+10,0.9472675782,16384,1625966145,0,2,0,1,0
1789067837,2026-09-10T19:17:17Z,75666394864,3.785055e+10,3.7815844864e+10,38188250000,37996199936,76184449936,78914605056,8e+10,0.9458299358,69632,6758371329,0,2,0,1,0
1789067857,2026-09-10T19:17:37Z,75681656256,3.78742e+10,3.7807456256e+10,37878000000,37843107840,75721107840,78710927360,8e+10,0.9460207032,118783,11648627777,0,2,0,0,0
1789067877,2026-09-10T19:17:57Z,75787199296,3.79378e+10,3.7849399296e+10,38046950000,37782290432,75829240432,78971879424,8e+10,0.9473399912,163839,16118630417,0,2,0,0,0
1789067896,2026-09-10T19:18:16Z,75813576512,3.79474e+10,3.7866176512e+10,38076100000,37853593600,75929693600,79097827328,8e+10,0.9476697064,217087,21375364721,0,2,0,0,0
1789067915,2026-09-10T19:18:35Z,75656381373,3.7874090941e+10,3.7782290432e+10,38116440941,38004588544,76121029485,78800625664,8e+10,0.9457047671625,270335,26644531937,0,2,0,0,0
1789067934,2026-09-10T19:18:54Z,75887821756,3.799647942e+10,3.7891342336e+10,37978359611,37849399296,75827758907,79118180352,8e+10,0.94859777195,319487,31514116865,0,2,0,0,0
1789067954,2026-09-10T19:19:14Z,75664421707,3.7848576843e+10,3.7815844864e+10,38060176843,38126223360,76186400203,79116734464,8e+10,0.9458052713375,376831,37108268897,0,2,0,0,0
1789067973,2026-09-10T19:19:33Z,75691684363,3.7921976843e+10,3.776970752e+10,37958826843,37933285376,75892112219,78737530880,8e+10,0.9461460545375,425983,42081461425,0,2,0,0,0
1789067993,2026-09-10T19:19:53Z,75633351451,3.7876226843e+10,3.7757124608e+10,38154626843,37853593600,76008220443,79083630592,8e+10,0.9454168931375,479231,47313329905,0,2,0,0,0
1789068012,2026-09-10T19:20:12Z,75769060315,3.7944826843e+10,3.7824233472e+10,38101326843,38130417664,76231744507,78793236480,8e+10,0.9471132539375,536575,52977935105,0,2,0,1,0
1789068032,2026-09-10T19:20:32Z,75833791963,3.7959226843e+10,3.787456512e+10,38090876843,38021365760,76112242603,78872649728,8e+10,0.9479223995375,585727,57801932689,0,2,0,0,0
1789068051,2026-09-10T19:20:51Z,75932879307,3.8012176843e+10,3.7920702464e+10,38084976843,37962645504,76047622347,79143104512,8e+10,0.9491609913375,638975,63066955601,0,2,0,0,0
1789068070,2026-09-10T19:21:10Z,75825813483,3.7930276843e+10,3.789553664e+10,38084326843,38130417664,76214744507,78653345792,8e+10,0.9478226685375,692223,68273958257,0,2,0,1,0
1789068090,2026-09-10T19:21:30Z,75596057147,3.7843126843e+10,3.7752930304e+10,37928876843,38071697408,76000574251,79352008704,8e+10,0.9449507143375,745471,73588712817,0,2,0,0,0
1789068109,2026-09-10T19:21:49Z,75528481195,3.7830076843e+10,3.7698404352e+10,38179976843,37933285376,76113262219,79115317248,8e+10,0.9441060149375,802815,79294761057,0,2,0,0,0
1789068128,2026-09-10T19:22:08Z,75623895755,3.7862576843e+10,3.7761318912e+10,38191476843,37987811328,76179288171,79001096192,8e+10,0.9452986969375,856063,84526629537,0,2,0,0,0
1789068147,2026-09-10T19:22:27Z,75791924875,3.7904776843e+10,3.7887148032e+10,37962126843,37958451200,75920578043,78672257024,8e+10,0.9473990609375,913407,90112492961,0,2,0,1,0
1789068166,2026-09-10T19:22:46Z,75618351451,3.7861226843e+10,3.7757124608e+10,38241476843,38012977152,76254453995,79292563456,8e+10,0.9452293931375,966655,95456257649,0,2,0,0,0
1789068185,2026-09-10T19:23:05Z,75958776701,3.8033879933e+10,3.7924896768e+10,38002466351,38092668928,76095135279,78621974528,8e+10,0.9494847087625,1015807,100317550879,0,2,0,0,0
1789068204,2026-09-10T19:23:24Z,75545414661,3.7821844485e+10,3.7723570176e+10,38011847423,37899730944,75911578367,78947688448,8e+10,0.9443176832625,1077247,106377579511,0,2,0,0,0
1789068224,2026-09-10T19:23:44Z,75587686000,3.783895e+10,3.7748736e+10,38019200000,38054920192,76074120192,79069634560,8e+10,0.944846075,1134591,112038034892,0,2,0,0,0
1789068243,2026-09-10T19:24:03Z,75951202464,3.80305e+10,3.7920702464e+10,38177000000,37920702464,76097702464,79299260416,8e+10,0.9493900308,1183743,116911764124,0,2,0,1,0
1789068262,2026-09-10T19:24:22Z,75806187904,3.79484e+10,3.7857787904e+10,38013900000,38071697408,76085597408,78975979520,8e+10,0.9475773488,1236991,122156065516,0,2,0,0,0
1789068282,2026-09-10T19:24:42Z,75633151824,3.785925e+10,3.7773901824e+10,38050800000,37971034112,76021834112,78912835584,8e+10,0.9454143978,1298431,128220253004,0,2,0,1,0
1789068301,2026-09-10T19:25:01Z,75949486640,3.805395e+10,3.789553664e+10,38750750000,38637928448,77388678448,79954915328,8e+10,0.949368583,1339391,132344549308,0,2,2041,0,0
1789068320,2026-09-10T19:25:20Z,75763466384,3.792665e+10,3.7836816384e+10,38561450000,38398853120,76960303120,79715508224,8e+10,0.9470433298,1400831,138350716540,0,2,8464,0,0
1789068339,2026-09-10T19:25:39Z,75554798656,3.78522e+10,3.7702598656e+10,38438700000,38281412608,76720112608,79814868992,8e+10,0.9444349832,1454079,143665471100,0,2,8464,0,0
1789068358,2026-09-10T19:25:58Z,75781453728,3.78985e+10,3.7882953728e+10,38305750000,38394658816,76700408816,79700832256,8e+10,0.9472681716,1507327,148797876284,0,2,8464,0,0
1789068378,2026-09-10T19:26:18Z,75904479680,3.7967e+10,3.793747968e+10,38322300000,38319161344,76641461344,79984652288,8e+10,0.948805996,1564671,154474914396,0,2,8464,0,0
1789068397,2026-09-10T19:26:37Z,75938385376,3.80051e+10,3.7933285376e+10,38427850000,38386270208,76814120208,79425511424,8e+10,0.9492298172,1622015,160185106940,0,2,8464,0,0
1789068416,2026-09-10T19:26:56Z,75988222720,3.80088e+10,3.797942272e+10,38371900000,38394658816,76766558816,79723479040,8e+10,0.949852784,1675263,165404542508,0,2,8464,0,0
1789068435,2026-09-10T19:27:15Z,75564558784,3.78326e+10,3.7731958784e+10,38465850000,38491127808,76956977808,79631011840,8e+10,0.9445569848,1736703,171543327468,0,2,8464,0,0
1789068455,2026-09-10T19:27:35Z,75993312592,3.804325e+10,3.7950062592e+10,38550700000,38388367360,76939067360,79792553984,8e+10,0.9499164074,1785855,176392190876,0,2,8464,0,0
1789068474,2026-09-10T19:27:54Z,75921069552,3.801295e+10,3.7908119552e+10,38436000000,38465961984,76901961984,79873937408,8e+10,0.9490133694,1843199,182069228988,0,2,8464,0,0
1789068494,2026-09-10T19:28:14Z,75676283472,3.785205e+10,3.7824233472e+10,38570100000,38478544896,77048644896,80831811584,8e+10,0.9459535434,1896447,187255510124,0,2,8464,0,0
1789068513,2026-09-10T19:28:33Z,75669429040,3.787875e+10,3.779067904e+10,38838950000,38650511360,77489461360,80188706816,8e+10,0.945867863,1949695,192578553292,0,2,11296,1,0
1789068532,2026-09-10T19:28:52Z,75993973984,3.80523e+10,3.7941673984e+10,39060900000,39086718976,78147618976,80193540096,8e+10,0.9499246748,1994751,197052700236,0,2,11296,0,0
1789068551,2026-09-10T19:29:11Z,75815593600,3.7962e+10,3.78535936e+10,38654350000,38698745856,77353095856,80655679488,8e+10,0.94769492,2052095,202717305436,0,2,14085,0,0
1789068571,2026-09-10T19:29:31Z,75758900560,3.794725e+10,3.781165056e+10,38707800000,38679871488,77387671488,80384016384,8e+10,0.946986257,2109439,208410920764,0,2,14085,0,0
1789068590,2026-09-10T19:29:50Z,75986006896,3.803175e+10,3.7954256896e+10,38692500000,38709231616,77401731616,80436961280,8e+10,0.9498250862,2158591,213210052524,0,2,14085,0,0
1789068609,2026-09-10T19:30:09Z,75950812592,3.800075e+10,3.7950062592e+10,38580000000,38591791104,77171791104,80183984128,8e+10,0.9493851574,2215935,218849791900,0,2,14085,0,0
1789068628,2026-09-10T19:30:28Z,75516498656,3.78139e+10,3.7702598656e+10,38729900000,38612762624,77342662624,80354566144,8e+10,0.9439562332,2273279,224576561660,0,2,14085,0,0
