LAST SEEN   TYPE      REASON             OBJECT             MESSAGE
52m         Normal    Scheduled          pod/smoke          Successfully assigned bench/smoke to ocibench-control-plane
52m         Normal    Pulling            pod/smoke          Pulling image "172.31.57.168:5000/model-ballast:estargz-14g"
52m         Normal    Pulled             pod/smoke          Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-14g" in 148ms (148ms including waiting). Image size: 15039532031 bytes.
52m         Normal    Pulling            pod/smoke          Pulling image "172.31.57.168:5000/custom-predictor:v5"
52m         Normal    Pulled             pod/smoke          Successfully pulled image "172.31.57.168:5000/custom-predictor:v5" in 1.18s (1.18s including waiting). Image size: 48519468 bytes.
52m         Normal    Created            pod/smoke          Container created
52m         Normal    Started            pod/smoke          Container started
52m         Normal    Pulled             pod/smoke          Container image "172.31.57.168:5000/model-ballast:estargz-14g" already present on machine and can be accessed by the pod
52m         Normal    Killing            pod/smoke          Stopping container predictor
52m         Warning   Unhealthy          pod/smoke          Readiness probe failed: Get "http://10.244.0.6:8080/healthz": dial tcp 10.244.0.6:8080: connect: connection refused
31m         Normal    Scheduled          pod/v1-sweep       Successfully assigned bench/v1-sweep to ocibench-control-plane
31m         Normal    Pulling            pod/v1-sweep       Pulling image "172.31.57.168:5000/model-ballast:estargz-140g"
31m         Normal    Pulled             pod/v1-sweep       Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-140g" in 228ms (228ms including waiting). Image size: 150374663046 bytes.
31m         Normal    Pulled             pod/v1-sweep       Container image "172.31.57.168:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
31m         Normal    Created            pod/v1-sweep       Container created
31m         Normal    Started            pod/v1-sweep       Container started
13m         Normal    Pulled             pod/v1-sweep       Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
12m         Normal    Killing            pod/v1-sweep       Stopping container predictor
