ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789068915,2026-09-10T19:35:15Z,318315509,3.14953637e+08,3.361872e+06,482203637,4389601,486593238,1529696256,8e+10,0.0039789438625,0,0,0,0,0,1,0
1789068927,2026-09-10T19:35:27Z,8675634412,4.409803637e+09,4.265830775e+09,4924886405,4811090295,9735976700,10852790272,8e+10,0.10844543015,0,0,0,0,0,4,0
1789068938,2026-09-10T19:35:38Z,18538832748,9.411803637e+09,9.127029111e+09,9581303637,9543805303,19125108940,20850450432,8e+10,0.23173540935,0,0,0,0,0,2,0
1789068950,2026-09-10T19:35:50Z,22729484748,1.1505303637e+10,1.1224181111e+10,11779403637,11526170999,23305574636,24802566144,8e+10,0.28411855935,0,0,0,2,0,0,0
1789068962,2026-09-10T19:36:02Z,26237403820,1.3260003637e+10,1.2977400183e+10,13495753637,13237447031,26733200668,28451610624,8e+10,0.32796754775,0,0,0,2,0,0,0
1789068974,2026-09-10T19:36:14Z,29484299468,1.4883703637e+10,1.4600595831e+10,15176453637,14957111671,30133565308,32018591744,8e+10,0.36855374335,0,0,0,2,0,1,0
1789068987,2026-09-10T19:36:27Z,32731195116,1.6507403637e+10,1.6223791479e+10,16839953637,16643221879,33483175516,35517218816,8e+10,0.40913993895,0,0,0,2,0,1,0
1789068999,2026-09-10T19:36:39Z,36412244572,1.8347153637e+10,1.8065090935e+10,18533203637,18295777655,36828981292,38977568768,8e+10,0.45515305715,0,0,0,2,0,0,0
1789069012,2026-09-10T19:36:52Z,39526981356,1.9905803637e+10,1.9621177719e+10,20310903637,20061579639,40372483276,42663952384,8e+10,0.49408726695,0,0,0,2,0,0,0
1789069025,2026-09-10T19:37:05Z,43344739676,2.1815153637e+10,2.1529586039e+10,22001803637,21802215799,43804019436,46351179776,8e+10,0.54180924595,0,0,0,2,0,0,0
1789069037,2026-09-10T19:37:17Z,36690089724,1.8398506753e+10,1.8291582971e+10,18534506753,18492909562,37027416315,39195152384,8e+10,0.45862612155,0,0,0,2,0,0,0
1789069050,2026-09-10T19:37:30Z,39786587900,1.9947306753e+10,1.9839281147e+10,20171806753,20095133690,40266940443,42538762240,8e+10,0.49733234875,0,0,0,2,0,0,0
1789069063,2026-09-10T19:37:43Z,43358061404,2.1732006753e+10,2.1626054651e+10,21948005905,21865129978,43813135883,46303240192,8e+10,0.54197576755,0,0,0,2,0,0,0
1789069076,2026-09-10T19:37:56Z,46624545660,2.3366906753e+10,2.3257638907e+10,23713656753,23609960442,47323617195,49869590528,8e+10,0.58280682075,0,0,0,2,0,0,0
1789069089,2026-09-10T19:38:09Z,50145103340,2.5125856753e+10,2.5019246587e+10,25469506753,25363179514,50832686267,53494423552,8e+10,0.62681379175,0,0,0,2,0,1,0
1789069103,2026-09-10T19:38:23Z,53294317340,2.6702206753e+10,2.6592110587e+10,27142006753,27099621370,54241628123,57223507968,8e+10,0.66617896675,0,0,0,2,0,0,0
1789069116,2026-09-10T19:38:36Z,57343616172,2.8725656753e+10,2.8617959419e+10,29108156753,28974475258,58082632011,61051625472,8e+10,0.71679520215,0,0,0,2,0,0,0
1789069130,2026-09-10T19:38:50Z,60960111196,3.0534406753e+10,3.0425704443e+10,30916756753,30857717754,61774474507,64957116416,8e+10,0.76200138995,0,0,0,2,0,0,0
1789069144,2026-09-10T19:39:04Z,64796758124,3.2454256753e+10,3.2342501371e+10,32681906753,32577382394,65259289147,68531642368,8e+10,0.80995947655,0,0,0,2,0,0,0
1789069158,2026-09-10T19:39:18Z,68253761372,3.4183206753e+10,3.4070554619e+10,34417806753,34418681850,68836488603,72476348416,8e+10,0.85317201715,0,0,0,2,0,1,0
1789069172,2026-09-10T19:39:32Z,71388981068,3.5749756753e+10,3.5639224315e+10,36239256753,36108986362,72348243115,75898294272,8e+10,0.89236226335,0,0,0,2,0,0,0
1789069187,2026-09-10T19:39:47Z,74822601404,3.7467906753e+10,3.7354694651e+10,37910006753,37908342778,75818349531,79735586816,8e+10,0.93528251755,0,0,0,2,0,0,0
1789069201,2026-09-10T19:40:01Z,75975967024,3.799235e+10,3.7983617024e+10,38653850000,39036387328,77690237328,80604999680,8e+10,0.9496995878,12288,1110596460,0,2,18027,1,0
1789069216,2026-09-10T19:40:16Z,75766436032,3.7355e+10,3.8411436032e+10,38262300000,39363543040,77625843040,80626114560,8e+10,0.9470804504,61440,4927528172,0,2,18027,1,0
1789069230,2026-09-10T19:40:30Z,75656075280,3.708945e+10,3.856662528e+10,38128050000,39611006976,77739056976,81036562432,8e+10,0.945700941,106496,8966523196,0,2,18027,0,0
1789069244,2026-09-10T19:40:44Z,75817024640,3.73972e+10,3.841982464e+10,38277050000,39250296832,77527346832,80609935360,8e+10,0.947712808,139264,12648065068,0,2,18027,1,0
