ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789072927,2026-09-10T20:42:07Z,450735053,2.70156753e+08,1.805783e+08,511056753,272852988,783909741,1575661568,8e+10,0.0056341881625,0,0,0,0,0,1,0
1789072937,2026-09-10T20:42:17Z,3895061085,2.003206753e+09,1.891854332e+09,2180506753,2072209404,4252716157,4929884160,8e+10,0.0486882635625,0,0,0,2,0,0,0
1789072948,2026-09-10T20:42:28Z,7241788381,3.676406753e+09,3.565381628e+09,3789456753,3699599356,7489056109,8343097344,8e+10,0.0905223547625,0,0,0,2,0,0,0
1789072959,2026-09-10T20:42:39Z,10321947949,5.217256753e+09,5.104691196e+09,5379356753,5289240572,10668597325,11638169600,8e+10,0.1290243493625,0,0,0,2,0,0,0
1789072970,2026-09-10T20:42:50Z,13247610045,6.679106753e+09,6.568503292e+09,7012456753,6908241916,13920698669,15027453952,8e+10,0.1655951255625,0,0,0,2,0,0,0
1789072981,2026-09-10T20:43:01Z,16614925949,8.364506753e+09,8.250419196e+09,8616206753,8535631868,17151838621,18442973184,8e+10,0.2076865743625,0,0,0,2,0,0,0
1789072993,2026-09-10T20:43:13Z,19576665261,9.845656753e+09,9.731008508e+09,10288656753,10198673404,20487330157,21892018176,8e+10,0.2447083157625,0,0,0,2,0,1,0
1789073004,2026-09-10T20:43:24Z,23107667245,1.1610856753e+10,1.1496810492e+10,11926206753,11844937724,23771144477,25335746560,8e+10,0.2888458405625,0,0,0,2,0,0,0
1789073016,2026-09-10T20:43:36Z,26808405309,1.3461906753e+10,1.3346498556e+10,13626506753,13526853628,27153360381,28847763456,8e+10,0.3351050663625,0,0,0,2,0,0,0
1789073028,2026-09-10T20:43:48Z,29720278797,1.4918356753e+10,1.4801922044e+10,15295306753,15233935356,30529242109,32411676672,8e+10,0.3715034849625,0,0,0,2,0,0,0
1789073040,2026-09-10T20:44:00Z,33292602301,1.6703906753e+10,1.6588695548e+10,17041906753,16982960124,34024866877,36072345600,8e+10,0.4161575287625,0,0,0,2,0,0,0
1789073052,2026-09-10T20:44:12Z,36994340365,1.8555956753e+10,1.8438383612e+10,18791256753,18744567804,37535824557,39743885312,8e+10,0.4624292545625,0,0,0,2,0,0,0
1789073065,2026-09-10T20:44:25Z,40524192349,2.0320006753e+10,2.0204185596e+10,20555556753,20531341308,41086898061,43496423424,8e+10,0.5065524043625,0,0,0,2,0,0,0
1789073077,2026-09-10T20:44:37Z,44277296237,2.2198256753e+10,2.2079039484e+10,22402406753,22376835068,44779241821,47360196608,8e+10,0.5534662029625,0,0,0,2,0,1,0
1789073090,2026-09-10T20:44:50Z,47949101389,2.4032956753e+10,2.3916144636e+10,24311256753,24297826300,48609083053,51313676288,8e+10,0.5993637673625,0,0,0,2,0,0,0
1789073103,2026-09-10T20:45:03Z,51691460973,2.5904656753e+10,2.578680422e+10,26230306753,26139125756,52369432509,55154950144,8e+10,0.6461432621625,0,0,0,2,0,0,0
1789073117,2026-09-10T20:45:17Z,55592162333,2.7855006753e+10,2.773715558e+10,27984456753,28068505596,56052962349,59091529728,8e+10,0.6949020291625,0,0,0,2,0,0,0
1789073130,2026-09-10T20:45:30Z,59166685837,2.9642756753e+10,2.9523929084e+10,29986956753,29897222140,59884178893,62957555712,8e+10,0.7395835729625,0,0,0,2,0,1,0
1789073144,2026-09-10T20:45:44Z,62967605549,3.1543656753e+10,3.1423948796e+10,31858906753,31751104508,63610011261,66841145344,8e+10,0.7870950693625,0,0,0,2,0,0,0
1789073157,2026-09-10T20:45:57Z,66692376525,3.3406156753e+10,3.3286219772e+10,33752656753,33669998588,67422655341,70826663936,8e+10,0.8336547065625,0,0,0,2,0,1,0
1789073171,2026-09-10T20:46:11Z,70509484845,3.5314856753e+10,3.5194628092e+10,35704506753,35597281276,71301788029,74833944576,8e+10,0.8813685605625,0,0,0,2,0,0,0
1789073185,2026-09-10T20:46:25Z,74169001389,3.7145656753e+10,3.7023344636e+10,37609206753,37576992764,75186199517,78997266432,8e+10,0.9271125173625,0,0,0,2,0,0,0
1789073199,2026-09-10T20:46:39Z,75884873984,3.79432e+10,3.7941673984e+10,38015000000,38054920192,76069920192,78932496384,8e+10,0.9485609248,28672,2713019917,0,2,0,1,0
1789073213,2026-09-10T20:46:53Z,75984144240,3.798375e+10,3.800039424e+10,38166550000,37908119552,76074669552,79286984704,8e+10,0.949801803,65536,6338270637,0,2,0,0,0
1789073227,2026-09-10T20:47:07Z,75701666384,3.786485e+10,3.7836816384e+10,38077800000,38134611968,76212411968,78841982976,8e+10,0.9462708298,110591,10833089101,0,2,0,0,0
1789073241,2026-09-10T20:47:21Z,75914439808,3.79476e+10,3.7966839808e+10,38063600000,37878759424,75942359424,79079354368,8e+10,0.9489304976,147455,14429329693,0,2,0,0,0
1789073255,2026-09-10T20:47:35Z,75755216384,3.79184e+10,3.7836816384e+10,37994900000,38042337280,76037237280,79211581440,8e+10,0.9469402048,184319,18170620925,0,2,0,0,0
1789073269,2026-09-10T20:47:49Z,75871392336,3.798005e+10,3.7891342336e+10,38116100000,38126223360,76242323360,79246442496,8e+10,0.9483924042,225279,22224464061,0,2,0,1,0
1789073284,2026-09-10T20:48:04Z,75567540652,3.782719326e+10,3.7740347392e+10,38312240941,38096863232,76409104173,78820438016,8e+10,0.94459425815,266239,26270018589,0,2,0,0,0
1789073298,2026-09-10T20:48:18Z,75840656342,3.7898982358e+10,3.7941673984e+10,38048729420,37903925248,75952654668,79046615040,8e+10,0.948008204275,307199,30191243997,0,2,0,1,0
1789073312,2026-09-10T20:48:32Z,75882417915,3.7953326843e+10,3.7929091072e+10,37873326843,37979422720,75852749563,79412940800,8e+10,0.9485302239375,344063,33899380797,0,2,0,1,0
1789073327,2026-09-10T20:48:47Z,75592057147,3.7839126843e+10,3.7752930304e+10,39386926843,39560675328,78947602171,83089850368,8e+10,0.9449007143375,360447,35576451725,0,2,16209,1,0
1789073341,2026-09-10T20:49:01Z,75965039435,3.8014976843e+10,3.7950062592e+10,39857726843,39925579776,79783306619,82645336064,8e+10,0.9495629929375,393215,38793831549,0,2,33178,0,0
1789073356,2026-09-10T20:49:16Z,75987210955,3.8016176843e+10,3.7971034112e+10,39808126843,39835402240,79643529083,82440310784,8e+10,0.9498401369375,425983,42011211373,0,2,37047,0,0
1789073370,2026-09-10T20:49:30Z,75677555883,3.7886876843e+10,3.779067904e+10,39651176843,39673921536,79325098379,82726137856,8e+10,0.9459694485375,471039,46514368445,0,2,37047,0,0
1789073384,2026-09-10T20:49:44Z,75707833099,3.7900376843e+10,3.7807456256e+10,39742826843,39766196224,79509023067,82580086784,8e+10,0.9463479137375,516095,50963649565,0,2,37047,0,0
1789073398,2026-09-10T20:49:58Z,75860914747,3.8003126843e+10,3.7857787904e+10,39741676843,39657144320,79398821163,82971779072,8e+10,0.9482614343375,552959,54655209149,0,2,37047,1,0
1789073412,2026-09-10T20:50:12Z,75993143867,3.8009526843e+10,3.7983617024e+10,39828326843,39841693696,79670020539,82814431232,8e+10,0.9499142983375,589823,58180996573,0,2,37047,0,0
1789073427,2026-09-10T20:50:27Z,75984723611,3.8059826843e+10,3.7924896768e+10,39853826843,39682310144,79536136987,82647670784,8e+10,0.9498090451375,630783,62334303005,0,2,37047,1,0
1789073441,2026-09-10T20:50:41Z,75625474235,3.7885126843e+10,3.7740347392e+10,39669626843,39795556352,79465183195,82719571968,8e+10,0.9453184279375,659455,65176966365,0,2,37047,0,0
1789073455,2026-09-10T20:50:55Z,75722783099,3.7915326843e+10,3.7807456256e+10,39680326843,39650852864,79331179707,82459906048,8e+10,0.9465347887375,700415,69189366461,0,2,37047,0,0
1789073469,2026-09-10T20:51:09Z,75784614747,3.7926826843e+10,3.7857787904e+10,39715326843,39548092416,79263419259,82802044928,8e+10,0.9473076843375,741375,73197622253,0,2,37047,1,0
1789073484,2026-09-10T20:51:24Z,75814637531,3.7973626843e+10,3.7841010688e+10,39678426843,39711670272,79390097115,82657849344,8e+10,0.9476829691375,778239,76901614749,0,2,37047,0,0
1789073498,2026-09-10T20:51:38Z,75900179307,3.7979476843e+10,3.7920702464e+10,39968026843,39757807616,79725834459,82687283200,8e+10,0.9487522413375,819199,80876716109,0,2,37047,0,0
1789073513,2026-09-10T20:51:53Z,75633184363,3.7863476843e+10,3.776970752e+10,39864526843,39799750656,79664277499,82707828736,8e+10,0.9454148045375,864255,85363295965,0,2,37047,0,0
1789073527,2026-09-10T20:52:07Z,75754666011,3.7934626843e+10,3.7820039168e+10,39657826843,39686504448,79344331291,82595037184,8e+10,0.9469333251375,901119,89025845421,0,2,37047,0,0
1789073543,2026-09-10T20:52:23Z,75776598923,3.7943976843e+10,3.783262208e+10,39720276843,39762001920,79482278763,82988826624,8e+10,0.9472074865375,933887,92259802461,0,2,37047,1,0
1789073557,2026-09-10T20:52:37Z,75581208411,3.7866026843e+10,3.7715181568e+10,41362576843,41351643136,82714219979,85645197312,8e+10,0.9447651051375,950271,93920296173,0,2,57810,0,0
1789073571,2026-09-10T20:52:51Z,75988316651,3.8021476843e+10,3.7966839808e+10,41289326843,41188065280,82477392123,85918044160,8e+10,0.9498539581375,987135,97470949421,0,2,67096,1,0
1789073586,2026-09-10T20:53:06Z,75972146175,3.8022083583e+10,3.7950062592e+10,41224833583,41217425408,82442258991,85852770304,8e+10,0.9496518271875,1028095,101533074425,0,2,67096,1,0
1789073600,2026-09-10T20:53:20Z,75887914037,3.7979794485e+10,3.7908119552e+10,41260344485,41158705152,82419049637,85575073792,8e+10,0.9485989254625,1064959,105174891459,0,2,67096,1,0
