LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
49m         Normal    Pulled             pod/v1-sweep                        Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
48m         Normal    Killing            pod/v1-sweep                        Stopping container predictor
48m         Warning   Unhealthy          pod/v1-sweep                        Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
46m         Normal    Scheduled          pod/v2-ours-90-1                    Successfully assigned bench/v2-ours-90-1 to ocibench-control-plane
46m         Normal    Created            pod/v2-ours-90-1                    Container created
46m         Normal    Pulled             pod/v2-ours-90-1                    Container image "172.31.57.168:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
46m         Warning   Unhealthy          pod/v2-ours-90-1                    Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
46m         Normal    Started            pod/v2-ours-90-1                    Container started
46m         Normal    Pulled             pod/v2-ours-90-1                    Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
46m         Warning   Evicted            pod/v2-ours-90-1                    The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 1488568Ki. Container predictor was using 2264Ki, request is 0, has larger consumption of ephemeral-storage.
46m         Normal    Killing            pod/v2-ours-90-1                    Stopping container predictor
45m         Warning   FailedScheduling   pod/v2-ours-50-1                    0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
45m         Normal    Pulled             pod/v2-ours-50-1                    Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-140g" in 238ms (238ms including waiting). Image size: 150374663046 bytes.
45m         Normal    Pulling            pod/v2-ours-50-1                    Pulling image "172.31.57.168:5000/custom-predictor:v5"
45m         Normal    Scheduled          pod/v2-ours-50-1                    Successfully assigned bench/v2-ours-50-1 to ocibench-control-plane
45m         Normal    Pulling            pod/v2-ours-50-1                    Pulling image "172.31.57.168:5000/model-ballast:estargz-140g"
45m         Normal    Started            pod/v2-ours-50-1                    Container started
45m         Normal    Created            pod/v2-ours-50-1                    Container created
45m         Warning   Unhealthy          pod/v2-ours-50-1                    Readiness probe failed: Get "http://10.244.0.9:8080/healthz": dial tcp 10.244.0.9:8080: connect: connection refused
45m         Normal    Pulled             pod/v2-ours-50-1                    Successfully pulled image "172.31.57.168:5000/custom-predictor:v5" in 1.16s (1.16s including waiting). Image size: 48519468 bytes.
45m         Normal    Pulled             pod/v2-ours-50-1                    Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
44m         Warning   Evicted            pod/v2-ours-50-1                    The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 9370828Ki. Container predictor was using 2264Ki, request is 0, has larger consumption of ephemeral-storage.
44m         Normal    Killing            pod/v2-ours-50-1                    Stopping container predictor
43m         Warning   FailedScheduling   pod/v2-ours-0-1                     0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
43m         Normal    Created            pod/v2-ours-0-1                     Container created
43m         Warning   Unhealthy          pod/v2-ours-0-1                     Readiness probe failed: Get "http://10.244.0.11:8080/healthz": dial tcp 10.244.0.11:8080: connect: connection refused
43m         Normal    Started            pod/v2-ours-0-1                     Container started
43m         Normal    Pulled             pod/v2-ours-0-1                     Container image "172.31.57.168:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
43m         Normal    Scheduled          pod/v2-ours-0-1                     Successfully assigned bench/v2-ours-0-1 to ocibench-control-plane
36m         Normal    Pulled             pod/v2-ours-0-1                     Container image "172.31.57.168:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
35m         Normal    Killing            pod/v2-ours-0-1                     Stopping container predictor
35m         Warning   Evicted            pod/v2-ours-0-1                     The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 8266296Ki. Container predictor was using 2284Ki, request is 0, has larger consumption of ephemeral-storage.
35m         Warning   FailedScheduling   pod/v2-vanilla-90-1                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
34m         Normal    Scheduled          pod/v2-vanilla-90-1                 Successfully assigned bench/v2-vanilla-90-1 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-qc75r    The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 4384788Ki.
34m         Normal    Killing            pod/curl-runner-65d77865d8-qc75r    Stopping container curl
34m         Normal    Pulling            pod/v2-vanilla-90-1                 Pulling image "172.31.57.168:5000/model-ballast:estargz-140g"
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-nlc4d
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-sxftl    Successfully assigned bench/curl-runner-65d77865d8-sxftl to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-5fh4c    The node had condition: [DiskPressure].
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-sxftl
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-5jx5x
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-qzbvs
34m         Warning   Evicted            pod/curl-runner-65d77865d8-5jx5x    The node had condition: [DiskPressure].
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-r69jw
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-r24rl
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-lc7qb
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-5fh4c
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-fh44p
34m         Warning   Evicted            pod/curl-runner-65d77865d8-sxftl    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-fh44p    Successfully assigned bench/curl-runner-65d77865d8-fh44p to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-r69jw    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-r69jw    Successfully assigned bench/curl-runner-65d77865d8-r69jw to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-r24rl    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-r24rl    Successfully assigned bench/curl-runner-65d77865d8-r24rl to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-qzbvs    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-qzbvs    Successfully assigned bench/curl-runner-65d77865d8-qzbvs to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-5fh4c    Successfully assigned bench/curl-runner-65d77865d8-5fh4c to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-5jx5x    Successfully assigned bench/curl-runner-65d77865d8-5jx5x to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-nlc4d    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-nlc4d    Successfully assigned bench/curl-runner-65d77865d8-nlc4d to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-lc7qb    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-lc7qb    Successfully assigned bench/curl-runner-65d77865d8-lc7qb to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-fh44p    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-pwdz5    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-m7qpf    Successfully assigned bench/curl-runner-65d77865d8-m7qpf to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-6jsg6    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-m7qpf    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-bspf8    Successfully assigned bench/curl-runner-65d77865d8-bspf8 to ocibench-control-plane
