ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789069443,2026-09-10T19:44:03Z,0,,,0,0,0,88321601536,0,0,0,0,0,0,0,0,0
1789069453,2026-09-10T19:44:13Z,0,,,0,0,0,88268099584,0,0,0,0,0,0,0,0,0
1789069464,2026-09-10T19:44:24Z,0,,,1541106753,1350789113,2891895866,91833675776,0,0,0,0,0,0,0,0,0
1789069474,2026-09-10T19:44:34Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069485,2026-09-10T19:44:45Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069495,2026-09-10T19:44:55Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069506,2026-09-10T19:45:06Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069517,2026-09-10T19:45:17Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069527,2026-09-10T19:45:27Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069538,2026-09-10T19:45:38Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069548,2026-09-10T19:45:48Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069559,2026-09-10T19:45:59Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069569,2026-09-10T19:46:09Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069580,2026-09-10T19:46:20Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069591,2026-09-10T19:46:31Z,0,,,4555256753,4475545593,9030802346,97811628032,0,0,0,0,0,0,0,0,0
1789069601,2026-09-10T19:46:41Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069611,2026-09-10T19:46:51Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069621,2026-09-10T19:47:01Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069631,2026-09-10T19:47:11Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069641,2026-09-10T19:47:21Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069651,2026-09-10T19:47:31Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069661,2026-09-10T19:47:41Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069672,2026-09-10T19:47:52Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069682,2026-09-10T19:48:02Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069692,2026-09-10T19:48:12Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069702,2026-09-10T19:48:22Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069712,2026-09-10T19:48:32Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069722,2026-09-10T19:48:42Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069732,2026-09-10T19:48:52Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069742,2026-09-10T19:49:02Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
1789069753,2026-09-10T19:49:13Z,0,,,0,0,0,88262483968,0,0,0,0,0,0,0,0,0
