ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789075968,2026-09-10T21:32:48Z,1000897721,5.35106753e+08,4.65790968e+08,629506753,537094136,1166600889,89956306944,8e+10,0.0125112215125,0,0,0,2,0,0,0
1789075978,2026-09-10T21:32:58Z,4225227545,2.161406753e+09,2.063820792e+09,2309806753,2223204344,4533011097,93529673728,8e+10,0.0528153443125,0,0,0,2,0,0,0
1789075989,2026-09-10T21:33:09Z,7228188377,3.662806753e+09,3.565381624e+09,3873506753,3787679736,7661186489,96801284096,8e+10,0.0903523547125,0,0,0,2,0,0,0
1789076000,2026-09-10T21:33:20Z,8320978048,4.1812e+09,4.139778048e+09,4329150000,4305453056,8634603056,97783459840,8e+10,0.1040122256,20480,1967931289,274,2,0,0,0
1789076011,2026-09-10T21:33:31Z,7870548288,4.0034e+09,3.867148288e+09,4299350000,4173332480,8472682480,97636323328,8e+10,0.0983818536,49152,4893480729,277,2,0,0,0
1789076021,2026-09-10T21:33:41Z,8040461584,4.07265e+09,3.967811584e+09,4230100000,4211081216,8441181216,97598971904,8e+10,0.1005057698,73728,7290974457,280,2,0,1,0
1789076032,2026-09-10T21:33:52Z,8116876144,4.08615e+09,4.030726144e+09,4333750000,4286578688,8620328688,97781526528,8e+10,0.1014609518,102400,10075617561,287,2,0,0,0
1789076043,2026-09-10T21:34:03Z,8036117280,4.0725e+09,3.96361728e+09,4304900000,4179623936,8484523936,97540636672,8e+10,0.100451466,126976,12551853065,290,2,0,0,0
1789076054,2026-09-10T21:34:14Z,8049944496,4.06955e+09,3.980394496e+09,4313750000,4248829952,8562579952,97725173760,8e+10,0.1006243062,155648,15365506297,292,2,0,0,0
1789076065,2026-09-10T21:34:25Z,8012934368,4.0619e+09,3.951034368e+09,4399250000,4294967296,8694217296,97502183424,8e+10,0.1001616796,180224,17816875977,295,2,0,0,0
1789076076,2026-09-10T21:34:36Z,8460665392,4.27475e+09,4.185915392e+09,4388450000,4311744512,8700194512,97511362560,8e+10,0.1057583174,204800,20222658313,298,2,0,0,0
1789076086,2026-09-10T21:34:46Z,8124221712,4.12705e+09,3.997171712e+09,4248800000,4135583744,8384383744,97565224960,8e+10,0.1015527714,233472,23098476105,301,2,0,0,0
1789076097,2026-09-10T21:34:57Z,8084644496,4.10425e+09,3.980394496e+09,4351350000,4242538496,8593888496,97769222144,8e+10,0.1010580562,258048,25520835657,301,2,0,1,0
1789076108,2026-09-10T21:35:08Z,8136297664,4.0846e+09,4.051697664e+09,4196850000,4148166656,8345016656,97499017216,8e+10,0.1017037208,282624,27860309129,302,2,0,1,0
1789076119,2026-09-10T21:35:19Z,8476065392,4.29015e+09,4.185915392e+09,4417750000,4211081216,8628831216,97584615424,8e+10,0.1059508174,307200,30357266153,304,2,0,0,0
1789076130,2026-09-10T21:35:30Z,8124410320,4.11885e+09,4.00556032e+09,4244300000,4131389440,8375689440,97548709888,8e+10,0.101555129,335872,33199929513,307,2,0,0,0
1789076141,2026-09-10T21:35:41Z,8055288800,4.0707e+09,3.9845888e+09,4313400000,4232052736,8545452736,97695535104,8e+10,0.10069111,360446,35601467545,309,2,0,0,0
1789076152,2026-09-10T21:35:52Z,8421736912,4.21485e+09,4.206886912e+09,4346650000,4364173312,8710823312,97403191296,8e+10,0.1052717114,385021,37949179625,314,2,0,1,0
1789076162,2026-09-10T21:36:02Z,8281585008,4.18375e+09,4.097835008e+09,4244900000,4164943872,8409843872,97580888064,8e+10,0.1035198126,413692,40862246153,321,2,0,1,0
1789076173,2026-09-10T21:36:13Z,8094781840,4.06825e+09,4.02653184e+09,4208100000,4181721088,8389821088,97579696128,8e+10,0.101184773,438267,43247256969,326,2,0,1,0
1789076184,2026-09-10T21:36:24Z,8489336912,4.28245e+09,4.206886912e+09,4219350000,4131389440,8350739440,97526345728,8e+10,0.1061167114,458746,45303138665,329,2,0,1,0
1789076195,2026-09-10T21:36:35Z,8117104624,4.10735e+09,4.009754624e+09,4264732768,4173332480,8438065248,97611157504,8e+10,0.1014638078,487418,48154090633,332,2,0,0,0
1789076206,2026-09-10T21:36:46Z,8399865392,4.21395e+09,4.185915392e+09,4265550000,4261412864,8526962864,97705844736,8e+10,0.1049983174,511993,50518379929,337,2,0,0,0
1789076217,2026-09-10T21:36:57Z,8297278048,4.1575e+09,4.139778048e+09,4312800000,4299161600,8611961600,97764827136,8e+10,0.1037159756,536568,52932400873,339,2,0,1,0
1789076228,2026-09-10T21:37:08Z,8119714752,4.0806e+09,4.039114752e+09,4333800000,4303355904,8637155904,97765101568,8e+10,0.1014964344,561143,55387864857,339,2,0,1,0
1789076238,2026-09-10T21:37:18Z,7981507152,4.04725e+09,3.934257152e+09,4230000000,4139778048,8369778048,97565831168,8e+10,0.0997688394,589814,58288498473,339,2,0,0,0
1789076249,2026-09-10T21:37:29Z,8018627408,4.02565e+09,3.992977408e+09,4319182768,4286578688,8605761456,97774424064,8e+10,0.1002328426,614389,60636210553,340,2,0,1,0
1789076260,2026-09-10T21:37:40Z,8252457792,4.1714e+09,4.081057792e+09,4327350000,4248829952,8576179952,97730129920,8e+10,0.1031557224,638964,63124828969,341,2,0,1,0
1789076271,2026-09-10T21:37:51Z,8099131840,4.0726e+09,4.02653184e+09,4338750000,4299161600,8637911600,97810702336,8e+10,0.101239148,663539,65509839785,342,2,0,0,0
1789076282,2026-09-10T21:38:02Z,8059610320,4.05405e+09,4.00556032e+09,4330850000,4106223616,8437073616,97456922624,8e+10,0.100745129,688114,67940437945,345,2,0,0,0
1789076293,2026-09-10T21:38:13Z,8217997664,4.1663e+09,4.051697664e+09,4409650000,4307550208,8717200208,97534205952,8e+10,0.1027249708,712690,70429106361,345,2,0,0,0
1789076303,2026-09-10T21:38:23Z,8002700192,4.0265e+09,3.976200192e+09,4200850000,4164943872,8365793872,97536323584,8e+10,0.1000337524,741361,73201266553,347,2,0,0,0
1789076314,2026-09-10T21:38:34Z,8386726784,4.2092e+09,4.177526784e+09,4295700000,4278190080,8573890080,97730863104,8e+10,0.1048340848,765936,75611143193,350,2,0,1,0
1789076325,2026-09-10T21:38:45Z,8234190704,4.14055e+09,4.093640704e+09,4312200000,4280287232,8592487232,97741287424,8e+10,0.1029273838,790510,78054124265,352,2,0,1,0
1789076336,2026-09-10T21:38:56Z,8012400192,4.0362e+09,3.976200192e+09,4321750000,4276092928,8597842928,97750601728,8e+10,0.1001550024,815086,80497205337,353,2,0,1,0
1789076347,2026-09-10T21:39:07Z,8274762224,4.16015e+09,4.114612224e+09,4342100000,4307550208,8649650208,97557671936,8e+10,0.1034345278,839661,82911226281,357,2,0,1,0
1789076358,2026-09-10T21:39:18Z,8126637536,4.1043e+09,4.022337536e+09,4361850000,4294967296,8656817296,97569579008,8e+10,0.1015829692,864236,85374978873,358,2,0,0,0
1789076369,2026-09-10T21:39:29Z,8284646400,4.1952e+09,4.0894464e+09,4398250000,4294967296,8693217296,97508347904,8e+10,0.10355808,888811,87826298553,358,2,0,1,0
1789076379,2026-09-10T21:39:39Z,8170557792,4.0895e+09,4.081057792e+09,4300150000,4133486592,8433636592,97460711424,8e+10,0.1021319724,913387,90157483417,361,2,0,1,0
1789076390,2026-09-10T21:39:50Z,7928565454,4.00269691e+09,3.925868544e+09,4328243260,4234149888,8562393148,97461022720,8e+10,0.099107068175,937962,92654390441,362,2,0,1,0
1789076401,2026-09-10T21:40:01Z,8166869472,4.140337632e+09,4.02653184e+09,4411887632,4206886912,8618774544,97601417216,8e+10,0.1020858684,962537,95118143033,365,2,0,0,0
1789076412,2026-09-10T21:40:12Z,8088069894,4.065732358e+09,4.022337536e+09,4210182358,4190109696,8400292054,97587724288,8e+10,0.101100873675,991208,97877870313,369,2,0,1,0
1789076423,2026-09-10T21:40:23Z,8166838989,4.123529933e+09,4.043309056e+09,4226662701,4160749568,8387412269,97564418048,8e+10,0.1020854873625,1015783,100341619815,372,2,0,1,0
1789076434,2026-09-10T21:40:34Z,8271026606,4.177385902e+09,4.093640704e+09,4382285902,4313841664,8696127566,97387044864,8e+10,0.103387832575,1036263,102372679718,374,2,0,0,0
1789076445,2026-09-10T21:40:45Z,8079562361,4.044641913e+09,4.034920448e+09,4355941913,4353687552,8709629465,97392865280,8e+10,0.1009945295125,1060839,104724580091,377,2,0,0,0
1789076456,2026-09-10T21:40:56Z,8216532431,4.118697423e+09,4.097835008e+09,4295697423,4276092928,8571790351,97722560512,8e+10,0.1027066553875,1085415,107167655653,382,2,0,0,0
1789076466,2026-09-10T21:41:06Z,8394078048,4.2543e+09,4.139778048e+09,4226950000,4223664128,8450614128,97618567168,8e+10,0.1049259756,1105894,109281555028,383,2,0,0,0
1789076477,2026-09-10T21:41:17Z,8300140704,4.2065e+09,4.093640704e+09,4242550000,4135583744,8378133744,97554296832,8e+10,0.1037517588,1134565,112111735476,385,2,0,0,0
1789076488,2026-09-10T21:41:28Z,8212819184,4.14015e+09,4.072669184e+09,4229550000,4127195136,8356745136,97490440192,8e+10,0.1026602398,1155044,114088875396,385,2,0,1,0
1789076499,2026-09-10T21:41:39Z,8144543232,4.1264e+09,4.018143232e+09,4408900000,4303355904,8712255904,97537560576,8e+10,0.1018067904,1179619,116560916596,386,2,0,0,0
1789076510,2026-09-10T21:41:50Z,8266439440,4.13505e+09,4.13138944e+09,4313350000,4320133120,8633483120,97810726912,8e+10,0.103330493,1208291,119291683748,393,2,0,0,0
1789076521,2026-09-10T21:42:01Z,8180852096,4.0956e+09,4.085252096e+09,4339300000,4332716032,8672016032,97416269824,8e+10,0.1022606512,1232866,121726426212,393,2,0,0,0
1789076532,2026-09-10T21:42:12Z,8303717920,4.1933e+09,4.11041792e+09,4342250000,4265607168,8607857168,97787953152,8e+10,0.103796474,1257441,124223333236,395,2,0,1,0
1789076543,2026-09-10T21:42:23Z,8146720448,4.1118e+09,4.034920448e+09,4332350000,4273995776,8606345776,97789321216,8e+10,0.1018340056,1282016,126645642788,396,2,0,1,0
1789076553,2026-09-10T21:42:33Z,8276862224,4.16225e+09,4.114612224e+09,4346050000,4307550208,8653600208,97648263168,8e+10,0.1034607778,1306591,129047230820,399,2,0,1,0
