ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789079164,2026-09-10T22:26:04Z,43597316267,2.1866403637e+10,2.173091263e+10,22109453637,22016125302,44125578939,46449102848,8e+10,0.5449664533375,0,0,0,2,0,2,0
1789079177,2026-09-10T22:26:17Z,47106019515,2.3647053637e+10,2.3458965878e+10,23885353637,23815481718,47700835355,50336686080,8e+10,0.5888252439375,0,0,0,4,0,1,0
1789079190,2026-09-10T22:26:30Z,50965099355,2.5576753637e+10,2.5388345718e+10,25805853637,25690335606,51496189243,54293028864,8e+10,0.6370637419375,0,0,0,4,0,1,0
1789079205,2026-09-10T22:26:45Z,54396469691,2.7292653637e+10,2.7103816054e+10,27604403637,27644881270,55249284907,58376654848,8e+10,0.6799558711375,0,0,0,4,0,0,0
1789079218,2026-09-10T22:26:58Z,58622487515,2.9396353637e+10,2.9226133878e+10,29664853637,29595232630,59260086267,62281048064,8e+10,0.7327810939375,0,0,0,4,0,1,0
1789079231,2026-09-10T22:27:11Z,62582337611,3.1368103637e+10,3.1214233974e+10,31580686405,31541389686,63122076091,66409922560,8e+10,0.7822792201375,0,0,0,4,0,0,0
1789079245,2026-09-10T22:27:25Z,65969686427,3.3060953637e+10,3.290873279e+10,33317203637,33290414454,66607618091,70097129472,8e+10,0.8246210803375,0,0,0,4,0,0,0
1789079260,2026-09-10T22:27:40Z,69786994747,3.4969853637e+10,3.481714111e+10,35322803637,35408537974,70731341611,74514530304,8e+10,0.8723374343375,0,0,0,4,0,0,0
1789079274,2026-09-10T22:27:54Z,74404261947,3.7280253637e+10,3.712400831e+10,37533503637,37532952950,75066456587,78951280640,8e+10,0.9300532743375,0,0,0,4,0,0,0
1789079288,2026-09-10T22:28:08Z,75837527447,3.7459645846e+10,3.8377881601e+10,37510595846,38583402497,76093998343,79393296384,8e+10,0.9479690930875,36864,2591800420,0,4,0,0,0
1789079302,2026-09-10T22:28:22Z,75793273047,3.6786245846e+10,3.9007027201e+10,36741045846,39325794305,76066840151,79004868608,8e+10,0.9474159130875,94208,6984104292,0,4,0,0,0
1789079316,2026-09-10T22:28:36Z,75813417114,3.5497767065e+10,4.0315650049e+10,35617367065,40688943105,76306310170,80123871232,8e+10,0.947667713925,159744,10923921713,0,4,0,0,0
1789079330,2026-09-10T22:28:50Z,75889771183,3.4533933742e+10,4.1355837441e+10,34821033742,41964011521,76785045263,80191881216,8e+10,0.9486221397875,217088,14632348748,0,4,7203,1,0
1789079344,2026-09-10T22:29:04Z,75970543391,3.3452883742e+10,4.2517659649e+10,33685483742,43855642625,77541126367,80296472576,8e+10,0.9496317923875,266240,17301308252,0,4,14937,1,0
1789079360,2026-09-10T22:29:20Z,75868727631,3.2050833742e+10,4.3817893889e+10,33290633742,45885685761,79176319503,81007939584,8e+10,0.9483590953875,323584,20330136108,0,4,26430,0,0
1789079375,2026-09-10T22:29:35Z,75400074912,3.13473e+10,4.4052774912e+10,33188100000,45692747776,78880847776,82149847040,8e+10,0.9425009364,385024,25482510459,0,4,30509,0,0
1789079389,2026-09-10T22:29:49Z,75751610992,3.161495e+10,4.4136660992e+10,33191150000,45000687616,78191837616,81692635136,8e+10,0.9468951374,421888,29306687771,0,4,32065,0,0
1789079403,2026-09-10T22:30:03Z,75239049536,3.24194e+10,4.2819649536e+10,34176500000,44681920512,78858420512,81987940352,8e+10,0.9404881192,450560,34209070219,0,4,32065,0,0
1789079417,2026-09-10T22:30:17Z,75627040016,3.335265e+10,4.2274390016e+10,35158450000,42756734976,77915184976,81400078336,8e+10,0.9453380002,462848,36866612091,0,4,32065,1,0
1789079431,2026-09-10T22:30:31Z,75405326016,3.47038e+10,4.0701526016e+10,36436082768,42094034944,78530117712,81893543936,8e+10,0.9425665752,475136,40937361627,0,4,32065,1,0
1789079445,2026-09-10T22:30:45Z,75607744960,3.58038e+10,3.980394496e+10,37567700000,41653633024,79221333024,82503688192,8e+10,0.945096812,499712,45315832667,0,4,32065,0,0
1789079459,2026-09-10T22:30:59Z,75463680368,3.638535e+10,3.9078330368e+10,38085500000,40638611456,78724111456,82042068992,8e+10,0.9432960046,524288,49018782155,0,4,32065,0,0
1789079473,2026-09-10T22:31:13Z,75848776560,3.698855e+10,3.886022656e+10,38735450000,40458256384,79193706384,81961287680,8e+10,0.948109707,552960,52653007579,0,4,32065,0,0
1789079488,2026-09-10T22:31:28Z,75892672736,3.75819e+10,3.8310772736e+10,39174600000,39929774080,79104374080,82478395392,8e+10,0.9486584092,585728,57005926699,0,4,32065,1,0
1789079502,2026-09-10T22:31:42Z,75735201840,3.762995e+10,3.810525184e+10,39332146910,39795556352,79127703262,82215264256,8e+10,0.946690023,622592,60896412875,0,4,32065,0,0
1789079516,2026-09-10T22:31:56Z,75593878064,3.7811587632e+10,3.7782290432e+10,39481787632,39485177856,78966965488,82188804096,8e+10,0.9449234758,663552,65435139579,0,4,32065,0,0
1789079531,2026-09-10T22:32:11Z,75689885676,3.788242942e+10,3.7807456256e+10,39513526843,39455817728,78969344571,82143055872,8e+10,0.94612357095,700416,69122554859,0,4,32065,0,0
1789079545,2026-09-10T22:32:25Z,75906319179,3.8014976843e+10,3.7891342336e+10,39506626843,39611006976,79117633819,82016534528,8e+10,0.9488289897375,745472,73621567627,0,4,32065,0,0
1789079560,2026-09-10T22:32:40Z,75892240699,3.7979926843e+10,3.7912313856e+10,39661476843,39468400640,79129877483,82186203136,8e+10,0.9486530087375,786432,77613246203,0,4,32065,1,0
1789079575,2026-09-10T22:32:55Z,75683760315,3.7859526843e+10,3.7824233472e+10,39951726843,39678115840,79629842683,82743812096,8e+10,0.9460470039375,819200,80822337419,0,4,34707,0,0
1789079590,2026-09-10T22:33:10Z,75687811579,3.7901326843e+10,3.7786484736e+10,40096926843,39996882944,80093809787,83100450816,8e+10,0.9460976447375,856064,84538762827,0,4,42298,1,0
1789079604,2026-09-10T22:33:24Z,75727561579,3.7941076843e+10,3.7786484736e+10,40224026843,39866859520,80090886363,83265445888,8e+10,0.9465945197375,909312,89841084475,0,4,42298,0,0
