ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789083143,2026-09-10T23:32:23Z,43680243483,2.1932553637e+10,2.1747689846e+10,22139503637,22058068342,44197571979,46366224384,8e+10,0.5460030435375,0,0,0,2,0,1,0
1789083156,2026-09-10T23:32:36Z,34679777641,1.7474519404e+10,1.7205258237e+10,16520303637,16544655356,33064958993,35183157248,8e+10,0.4334972205125,0,0,85,4,0,0,0
1789083168,2026-09-10T23:32:48Z,31693241512,1.6039875756e+10,1.5653365756e+10,18470803637,18463549436,36934353073,39153467392,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083181,2026-09-10T23:33:01Z,31693241512,1.6039875756e+10,1.5653365756e+10,20195003637,20267100156,40462103793,42949447680,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083194,2026-09-10T23:33:14Z,31693241512,1.6039875756e+10,1.5653365756e+10,22116153637,22116788220,44232941857,46771339264,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083208,2026-09-10T23:33:28Z,31693241512,1.6039875756e+10,1.5653365756e+10,24027003637,24226523132,48253526769,51190915072,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083221,2026-09-10T23:33:41Z,31693241512,1.6039875756e+10,1.5653365756e+10,26182403637,26210428924,52392832561,55329251328,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083234,2026-09-10T23:33:54Z,31693241512,1.6039875756e+10,1.5653365756e+10,28195586405,28185946108,56381532513,59497652224,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083248,2026-09-10T23:34:08Z,31693241512,1.6039875756e+10,1.5653365756e+10,30079903637,30199212028,60279115665,63769096192,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083263,2026-09-10T23:34:23Z,31693241512,1.6039875756e+10,1.5653365756e+10,32359153637,32388638716,64747792353,68279889920,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083278,2026-09-10T23:34:38Z,31693241512,1.6039875756e+10,1.5653365756e+10,34532303637,34620008444,69152312081,73092362240,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083292,2026-09-10T23:34:52Z,31693241512,1.6039875756e+10,1.5653365756e+10,36672403637,36729743356,73402146993,77313626112,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083307,2026-09-10T23:35:07Z,31693241512,1.6039875756e+10,1.5653365756e+10,38888902789,38982084604,77870987393,82100305920,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083321,2026-09-10T23:35:21Z,31693241512,1.6039875756e+10,1.5653365756e+10,41054953637,41129568252,82184521889,86541762560,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083336,2026-09-10T23:35:36Z,31693241512,1.6039875756e+10,1.5653365756e+10,43211853637,43222525948,86434379585,90853068800,8e+10,0.3961655189,0,0,85,4,0,0,0
1789083350,2026-09-10T23:35:50Z,31693241512,1.6039875756e+10,1.5653365756e+10,44785203637,44847818748,89633022385,94279139328,8e+10,0.3961655189,0,0,85,4,0,0,0
