ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789087293,2026-09-11T00:41:33Z,38288788924,1.9225453637e+10,1.9063335287e+10,19519403637,19331770743,38851174380,40762699776,8e+10,0.47860986155,0,0,0,2,0,1,0
1789087306,2026-09-11T00:41:46Z,41251623804,2.0741253637e+10,2.0510370167e+10,20997703637,20816554359,41814257996,44280619008,8e+10,0.51564529755,0,0,0,4,0,0,0
1789087319,2026-09-11T00:41:59Z,44807308700,2.2518553637e+10,2.2288755063e+10,22887153637,22687213943,45574367580,48208498688,8e+10,0.56009135875,0,0,0,4,0,0,0
1789087332,2026-09-11T00:42:12Z,48819836012,2.4526203637e+10,2.4293632375e+10,24684903637,24562067831,49246971468,51953266688,8e+10,0.61024795015,0,0,0,4,0,0,0
1789087345,2026-09-11T00:42:25Z,52459813948,2.6345853637e+10,2.6113960311e+10,26570103637,26436921719,53007025356,56101318656,8e+10,0.65574767435,0,0,0,4,0,0,0
1789087360,2026-09-11T00:42:40Z,56494857084,2.8350853637e+10,2.8144003447e+10,28610453637,28563433847,57173887484,60417212416,8e+10,0.70618571355,0,0,0,4,0,0,0
1789087373,2026-09-11T00:42:53Z,60463845788,3.0323353637e+10,3.0140492151e+10,30627803637,30538951031,61166754668,64495443968,8e+10,0.75579807235,0,0,0,4,0,0,0
1789087387,2026-09-11T00:43:07Z,64122112332,3.2152903637e+10,3.1969208695e+10,32707886405,32548022647,65255909052,68694388736,8e+10,0.80152640415,0,0,0,4,0,0,0
1789087401,2026-09-11T00:43:21Z,68668575100,3.4426053637e+10,3.4242521463e+10,34794803637,34620008823,69414812460,73032478720,8e+10,0.85835718875,0,0,0,4,0,0,0
1789087415,2026-09-11T00:43:35Z,72830449884,3.6507553637e+10,3.6322896247e+10,36772486405,36742326647,73514813052,77464059904,8e+10,0.91038062355,0,0,0,4,0,0,0
1789087429,2026-09-11T00:43:49Z,75812897440,3.7833474718e+10,3.7979422722e+10,38045174718,38172360706,76217535424,79254708224,8e+10,0.947661218,12240,892315196,0,4,0,0,0
1789087443,2026-09-11T00:44:03Z,75769760144,3.6842424718e+10,3.8927335426e+10,36726974718,39388708866,76115683584,79116922880,8e+10,0.9471220018,69584,4675406380,0,4,0,0,0
1789087457,2026-09-11T00:44:17Z,75915991856,3.5612924718e+10,4.0303067138e+10,35702024718,40672165890,76374190608,79027466240,8e+10,0.9489498982,139216,9014877308,0,4,0,1,0
1789087471,2026-09-11T00:44:31Z,75909371680,3.4008274718e+10,4.1901096962e+10,33772674718,42375053314,76147728032,79131971584,8e+10,0.948867146,208848,12794867196,0,4,0,0,0
1789087484,2026-09-11T00:44:44Z,75796571136,3.2054174718e+10,4.3742396418e+10,32083624718,44098912258,76182536976,78646124544,8e+10,0.9474571392,290768,17180968476,0,4,0,1,0
1789087498,2026-09-11T00:44:58Z,75861178750,3.1682574718e+10,4.4178604032e+10,31735874718,44463816704,76199691422,78410919936,8e+10,0.948264734375,339920,21250602734,0,4,0,1,0
1789087512,2026-09-11T00:45:12Z,75652932558,3.1256224718e+10,4.439670784e+10,31332924718,44463816704,75796741422,78842474496,8e+10,0.945661656975,384976,25074093950,0,4,0,0,0
1789087526,2026-09-11T00:45:26Z,75923973070,3.1409824718e+10,4.4514148352e+10,31616324718,44895830016,76512154734,78701096960,8e+10,0.949049663375,421840,28749076318,0,4,0,0,0
1789087539,2026-09-11T00:45:39Z,75774874334,3.1298474718e+10,4.4476399616e+10,31315024718,44497371136,75812395854,78548369408,8e+10,0.947185929175,466896,33132048574,0,4,0,0,0
1789087553,2026-09-11T00:45:53Z,75940483198,3.1396974718e+10,4.454350848e+10,31441624718,44434456576,75876081294,78774546432,8e+10,0.949256039975,503760,36802886638,0,4,0,0,0
1789087566,2026-09-11T00:46:06Z,75730204078,3.1312524718e+10,4.441767936e+10,31531574718,44568674304,76100249022,78845825024,8e+10,0.946627550975,544720,40889884206,0,4,0,0,0
1789087580,2026-09-11T00:46:20Z,75829357246,3.1340374718e+10,4.4488982528e+10,31492657486,44476399616,75969057102,78843994112,8e+10,0.947866965575,581584,44490269102,0,4,0,1,0
1789087594,2026-09-11T00:46:34Z,75561080654,3.1273424718e+10,4.4287655936e+10,31480224718,44598034432,76078259150,78572560384,8e+10,0.944513508175,622544,48668441358,0,4,0,1,0
1789087607,2026-09-11T00:46:47Z,75748376862,3.1347474718e+10,4.4400902144e+10,31602407486,44694503424,76296910910,78427373568,8e+10,0.946854710775,663504,52676697150,0,4,0,0,0
1789087621,2026-09-11T00:47:01Z,75972823070,3.1458674718e+10,4.4514148352e+10,31509774718,44660948992,76170723710,78704881664,8e+10,0.949660288375,700368,56318525086,0,4,0,1,0
1789087635,2026-09-11T00:47:15Z,75652759994,3.1281217978e+10,4.4371542016e+10,31540965659,44593840128,76134805787,78507200512,8e+10,0.945659499925,741328,60330925182,0,4,0,0,0
1789087648,2026-09-11T00:47:28Z,75896013696,3.1386059648e+10,4.4509954048e+10,31265657076,44459622400,75725279476,78803464192,8e+10,0.9487001712,778192,63939598686,0,4,0,0,0
1789087662,2026-09-11T00:47:42Z,75908872697,3.1411501561e+10,4.4497371136e+10,31541284329,44488982528,76030266857,78570037248,8e+10,0.9488609087125,815056,67618725358,0,4,0,0,0
1789087676,2026-09-11T00:47:56Z,75717025225,3.1295151561e+10,4.4421873664e+10,31353451561,44438650880,75792102441,78738657280,8e+10,0.9464628153125,860112,72030707742,0,4,0,0,0
1789087690,2026-09-11T00:48:10Z,75892972697,3.1395601561e+10,4.4497371136e+10,31256934329,44421873664,75678807993,78675402752,8e+10,0.9486621587125,896976,75697401502,0,4,0,0,0
