ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding
1789085972,2026-09-11T00:19:32Z,30076328824,1.5039525756e+10,1.5036803068e+10,15039525756,15036803068,30076328824,31648309248,8e+10,0.3759541103,0,0,0,0,0,0,0
1789085985,2026-09-11T00:19:45Z,32589453601,1.6298553637e+10,1.6290899964e+10,16419903637,16492226556,32912130193,35004002304,8e+10,0.4073681700125,0,0,0,0,0,0,0
1789085997,2026-09-11T00:19:57Z,35433722657,1.7720953637e+10,1.771276902e+10,18074003637,18100742140,36174745777,38412275712,8e+10,0.4429215332125,0,0,0,0,0,1,0
1789086010,2026-09-11T00:20:10Z,39035879073,1.9523753637e+10,1.9512125436e+10,19743053637,19755395068,39498448705,41817772032,8e+10,0.4879484884125,0,0,0,0,0,0,0
1789086023,2026-09-11T00:20:23Z,42014406993,2.1013303637e+10,2.1001103356e+10,21357303637,21424728060,42782031697,45301161984,8e+10,0.5251800874125,0,0,0,0,0,1,0
1789086036,2026-09-11T00:20:36Z,45538464673,2.2775753637e+10,2.2762711036e+10,23066253637,23098255356,46164508993,48810246144,8e+10,0.5692308084125,0,0,0,0,0,1,0
1789086049,2026-09-11T00:20:49Z,49120832481,2.4567153637e+10,2.4553678844e+10,24809253637,24843085820,49652339457,52451016704,8e+10,0.6140104060125,0,0,0,0,0,0,0
1789086063,2026-09-11T00:21:03Z,52602418641,2.6308103637e+10,2.6294315004e+10,26578853637,26579527676,53158381313,56070119424,8e+10,0.6575302330125,0,0,0,0,0,0,0
1789086077,2026-09-11T00:21:17Z,55967334545,2.7991103637e+10,2.7976230908e+10,28252503637,28366301180,56618804817,59721572352,8e+10,0.6995916818125,0,0,0,0,0,1,0
1789086091,2026-09-11T00:21:31Z,59430132097,2.9721653637e+10,2.970847846e+10,30079903637,30132103164,60212006801,63452667904,8e+10,0.7428766512125,0,0,0,0,0,0,0
1789086104,2026-09-11T00:21:44Z,63316894849,3.1666453637e+10,3.1650441212e+10,31936703637,31935653884,63872357521,67226124288,8e+10,0.7914611856125,0,0,0,0,0,0,0
1789086118,2026-09-11T00:21:58Z,66865285441,3.3440653637e+10,3.3424631804e+10,33795402789,33827284988,67622687777,71155589120,8e+10,0.8358160680125,0,0,0,0,0,1,0
1789086133,2026-09-11T00:22:13Z,70323188689,3.5170503637e+10,3.5152685052e+10,35595153637,35618252796,71213406433,74917896192,8e+10,0.8790398586125,0,0,0,0,0,0,0
1789086147,2026-09-11T00:22:27Z,74391976129,3.7205053637e+10,3.7186922492e+10,37510803637,37543438332,75054241969,79021572096,8e+10,0.9298997016125,0,0,0,0,0,0,0
1789086161,2026-09-11T00:22:41Z,75783808481,3.7074353637e+10,3.8709454844e+10,37275203637,39007250428,76282454065,79387684864,8e+10,0.9472976060125,40960,2433420272,0,0,1280,0,0
1789086175,2026-09-11T00:22:55Z,75843367393,3.6072753637e+10,3.9770613756e+10,36203603637,40164878332,76368481969,79168086016,8e+10,0.9480420924125,98304,6083893728,0,0,1280,1,0
1789086190,2026-09-11T00:23:10Z,75709754769,3.5230303637e+10,4.0479451132e+10,35477953637,40835966972,76313920609,79349866496,8e+10,0.9463719346125,151552,9832101376,0,0,1280,0,0
1789086204,2026-09-11T00:23:24Z,75889935185,3.4659703637e+10,4.1230231548e+10,34510553637,41662244860,76172798497,79038955520,8e+10,0.9486241898125,200704,13396230544,0,0,1280,0,0
1789086218,2026-09-11T00:23:38Z,75831808641,3.3808853637e+10,4.2022955004e+10,33890103637,42295584764,76185688401,79112474624,8e+10,0.9478976080125,253952,17053263504,0,0,1280,0,0
1789086232,2026-09-11T00:23:52Z,74086937408,3.33938e+10,4.0693137408e+10,33654500000,41041264640,74695764640,78312243200,8e+10,0.9260867176,303104,22800067745,0,0,1280,0,0
1789086246,2026-09-11T00:24:06Z,75347276656,3.449895e+10,4.0848326656e+10,34913550000,41330671616,76244221616,79127261184,8e+10,0.9418409582,315392,24943715921,0,0,1280,1,0
1789086261,2026-09-11T00:24:21Z,75279017744,3.549185e+10,3.9787167744e+10,35876200000,40290484224,76166684224,79281004544,8e+10,0.9409877218,331776,28568609729,0,0,1280,0,0
1789086275,2026-09-11T00:24:35Z,75767593680,3.625725e+10,3.951034368e+10,36428550000,39833305088,76261855088,79589441536,8e+10,0.947094921,356352,32014612369,0,0,1280,0,0
1789086289,2026-09-11T00:24:49Z,75644994304,3.63192e+10,3.9325794304e+10,37690950000,40508588032,78199538032,81749037056,8e+10,0.9455624288,364544,33062435185,0,0,22968,1,0
1789086304,2026-09-11T00:25:04Z,75620860064,3.75953e+10,3.8025560064e+10,38790582768,39388708864,78179291632,81521418240,8e+10,0.9452607508,385024,37600804977,0,0,22968,0,0
1789086319,2026-09-11T00:25:19Z,75562308784,3.783035e+10,3.7731958784e+10,39087400000,39216742400,78304142400,81616134144,8e+10,0.9445288598,413696,40949073425,0,0,22968,0,0
1789086333,2026-09-11T00:25:33Z,75788416384,3.79516e+10,3.7836816384e+10,38971400000,38994444288,77965844288,81452195840,8e+10,0.9473552048,450560,44607478577,0,0,22968,0,0
1789086348,2026-09-11T00:25:48Z,75897365120,3.80228e+10,3.787456512e+10,39155950000,38948306944,78104256944,81665871872,8e+10,0.948717064,487424,48282460945,0,0,22968,0,0
1789086363,2026-09-11T00:26:03Z,75599540652,3.785919326e+10,3.7740347392e+10,39189993260,39069941760,78259935020,81704726528,8e+10,0.94499425815,528384,52303149649,0,0,22968,0,0
1789086377,2026-09-11T00:26:17Z,75728846882,3.792558493e+10,3.7803261952e+10,39190132358,39065747456,78255879814,81468997632,8e+10,0.946610586025,561152,55541250993,0,0,22968,0,0
1789086392,2026-09-11T00:26:32Z,75927879307,3.8007176843e+10,3.7920702464e+10,39015626843,39107690496,78123317339,81451433984,8e+10,0.9490984913375,598016,59149924497,0,0,22968,0,0
1789086407,2026-09-11T00:26:47Z,75707137531,3.7866126843e+10,3.7841010688e+10,39123976843,39124467712,78248444555,81533317120,8e+10,0.9463392191375,638976,63137458769,0,0,22968,0,0
1789086421,2026-09-11T00:27:01Z,75832126139,3.7982726843e+10,3.7849399296e+10,39014126843,38986055680,78000182523,81751973888,8e+10,0.9479015767375,675840,66882894305,0,0,22968,0,0
1789086436,2026-09-11T00:27:16Z,75792674875,3.7905526843e+10,3.7887148032e+10,39061876843,39124467712,78186344555,81519624192,8e+10,0.9474084359375,716800,70820696929,0,0,22968,1,0
1789086451,2026-09-11T00:27:31Z,75976056523,3.8038576843e+10,3.793747968e+10,39162526843,39258685440,78421212283,81810874368,8e+10,0.9497007065375,753664,74541266641,0,0,22968,1,0
1789086466,2026-09-11T00:27:46Z,75716687531,3.7875676843e+10,3.7841010688e+10,39304426843,39048970240,78353397083,81781850112,8e+10,0.9464585941375,798720,78928383201,0,0,22968,0,0
1789086480,2026-09-11T00:28:00Z,75797104619,3.7968676843e+10,3.7828427776e+10,39050476843,39124467712,78174944555,81614499840,8e+10,0.9474638077375,835584,82673818737,0,0,22968,0,0
1789086496,2026-09-11T00:28:16Z,75775066011,3.7955026843e+10,3.7820039168e+10,39237126843,39027998720,78265125563,81817030656,8e+10,0.9471883251375,872448,86315646673,0,0,22968,1,0
1789086510,2026-09-11T00:28:30Z,75763414747,3.7905626843e+10,3.7857787904e+10,40679776843,40810577920,81490354763,84989902848,8e+10,0.9470426843375,884736,87439796065,0,0,45320,0,0
1789086525,2026-09-11T00:28:45Z,75615579931,3.7879426843e+10,3.7736153088e+10,41136876843,41016098816,82152975659,86360494080,8e+10,0.9451947491375,917504,90769072097,0,0,53317,1,0
1789086540,2026-09-11T00:29:00Z,75930817915,3.8001726843e+10,3.7929091072e+10,41082026843,41146122240,82228149083,85690859520,8e+10,0.9491352239375,946176,93537137985,0,0,65471,0,0
1789086555,2026-09-11T00:29:15Z,75625668539,3.7881126843e+10,3.7744541696e+10,41260226843,41200648192,82460875035,85827850240,8e+10,0.9453208567375,987136,97644857073,0,0,65471,0,0
1789086570,2026-09-11T00:29:30Z,75612828667,3.7838926843e+10,3.7773901824e+10,41105326843,41112567808,82217894651,85707481088,8e+10,0.9451603583375,1028096,101624102737,0,0,65471,0,0
1789086585,2026-09-11T00:29:45Z,75983160955,3.8012126843e+10,3.7971034112e+10,41151876843,40965767168,82117644011,85455220736,8e+10,0.9497895119375,1064960,105241064849,0,0,65471,0,0
1789086599,2026-09-11T00:29:59Z,75775997659,3.7905626843e+10,3.7870370816e+10,41137526843,41183870976,82321397819,85840945152,8e+10,0.9471999707375,1105920,109282475073,0,0,65471,0,0
1789086614,2026-09-11T00:30:14Z,75687467275,3.7905176843e+10,3.7782290432e+10,41348926843,41213231104,82562157947,85824434176,8e+10,0.9460933409375,1146880,113415059985,0,0,65471,0,0
1789086628,2026-09-11T00:30:29Z,75724394491,3.7925326843e+10,3.7799067648e+10,41108126843,41120956416,82229083259,85704261632,8e+10,0.9465549311375,1183744,117061032225,0,0,65471,1,0
1789086643,2026-09-11T00:30:43Z,75849740699,3.7937426843e+10,3.7912313856e+10,41330226843,41037070336,82367297179,85571239936,8e+10,0.9481217587375,1224704,121011267761,0,0,65471,1,0
1789086658,2026-09-11T00:30:58Z,75712800187,3.7917926843e+10,3.7794873344e+10,41387376843,41024487424,82411864267,85847244800,8e+10,0.9464100023375,1265664,125152141281,0,0,65471,0,0
1789086673,2026-09-11T00:31:13Z,75652493422,3.7882785902e+10,3.776970752e+10,41317918670,41058041856,82375960526,85886218240,8e+10,0.945656167775,1306624,129189398142,0,0,65471,1,0
1789086687,2026-09-11T00:31:27Z,75852523935,3.7986347423e+10,3.7866176512e+10,41141080191,41234202624,82375282815,85953310720,8e+10,0.9481565491875,1347584,133243229757,0,0,65471,1,0
1789086702,2026-09-11T00:31:42Z,75881886640,3.798635e+10,3.789553664e+10,41253500000,41255174144,82508674144,85874917376,8e+10,0.948523583,1388544,137263915884,0,0,65471,1,0
1789086717,2026-09-11T00:31:57Z,75900103728,3.801715e+10,3.7882953728e+10,41148700000,41003515904,82152215904,86032789504,8e+10,0.9487512966,1429504,141350913452,0,0,65471,0,0
1789086733,2026-09-11T00:32:13Z,75991223984,3.804955e+10,3.7941673984e+10,41095850000,41240494080,82336344080,86831484928,8e+10,0.9498902998,1466368,144967875564,0,0,65471,1,0
1789086747,2026-09-11T00:32:27Z,75670261952,3.7867e+10,3.7803261952e+10,42883400000,42932895744,85816295744,89152745472,8e+10,0.9458782744,1478656,146141756604,0,0,96226,0,0
1789086762,2026-09-11T00:32:42Z,75839320816,3.796895e+10,3.7870370816e+10,42986700000,42798678016,85785378016,89564110848,8e+10,0.9479915102,1519616,150220465564,0,0,101203,0,0
1789086777,2026-09-11T00:32:57Z,75677377776,3.784895e+10,3.7828427776e+10,42887300000,42974838784,85862138784,89503174656,8e+10,0.9459672222,1560576,154191422620,0,0,101203,0,0
1789086791,2026-09-11T00:33:11Z,75684127776,3.78557e+10,3.7828427776e+10,43037600000,42924507136,85962107136,89033134080,8e+10,0.9460515972,1601536,158245265756,0,0,101203,0,0
1789086806,2026-09-11T00:33:26Z,75712204992,3.7867e+10,3.7845204992e+10,42782550000,42681237504,85463787504,89710993408,8e+10,0.9464025624,1642496,162286675980,0,0,101203,0,0
1789086821,2026-09-11T00:33:41Z,75930485376,3.79972e+10,3.7933285376e+10,42822800000,42815455232,85638255232,89486807040,8e+10,0.9491310672,1679360,165969946956,0,0,101203,1,0
1789086836,2026-09-11T00:33:56Z,75841782208,3.79798e+10,3.7861982208e+10,42977982768,42723180544,85701163312,89510518784,8e+10,0.9480222776,1720320,170069377436,0,0,101203,0,0
1789086850,2026-09-11T00:34:10Z,75850320816,3.797995e+10,3.7870370816e+10,42931300000,42962255872,85893555872,89441452032,8e+10,0.9481290102,1761280,174110787660,0,0,101203,0,0
