ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789167437,2026-09-11T22:57:17Z,749577524,4.76724536e+08,2.72852988e+08,896124536,809723900,1705848436,2027405312,8e+10,0.00936971905,0,0,0,0,0,0,0,7.49577524e+08,1,0,0
1789167448,2026-09-11T22:57:28Z,3955246514,2.017254838e+09,1.937991676e+09,2232104838,2160289788,4392394626,4780728320,8e+10,0.049440581425,0,0,0,2,0,0,0,3.955246514e+09,1,0,0
1789167459,2026-09-11T22:57:39Z,6765938354,3.422854838e+09,3.343083516e+09,3729704838,3666044924,7395749762,7929180160,8e+10,0.084574229425,0,0,0,2,0,1,0,6.765938354e+09,1,0,0
1789167470,2026-09-11T22:57:50Z,9827609314,4.953604838e+09,4.874004476e+09,5262904838,5201160188,10464065026,11135557632,8e+10,0.122845116425,0,0,0,2,0,0,0,9.827609314e+09,1,0,0
1789167481,2026-09-11T22:58:01Z,12898824578,6.489704838e+09,6.40911974e+09,6699804838,6648195068,13347999906,14229237760,8e+10,0.161235307225,0,0,0,2,0,0,0,1.2898824578e+10,1,0,0
1789167492,2026-09-11T22:58:12Z,15709516418,7.895304838e+09,7.81421158e+09,8210254838,8132978684,16343233522,17264599040,8e+10,0.196368955225,0,0,0,2,0,1,0,1.5709516418e+10,1,0,0
1789167504,2026-09-11T22:58:24Z,18587662690,9.334804838e+09,9.252857852e+09,9596754838,9529681916,19126436754,20176080896,8e+10,0.232345783625,0,0,0,2,0,0,0,1.858766269e+10,1,0,0
1789167515,2026-09-11T22:58:35Z,21455014658,1.0767704838e+10,1.068730982e+10,10981154838,10934773756,21915928594,23116845056,8e+10,0.268187683225,0,0,0,2,0,0,0,2.1455014658e+10,1,0,0
1789167527,2026-09-11T22:58:47Z,24290739410,1.2185754838e+10,1.2104984572e+10,12415254838,12348254204,24763509042,26062852096,8e+10,0.303634242625,0,0,0,2,0,0,0,2.429073941e+10,1,0,0
1789167539,2026-09-11T22:58:59Z,27171135682,1.3627504838e+10,1.3543630844e+10,13838704838,13795289084,27633993922,29098295296,8e+10,0.339639196025,0,0,0,2,0,0,0,2.7171135682e+10,1,0,0
1789167551,2026-09-11T22:59:11Z,30040337650,1.5062254838e+10,1.4978082812e+10,15342754838,15263295484,30606050322,32155934720,8e+10,0.375504220625,0,0,0,2,0,1,0,3.004033765e+10,1,0,0
1789167563,2026-09-11T22:59:23Z,32910039618,1.6497504838e+10,1.641253478e+10,16781604838,16752273404,33533878242,35261038592,8e+10,0.411375495225,0,0,0,2,0,0,0,3.2910039618e+10,1,0,0
1789167575,2026-09-11T22:59:35Z,36213445394,1.8148354838e+10,1.8065090556e+10,18354304838,18299971580,36654276418,38502359040,8e+10,0.452668067425,0,0,0,2,0,1,0,3.6213445394e+10,1,0,0
1789167588,2026-09-11T22:59:48Z,39285710658,1.9685504838e+10,1.960020582e+10,19888254838,19877029884,39765284722,41785626624,8e+10,0.491071383225,0,0,0,2,0,0,0,3.9285710658e+10,1,0,0
1789167600,2026-09-11T23:00:00Z,42170101234,2.1127054838e+10,2.1043046396e+10,21421804838,21399562236,42821367074,44967002112,8e+10,0.527126265425,0,0,0,2,0,0,0,4.2170101234e+10,1,0,0
1789167613,2026-09-11T23:00:13Z,45545361442,2.2816204838e+10,2.2729156604e+10,23159154838,23089866748,46249021586,48485183488,8e+10,0.569317018025,0,0,0,2,0,0,0,4.5545361442e+10,1,0,0
1789167626,2026-09-11T23:00:26Z,48523639362,2.4305504838e+10,2.4218134524e+10,24667504838,24608204796,49275709634,51666452480,8e+10,0.606545492025,0,0,0,2,0,1,0,4.8523639362e+10,1,0,0
1789167639,2026-09-11T23:00:39Z,52146278690,2.6116204838e+10,2.6030073852e+10,26319854838,26344646652,52664501490,55497859072,8e+10,0.651828483625,0,0,0,2,0,1,0,5.214627869e+10,1,0,0
1789167653,2026-09-11T23:00:53Z,55492755986,2.7789154838e+10,2.7703601148e+10,28138954838,28097865724,56236820562,58929266688,8e+10,0.693659449825,0,0,0,2,0,1,0,5.5492755986e+10,1,0,0
1789167667,2026-09-11T23:01:07Z,58625531378,2.9357454838e+10,2.926807654e+10,29725354838,29733644284,59458999122,62538964992,8e+10,0.732819142225,0,0,0,2,0,0,0,5.8625531378e+10,1,0,0
1789167680,2026-09-11T23:01:20Z,62525982738,3.1307554838e+10,3.12184279e+10,31582404838,31604303868,63186708706,66246938624,8e+10,0.781574784225,0,0,0,2,0,1,0,6.2525982738e+10,1,0,0
1789167694,2026-09-11T23:01:34Z,66008118898,3.3049054838e+10,3.295906406e+10,33266004838,33189750780,66455755618,69703180288,8e+10,0.825101486225,0,0,0,2,0,0,0,6.6008118898e+10,1,0,0
1789167707,2026-09-11T23:01:47Z,69800694306,3.4945804838e+10,3.4854889468e+10,35135104838,35165267964,70300372802,73677025280,8e+10,0.872508678825,0,0,0,2,0,0,0,6.9800694306e+10,1,0,0
1789167722,2026-09-11T23:02:02Z,72921175394,3.6506004838e+10,3.6415170556e+10,36797654838,36822018044,73619672882,77138272256,8e+10,0.911514692425,0,0,0,2,0,0,0,7.2921175394e+10,1,0,0
1789167736,2026-09-11T23:02:16Z,75913419862,3.8072409174e+10,3.7841010688e+10,38115130302,38117834752,76232965054,79011008512,8e+10,0.948917748275,8192,942934108,0,2,0,0,0,7.5913419862e+10,1,0,0
