ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789168858,2026-09-11T23:20:58Z,1133333532,6.21404838e+08,5.11928694e+08,660204838,520317302,1180522140,1471688704,8e+10,0.01416666915,0,0,0,0,0,1,0,1.133333532e+09,1,0,0
1789168869,2026-09-11T23:21:09Z,3288383580,1.782404838e+09,1.505978742e+09,1837204838,1564698998,3401903836,3765358592,8e+10,0.04110479475,0,0,0,2,0,0,0,3.28838358e+09,1,0,0
1789168880,2026-09-11T23:21:20Z,5673365916,2.976204838e+09,2.697161078e+09,3150354838,2877516150,6027870988,6526226432,8e+10,0.07091707395,0,0,0,2,0,0,0,5.673365916e+09,1,0,0
1789168891,2026-09-11T23:21:31Z,8500846364,4.390204838e+09,4.110641526e+09,4477304838,4207110518,8684415356,9274871808,8e+10,0.10626057955,0,0,0,2,0,1,0,8.500846364e+09,1,0,0
1789168902,2026-09-11T23:21:42Z,11108074908,5.693004838e+09,5.41507007e+09,5758604838,5486373238,11244978076,11952951296,8e+10,0.13885093635,0,0,0,2,0,0,0,1.1108074908e+10,1,0,0
1789168913,2026-09-11T23:21:53Z,14009004092,7.142704838e+09,6.866299254e+09,7192204838,6929213814,14121418652,14957158400,8e+10,0.17511255115,0,0,0,2,0,0,0,1.4009004092e+10,1,0,0
1789168925,2026-09-11T23:22:05Z,16619871244,8.440754838e+09,8.179116406e+09,8472904838,8242030966,16714935804,17684017152,8e+10,0.20774839055,0,0,0,2,0,0,0,1.6619871244e+10,1,0,0
1789168936,2026-09-11T23:22:16Z,19220955484,9.741604838e+09,9.479350646e+09,9784004838,9546459510,19330464348,20401463296,8e+10,0.24026194355,0,0,0,2,0,0,0,1.9220955484e+10,1,0,0
1789168948,2026-09-11T23:22:28Z,21924821372,1.1094904838e+10,1.0829916534e+10,11159604838,10955745654,22115350492,23414652928,8e+10,0.27406026715,0,0,0,2,0,1,0,2.1924821372e+10,1,0,0
1789168960,2026-09-11T23:22:40Z,24641125868,1.2452254838e+10,1.218887103e+10,12577554838,12323088758,24900643596,26202095616,8e+10,0.30801407335,0,0,0,2,0,0,0,2.4641125868e+10,1,0,0
1789168971,2026-09-11T23:22:51Z,27485494924,1.3874754838e+10,1.3610740086e+10,13915604838,13673654646,27589259484,29024014336,8e+10,0.34356868655,0,0,0,2,0,1,0,2.7485494924e+10,1,0,0
1789168984,2026-09-11T23:23:04Z,30111612076,1.5188054838e+10,1.4923557238e+10,15276504838,15066163574,30342668412,31936417792,8e+10,0.37639515095,0,0,0,2,0,0,0,3.0111612076e+10,1,0,0
1789168996,2026-09-11T23:23:16Z,32955931132,1.6610504838e+10,1.6345426294e+10,16680954838,16467061110,33148015948,34845347840,8e+10,0.41194913915,0,0,0,2,0,1,0,3.2955931132e+10,1,0,0
1789169008,2026-09-11T23:23:28Z,35766272972,1.8015754838e+10,1.7750518134e+10,18110554838,17876347254,35986902092,37790859264,8e+10,0.44707841215,0,0,0,2,0,0,0,3.5766272972e+10,1,0,0
1789169021,2026-09-11T23:23:41Z,38629680636,1.9448904838e+10,1.9180775798e+10,19574654838,19314993526,38889648364,40794431488,8e+10,0.48287100795,0,0,0,2,0,1,0,3.8629680636e+10,1,0,0
1789169033,2026-09-11T23:23:53Z,41488488300,2.0877454838e+10,2.0611033462e+10,20959804838,20757834102,41717638940,43809415168,8e+10,0.51860610375,0,0,0,2,0,0,0,4.14884883e+10,1,0,0
1789169046,2026-09-11T23:24:06Z,44708201036,2.2486554838e+10,2.2221646198e+10,22584354838,22397806966,44982161804,47235391488,8e+10,0.55885251295,0,0,0,2,0,1,0,4.4708201036e+10,1,0,0
1789169059,2026-09-11T23:24:19Z,47931963772,2.4099704838e+10,2.3832258934e+10,24156254838,23949699446,48105954284,50478788608,8e+10,0.59914954715,0,0,0,2,0,0,0,4.7931963772e+10,1,0,0
1789169072,2026-09-11T23:24:32Z,50761594220,2.5515854838e+10,2.5245739382e+10,25644354838,25430288758,51074643596,53551419392,8e+10,0.63451992775,0,0,0,2,0,0,0,5.076159422e+10,1,0,0
1789169085,2026-09-11T23:24:45Z,53796432268,2.7032354838e+10,2.676407743e+10,27177504838,26919266678,54096771516,56666378240,8e+10,0.67245540335,0,0,0,2,0,0,0,5.3796432268e+10,1,0,0
1789169099,2026-09-11T23:24:59Z,56777210188,2.8524154838e+10,2.825305535e+10,28642954838,28450187638,57093142476,59842318336,8e+10,0.70971512735,0,0,0,2,0,0,0,5.6777210188e+10,1,0,0
1789169112,2026-09-11T23:25:12Z,59812248236,3.0040854838e+10,2.9771393398e+10,30191104838,29976914294,60168019132,63053004800,8e+10,0.74765310295,0,0,0,2,0,0,0,5.9812248236e+10,1,0,0
1789169126,2026-09-11T23:25:26Z,62882963500,3.1576454838e+10,3.1306508662e+10,31792754838,31533001078,63325755916,66293149696,8e+10,0.78603704375,0,0,0,2,0,0,0,6.28829635e+10,1,0,0
1789169140,2026-09-11T23:25:40Z,66182324972,3.3227454838e+10,3.2954870134e+10,33285654838,33084893558,66370548396,69515915264,8e+10,0.82727906215,0,0,0,2,0,0,0,6.6182324972e+10,1,0,0
1789169154,2026-09-11T23:25:54Z,69252940236,3.4762954838e+10,3.4489985398e+10,34909453990,34666146166,69575600156,72825184256,8e+10,0.86566175295,0,0,0,2,0,0,0,6.9252940236e+10,1,0,0
1789169168,2026-09-11T23:26:08Z,72550101708,3.6411754838e+10,3.613834687e+10,36554554838,36394199414,72948754252,76438847488,8e+10,0.90687627135,0,0,0,2,0,0,0,7.2550101708e+10,1,0,0
1789169182,2026-09-11T23:26:22Z,75853307484,3.8062404838e+10,3.7790902646e+10,37509994940,36565942272,74075937212,75811500032,8e+10,0.94816634355,0,0,0,2,0,1,0,7.5853307484e+10,1,0,0
1789169196,2026-09-11T23:26:36Z,73036178976,3.65709e+10,3.6465278976e+10,36516900000,36540776448,73057676448,76132585472,8e+10,0.9480505856,61440,5904982380,0,2,1380,1,0,7.5844046848e+10,1,0,0
1789169210,2026-09-11T23:26:50Z,72788009984,3.64192e+10,3.6368809984e+10,36487500000,36488347648,72975847648,76118212608,8e+10,0.9455624704,94208,9089207772,0,2,1912,0,0,7.5644997632e+10,1,0,0
1789169224,2026-09-11T23:27:04Z,72714289728,3.64042e+10,3.6310089728e+10,36679600000,36519804928,73199404928,76023775232,8e+10,0.9454984704,131072,12772478748,0,2,2393,0,0,7.5639877632e+10,1,0,0
1789169238,2026-09-11T23:27:18Z,72800042896,3.641865e+10,3.6381392896e+10,36663900000,36473667584,73137567584,75973582848,8e+10,0.9470672384,163840,15952559836,0,2,2910,0,0,7.5765379072e+10,1,0,0
1789169252,2026-09-11T23:27:32Z,72940441632,3.65213e+10,3.6419141632e+10,36639500000,36603691008,73243191008,75965591552,8e+10,0.9495983104,192512,18849099148,0,2,3434,0,0,7.5967864832e+10,1,0,0
1789169266,2026-09-11T23:27:46Z,72585492256,3.63509e+10,3.6234592256e+10,36617350000,36599496704,73216846704,75947315200,8e+10,0.9457471488,229376,22503359996,0,2,3973,1,0,7.5659771904e+10,1,0,0
1789169281,2026-09-11T23:28:01Z,72741855552,3.64066e+10,3.6335255552e+10,36602800000,36576428032,73179228032,75851362304,8e+10,0.9484110848,258048,25292147404,0,2,4484,0,0,7.5872886784e+10,1,0,0
1789169295,2026-09-11T23:28:15Z,72670840044,3.636494462e+10,3.6305895424e+10,36611494620,36532387840,73143882460,76127096832,8e+10,0.9481663488,290816,28517815836,0,2,5014,0,0,7.5853307904e+10,1,0,0
1789169309,2026-09-11T23:28:29Z,72636010453,3.6351086549e+10,3.6284923904e+10,36551986549,36511416320,73063402869,76071546880,8e+10,0.9484471808,323584,31755917180,0,2,5534,0,0,7.5875774464e+10,1,0,0
1789169324,2026-09-11T23:28:44Z,72082540496,3.6082829264e+10,3.5999711232e+10,36778779264,36511416320,73290195584,76495118336,8e+10,0.9456596992,356352,34994018524,0,2,8521,0,0,7.5652775936e+10,1,0,0
1789169338,2026-09-11T23:28:58Z,71740908208,3.5938329264e+10,3.5802578944e+10,37717129264,37274779648,74991908912,76867612672,8e+10,0.9840733184,364544,35855347660,0,2,43662,0,0,7.8725865472e+10,1,0,0
1789169352,2026-09-11T23:29:12Z,0,0,0,38063529264,38000394240,76063923504,79659921408,8e+10,0.9828706304,397312,39101737612,0,2,73496,0,1,7.8629650432e+10,1,0,0
1789169366,2026-09-11T23:29:26Z,69770044016,3.9516529264e+10,3.0253514752e+10,39878879264,30509367296,70388246560,74313760768,8e+10,0.88162161275,399786,48442369708,0,2,82094,1,0,7.052972902e+10,2,0,0
1789169380,2026-09-11T23:29:40Z,73117671312,4.1190629264e+10,3.1927042048e+10,41512529264,32212254720,73724783984,77702803456,8e+10,0.9235169955,399786,48442369708,0,2,82094,0,0,7.388135964e+10,2,0,0
1789169395,2026-09-11T23:29:55Z,68596731136,4.2935979264e+10,2.5660751872e+10,43198029264,25857884160,69055913424,73190080512,8e+10,0.866412045575,401696,56453490348,0,2,82440,0,0,6.9312963646e+10,2,0,0
1789169410,2026-09-11T23:30:10Z,71979935648,4.4628879264e+10,2.7351056384e+10,44915279264,27552382976,72467662240,76659720192,8e+10,0.908785629475,401696,56453490348,0,2,82440,0,0,7.2702850358e+10,2,0,0
1789169424,2026-09-11T23:30:24Z,75235425600,4.6256979264e+10,2.8978446336e+10,46606729264,21181235200,67787964464,72049684480,8e+10,0.94955409,401696,56453490348,0,2,82446,0,0,7.59643272e+10,2,0,0
1789169439,2026-09-11T23:30:39Z,70380707568,4.7832129264e+10,2.2548578304e+10,48223379264,22865248256,71088627520,75554951168,8e+10,0.889042046,403605,64460416684,0,2,82790,1,0,7.112336368e+10,2,0,0
1789169455,2026-09-11T23:30:55Z,73896170944,4.9590179264e+10,2.430599168e+10,50013379264,24591204352,74604583616,79181168640,8e+10,0.9344570092,403605,64460416684,0,2,82790,0,0,7.4756560736e+10,2,0,0
1789169470,2026-09-11T23:31:10Z,75056084896,5.0171279264e+10,2.4884805632e+10,51678479264,15661531136,67340010400,71265579008,8e+10,0.9494427372,403605,64460416684,0,2,105721,0,0,7.5955418976e+10,2,0,0
1789169486,2026-09-11T23:31:26Z,62867054544,5.0514829264e+10,1.235222528e+10,53262679264,15107883008,68370562272,73375879168,8e+10,0.8602853612,407701,77433817308,0,2,133006,1,0,6.8822828896e+10,2,0,0
1789169501,2026-09-11T23:31:41Z,66455816656,5.2308429264e+10,1.4147387392e+10,55122029264,16924016640,72046045904,77134708736,8e+10,0.9066496748,407701,77433817308,0,2,133006,0,0,7.2531973984e+10,2,0,0
1789169517,2026-09-11T23:31:57Z,69755835728,5.3855229264e+10,1.5900606464e+10,56322179264,18723373056,75045552320,79118159872,8e+10,0.9497695468,411797,77638617308,0,2,133486,0,0,7.5981563744e+10,2,0,0
1789169533,2026-09-11T23:32:13Z,69761974695,5.2120732071e+10,1.7641242624e+10,54745582071,20438843392,75184425463,79135879168,8e+10,0.9497556204,481429,81120214501,0,2,134457,0,0,7.5980449632e+10,2,0,0
1789169549,2026-09-11T23:32:29Z,69775694534,5.0490284742e+10,1.9285409792e+10,52996334742,22145925120,75142259862,79155101696,8e+10,0.9498087148,546965,84397011830,0,2,135375,0,0,7.5984697184e+10,2,0,0
1789169564,2026-09-11T23:32:44Z,69701231958,4.8712934742e+10,2.0988297216e+10,51595434742,23865589760,75461024502,79185989632,8e+10,0.9486264556,616597,87878611830,0,2,136303,0,0,7.5890116448e+10,2,0,0
1789169580,2026-09-11T23:33:00Z,69771411507,4.7109586995e+10,2.2661824512e+10,49874586995,25576865792,75451452787,79142666240,8e+10,0.9495030508,682133,91155409577,0,2,137313,1,0,7.5960244064e+10,2,0,0
1789169596,2026-09-11T23:33:16Z,68371960320,4.5080990208e+10,2.3290970112e+10,49002990208,27216838656,76219828864,80824283136,8e+10,0.9478681836,735381,93817806364,0,2,154564,0,0,7.5829454688e+10,2,0,0
1789169611,2026-09-11T23:33:31Z,67917058784,5.0221290208e+10,1.7695768576e+10,50562490208,17947426816,68509917024,73255862272,8e+10,0.85842871185,742338,104986434108,0,2,182457,0,0,6.8674296948e+10,3,0,0
1789169626,2026-09-11T23:33:46Z,71474293680,5.2000140208e+10,1.9474153472e+10,52214290208,19700645888,71914936096,76928921600,8e+10,0.903046671925,742338,104986434108,0,2,182457,0,0,7.2243733754e+10,3,0,0
1789169642,2026-09-11T23:34:02Z,75031678576,5.3779140208e+10,2.1252538368e+10,54029040208,13451132928,67480173136,72562569216,8e+10,0.947656245025,742338,104986434108,0,2,182457,0,0,7.5812499602e+10,3,0,0
1789169658,2026-09-11T23:34:18Z,70283836496,5.5406640208e+10,1.4877196288e+10,55745140208,15246295040,70991435248,76308094976,8e+10,0.887783255925,744247,112993360444,0,2,182897,0,0,7.1022660474e+10,3,0,0
1789169674,2026-09-11T23:34:34Z,74013207472,5.7273740208e+10,1.6739467264e+10,57580340208,17045651456,74625991664,77321588736,8e+10,0.934570716575,744247,112993360444,0,2,182897,0,0,7.4765657326e+10,3,0,0
1789169690,2026-09-11T23:34:50Z,69406274256,5.8975040208e+10,1.0431234048e+10,59391090208,10817110016,70208200224,75734495232,8e+10,0.8770930636,746157,121004481084,0,2,183461,0,0,7.0167445088e+10,3,0,0
1789169706,2026-09-11T23:35:06Z,73162772448,6.0852490208e+10,1.231028224e+10,61200640208,12662603776,73863243984,79573942272,8e+10,0.9256116684,746157,121004481084,0,2,183461,0,0,7.4048933472e+10,3,0,0
1789169722,2026-09-11T23:35:22Z,74914999056,6.2072040208e+10,1.2842958848e+10,62248876570,13195280384,75444156954,79934373888,8e+10,0.9491448268,758445,122887038108,0,2,183940,1,0,7.5931586144e+10,3,0,0
1789169739,2026-09-11T23:35:39Z,74885008000,6.0318190208e+10,1.4566817792e+10,60630090208,14944305152,75574395360,79940931584,8e+10,0.9486621644,828077,126368638108,0,2,184951,0,0,7.5892973152e+10,3,0,0
1789169755,2026-09-11T23:35:55Z,74808287824,5.8643440208e+10,1.6164847616e+10,58967040208,16672358400,75639398608,80016601088,8e+10,0.9478405068,893613,129645438108,0,2,186089,0,0,7.5827240544e+10,3,0,0
1789169771,2026-09-11T23:36:11Z,74931575248,5.7063840208e+10,1.786773504e+10,57492790208,18396217344,75889007552,79836483584,8e+10,0.9497195318625,959149,132922238108,0,2,187202,1,0,7.5977562549e+10,3,0,0
1789169787,2026-09-11T23:36:27Z,74709259504,5.5209940208e+10,1.9499319296e+10,55605840208,20115881984,75721722192,79699222528,8e+10,0.948299153175,1028781,136403838108,0,2,188349,0,0,7.5863932254e+10,3,0,0
1789169803,2026-09-11T23:36:43Z,74670924144,5.3451940208e+10,2.1218983936e+10,53731640208,21806186496,75537826704,79644524544,8e+10,0.9492342768375,1098413,139885438108,0,2,189448,0,0,7.5938742147e+10,3,0,0
1789169818,2026-09-11T23:36:58Z,74601900845,5.1780692781e+10,2.2821208064e+10,52019292781,23488102400,75507395181,79625097216,8e+10,0.9497380438375,1163949,143162235535,0,2,190429,1,0,7.5979043507e+10,3,0,0
1789169834,2026-09-11T23:37:14Z,74347807885,4.9911792781e+10,2.4436015104e+10,50490275549,25140658176,75630933725,79516430336,8e+10,0.9481037036625,1233581,146643835535,0,2,191475,0,0,7.5848296293e+10,3,0,0
1789169849,2026-09-11T23:37:29Z,74317403533,4.8258192781e+10,2.6059210752e+10,48839992781,26759659520,75599652301,80183693312,8e+10,0.9493509216375,1299117,149920635535,0,2,192525,1,0,7.5948073731e+10,3,0,0
1789169865,2026-09-11T23:37:45Z,73095526239,4.6314895199e+10,2.678063104e+10,47471645199,28332523520,75804168719,79997906944,8e+10,0.9483918586,1352365,152583033117,0,2,206630,0,0,7.5871348688e+10,3,0,0
