ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789174990,2026-09-12T01:03:10Z,57590779199,2.8909904838e+10,2.8680874361e+10,29066354838,28953504121,58019858959,60625178624,8e+10,0.746711296,0,0,0,0,517,2,0,5.973690368e+10,1,0,0
1789175004,2026-09-12T01:03:24Z,60361803951,3.0263254838e+10,3.0098549113e+10,30406754838,30358595961,60765350799,63708811264,8e+10,0.7825594368,0,0,0,2,517,1,0,6.2604754944e+10,1,0,0
1789175018,2026-09-12T01:03:38Z,63388247695,3.1775554838e+10,3.1612692857e+10,31809504838,31784659321,63594164159,66674159616,8e+10,0.8217288192,0,0,0,2,517,0,0,6.5738305536e+10,1,0,0
1789175033,2026-09-12T01:03:53Z,66198389535,3.3180604838e+10,3.3017784697e+10,33358104838,33273637241,66631742079,69773303808,8e+10,0.8581186048,0,0,0,2,517,1,0,6.8649488384e+10,1,0,0
1789175047,2026-09-12T01:04:07Z,69130590239,3.4640604838e+10,3.4489985401e+10,34779304838,34678729081,69458033919,72689496064,8e+10,0.8960795648,0,0,0,2,517,0,0,7.1686365184e+10,1,0,0
1789175061,2026-09-12T01:04:21Z,72082585247,3.6116204838e+10,3.5966380409e+10,36281804838,36251593081,72533397919,75776643072,8e+10,0.9343172608,0,0,0,2,517,0,0,7.4745380864e+10,1,0,0
1789175075,2026-09-12T01:04:35Z,72535434194,3.5885605841e+10,3.6649828353e+10,36117355841,37174116353,73291472194,76041150464,8e+10,0.9474661376,28672,1933383389,0,2,6181,0,0,7.5797291008e+10,1,0,0
1789175089,2026-09-12T01:04:49Z,72520806024,3.4537188999e+10,3.7983617025e+10,34746643963,38449184769,73195828732,75995996160,8e+10,0.9480602624,86016,4978755303,0,2,7752,0,0,7.5844820992e+10,1,0,0
1789175103,2026-09-12T01:05:03Z,72442127282,3.4257183665e+10,3.8184943617e+10,35882033665,39816527873,75698561538,77136764928,8e+10,0.9480091648,98304,5721584061,0,2,29652,0,0,7.5840733184e+10,1,0,0
1789175117,2026-09-12T01:05:17Z,0,0,0,35571928336,41242591233,76814519569,80177815552,8e+10,0.9858642432,135168,7726367246,0,2,58694,0,1,7.8869139456e+10,1,0,0
1789175131,2026-09-12T01:05:31Z,67527450097,3.6321828336e+10,3.1205621761e+10,36800278336,31478251521,68278529857,71879143424,8e+10,0.8622371368375,138064,18845284238,0,2,71703,0,0,6.8978970947e+10,2,0,0
1789175146,2026-09-12T01:05:46Z,70772195745,3.7943378336e+10,3.2828817409e+10,38492781928,33072087041,71564868969,75199127552,8e+10,0.9028544305625,138064,18845284238,0,2,71703,0,0,7.2228354445e+10,2,0,0
1789175160,2026-09-12T01:06:00Z,73991747089,3.9543928336e+10,3.4447818753e+10,40063178336,34691088385,74754266721,70489804800,8e+10,0.9431552179875,138064,18845284238,0,2,71703,0,0,7.5452417439e+10,2,0,0
1789175175,2026-09-12T01:06:15Z,69206533489,4.1155028336e+10,2.8051505153e+10,41657128336,28315746305,69972874641,73940090880,8e+10,0.8818444280875,139973,26852210574,0,2,72007,1,0,7.0547554247e+10,2,0,0
1789175189,2026-09-12T01:06:29Z,72434440529,4.2768128336e+10,2.9666312193e+10,43375428336,29959913473,73335341809,77364277248,8e+10,0.9223110447625,139973,26852210574,0,2,72007,1,0,7.3784883581e+10,2,0,0
1789175204,2026-09-12T01:06:44Z,67608999713,4.4355778336e+10,2.3253221377e+10,44906678336,23559405569,68466083905,72680996864,8e+10,0.8606264789875,141884,34867525518,0,2,72315,0,0,6.8850118319e+10,2,0,0
1789175219,2026-09-12T01:06:59Z,71057208657,4.6080128336e+10,2.4977080321e+10,46652428336,25232932865,71885361201,76182286336,8e+10,0.9039068897375,141884,34867525518,0,2,72315,0,0,7.2312551179e+10,2,0,0
1789175235,2026-09-12T01:07:15Z,74564227729,4.7833928336e+10,2.6730299393e+10,48230428336,18916311040,67146739376,71685754880,8e+10,0.9479121852125,141884,34867525518,0,2,72315,0,0,7.5832974817e+10,2,0,0
1789175250,2026-09-12T01:07:30Z,69772169824,4.9442378336e+10,2.0329791488e+10,50042428336,20627587072,70670015408,75266932736,8e+10,0.886883897675,143795,42878646159,0,2,72713,0,0,7.0950711814e+10,2,0,0
1789175265,2026-09-12T01:07:45Z,73237167376,5.1175128336e+10,2.206203904e+10,51665928336,22368223232,74034151568,78894895104,8e+10,0.9304009342625,143795,42878646159,0,2,72713,1,0,7.4432074741e+10,2,0,0
1789175281,2026-09-12T01:08:01Z,71283152016,5.2744328336e+10,1.853882368e+10,53359128336,18861785088,72220913424,77112119296,8e+10,0.9075126158125,147891,48255537551,0,2,73154,0,0,7.2601009265e+10,2,0,0
1789175297,2026-09-12T01:08:17Z,74503428048,5.4253328336e+10,2.0250099712e+10,54479928336,20621295616,75101223952,79219187712,8e+10,0.9491276174125,151987,48460337551,0,2,73154,1,0,7.5930209393e+10,2,0,0
1789175313,2026-09-12T01:08:33Z,74480331296,5.2502178336e+10,2.197815296e+10,52677428336,22309502976,74986931312,79067914240,8e+10,0.9485222286125,221619,51941937551,0,2,73977,0,0,7.5881778289e+10,2,0,0
1789175332,2026-09-12T01:08:52Z,74508102880,5.1183578336e+10,2.3324524544e+10,52246778336,24079499264,76326277600,79156637696,8e+10,0.9485171598125,274867,54604337551,0,2,78446,1,0,7.5881372785e+10,2,0,0
1789175348,2026-09-12T01:09:08Z,73022089632,4.8804178336e+10,2.4217911296e+10,50858828336,26096959488,76955787824,79109836800,8e+10,0.9499234190125,340403,57881137551,0,2,102047,0,0,7.5993873521e+10,2,0,0
1789175363,2026-09-12T01:09:23Z,71217751703,4.5707994775e+10,2.5509756928e+10,47799644775,27694989312,75494634087,79203250176,8e+10,0.9489947022125,425545,62138221112,0,2,111216,0,0,7.5919576177e+10,2,0,0
