ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789177988,2026-09-12T01:53:08Z,57933650093,2.9047254838e+10,2.8886395255e+10,29351804838,29230328183,58582133021,60963733504,8e+10,0.7516073984,0,0,0,2,502,0,0,6.0128591872e+10,1,0,0
1789178003,2026-09-12T01:53:23Z,60663560285,3.0422404838e+10,3.0241155447e+10,30675504838,30564116855,61239621693,64144445440,8e+10,0.7869543424,0,0,0,4,511,0,0,6.2956347392e+10,1,0,0
1789178017,2026-09-12T01:53:37Z,63826212893,3.2003804838e+10,3.1822408055e+10,32131104838,32082454903,64213559741,67294109696,8e+10,0.8278903808,0,0,0,4,511,1,0,6.6231230464e+10,1,0,0
1789178031,2026-09-12T01:53:51Z,66989515501,3.3585854838e+10,3.3403660663e+10,33700004838,33611278711,67311283549,70483222528,8e+10,0.8688387584,0,0,0,4,511,0,0,6.9507100672e+10,1,0,0
1789178045,2026-09-12T01:54:05Z,70203233933,3.5193154838e+10,3.5010079095e+10,35318354838,35196725623,70515080461,73805946880,8e+10,0.9104580608,0,0,0,4,511,0,0,7.2836644864e+10,1,0,0
1789178059,2026-09-12T01:54:19Z,73139840333,3.6661754838e+10,3.6478085495e+10,36866254838,36746520951,73612775789,76152623104,8e+10,0.9485060096,0,0,0,4,513,0,0,7.5880480768e+10,1,0,0
1789178073,2026-09-12T01:54:33Z,72714221256,3.5783374536e+10,3.693084672e+10,35988524536,37421580288,73410104824,76075683840,8e+10,0.9487530496,40960,2734408373,0,4,5333,0,0,7.5900243968e+10,1,0,0
1789178087,2026-09-12T01:54:47Z,72103702952,3.4128474536e+10,3.7975228416e+10,34789457304,38818283520,73607740824,76982398976,8e+10,0.9489794048,98304,5763236229,0,4,12573,0,0,7.5918352384e+10,1,0,0
1789178101,2026-09-12T01:55:01Z,71203363080,3.3198774536e+10,3.8004588544e+10,34626724536,40194015232,74820739768,78163759104,8e+10,0.9672347136,118784,6853545093,0,4,40429,1,0,7.7378777088e+10,1,0,0
1789178115,2026-09-12T01:55:15Z,3686400000,3.6864e+09,0,35748524536,41519415296,77267939832,80757248000,8e+10,0.9970347008,135168,7672745093,0,4,68166,0,1,7.9762776064e+10,1,0,0
1789178129,2026-09-12T01:55:29Z,68765015320,3.6800224536e+10,3.1964790784e+10,37347524536,32170311680,69517836216,73120362496,8e+10,0.8759995895,138025,18619795621,0,4,75769,0,0,7.007996716e+10,2,0,0
1789178143,2026-09-12T01:55:43Z,72112592616,3.8474274536e+10,3.363831808e+10,39048857304,33822867456,72871724760,76544409600,8e+10,0.9178933647,138025,18619795621,0,4,75769,0,0,7.3431469176e+10,2,0,0
1789178158,2026-09-12T01:55:58Z,67270468888,4.0057824536e+10,2.7212644352e+10,40606924536,27409776640,68016701176,71844483072,8e+10,0.8560065067,139935,26630916261,0,4,76077,1,0,6.8480520536e+10,2,0,0
1789178172,2026-09-12T01:56:12Z,70626440488,4.1736074536e+10,2.8890365952e+10,42243874536,29095886848,71339761384,75390136320,8e+10,0.8980698333,139935,26630916261,0,4,76077,0,0,7.1845586664e+10,2,0,0
1789178187,2026-09-12T01:56:27Z,73965573480,4.3405874536e+10,3.0559698944e+10,43924574536,30798774272,74723348808,70834012160,8e+10,0.9399134157,139935,26630916261,0,4,76077,1,0,7.5193073256e+10,2,0,0
1789178202,2026-09-12T01:56:42Z,69161226968,4.5010424536e+10,2.4150802432e+10,45631374536,24440209408,70071583944,74340814848,8e+10,0.8787172538125,141845,34642036901,0,4,76432,0,0,7.0297380305e+10,2,0,0
1789178217,2026-09-12T01:56:57Z,72456027048,4.6648474536e+10,2.5807552512e+10,47237824536,26126319616,73364144152,77778493440,8e+10,0.9200535033,141845,34642036901,0,4,76432,0,0,7.3604280264e+10,2,0,0
1789178232,2026-09-12T01:57:12Z,67829629912,4.8246424536e+10,1.9583205376e+10,48851974536,19860029440,68712003976,73256628224,8e+10,0.8611934941,143753,42644768933,0,4,76785,1,0,6.8895479528e+10,2,0,0
1789178248,2026-09-12T01:57:28Z,71177257208,4.9920524536e+10,2.1256732672e+10,50679807304,21625831424,72305638728,76953452544,8e+10,0.9033764839,143753,42644768933,0,4,76785,0,0,7.2270118712e+10,2,0,0
1789178263,2026-09-12T01:57:43Z,67998953176,5.1599224536e+10,1.639972864e+10,52262624536,16743661568,69006286104,73868460032,8e+10,0.8659803111,147849,49430723685,0,4,77218,0,0,6.9278424888e+10,2,0,0
1789178279,2026-09-12T01:57:59Z,71639881112,5.3419824536e+10,1.8220056576e+10,54164574536,18576572416,72741146952,77684432896,8e+10,0.9127819239,147849,49430723685,0,4,77218,0,0,7.3022553912e+10,2,0,0
1789178295,2026-09-12T01:58:15Z,74361177400,5.4371124536e+10,1.9990052864e+10,54880774536,20371734528,75252509064,79177850880,8e+10,0.9476746727,164233,50249923685,0,4,77218,1,0,7.5813973816e+10,2,0,0
1789178310,2026-09-12T01:58:30Z,74392313170,5.2649041234e+10,2.1743271936e+10,53189041234,22095593472,75284634706,79223226368,8e+10,0.9479652839,233865,53731506987,0,4,78143,0,0,7.5837222712e+10,2,0,0
1789178326,2026-09-12T01:58:46Z,74408051466,5.1020612362e+10,2.3387439104e+10,51747212362,23792189440,75539401802,79123230720,8e+10,0.9481250279,299401,57008285859,0,4,79110,0,0,7.5850002232e+10,2,0,0
1789178343,2026-09-12T01:59:03Z,74361469226,5.0177112362e+10,2.4184356864e+10,51511462362,25664946176,77176408538,82352193536,8e+10,0.9476323815,332169,58646685859,0,4,95791,0,0,7.581059052e+10,2,0,0
1789178358,2026-09-12T01:59:18Z,70719338140,4.5796783772e+10,2.4922554368e+10,48258183772,27325890560,75584074332,79256133632,8e+10,0.9488462823,434569,63766614449,0,4,120036,0,0,7.5907702584e+10,2,0,0
1789178373,2026-09-12T01:59:33Z,70664300876,4.4131133772e+10,2.6533167104e+10,46873733772,28957474816,75831208588,79127928832,8e+10,0.9484221927,500105,67043414449,0,4,121044,0,0,7.5873775416e+10,2,0,0
1789178388,2026-09-12T01:59:48Z,70823519048,4.2675544904e+10,2.8147974144e+10,45067644904,30591156224,75658801128,79210639360,8e+10,0.9494730727,561545,70115353317,0,4,121614,0,0,7.5957845816e+10,2,0,0
1789178402,2026-09-12T02:00:02Z,70659155832,4.0955094904e+10,2.9704060928e+10,43566644904,32245809152,75812454056,78966423552,8e+10,0.94833283335,627081,73392153317,0,4,122438,0,0,7.5866626668e+10,2,0,0
1789178417,2026-09-12T02:00:17Z,70288863828,3.8827389524e+10,3.1461474304e+10,41539839524,34005319680,75545159204,78588440576,8e+10,0.94832220325,704905,77283353317,0,4,123758,0,0,7.586577626e+10,2,0,0
1789178431,2026-09-12T02:00:31Z,69907642589,3.6898470109e+10,3.300917248e+10,39590770109,35601252352,75192022461,78176690176,8e+10,0.9479496419875,774537,80764914661,0,4,124798,1,0,7.5835971359e+10,2,0,0
1789178446,2026-09-12T02:00:46Z,69515591847,3.4962915495e+10,3.4552676352e+10,37954712824,37169922048,75124634872,77975220224,8e+10,0.94780804565,844169,84246514661,0,4,125760,0,0,7.5824643652e+10,2,0,0
