ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789183689,2026-09-12T03:28:09Z,320418921,3.19404838e+08,1.014083e+06,563904838,478374265,1042279103,89399492608,8e+10,0.0040052365125,0,0,0,0,0,4,0,3.20418921e+08,1,0,0
1789183700,2026-09-12T03:28:20Z,2957548767,1.573204838e+09,1.384343929e+09,1761254838,1581476217,3342731055,91748130816,8e+10,0.0369693595875,0,0,0,2,0,0,0,2.957548767e+09,1,0,0
1789183711,2026-09-12T03:28:31Z,5308753887,2.750004838e+09,2.558749049e+09,2998704838,2814601593,5813306431,94314811392,8e+10,0.0663594235875,0,0,0,2,0,1,0,5.308753887e+09,1,0,0
1789183722,2026-09-12T03:28:42Z,7792467871,3.992204838e+09,3.800263033e+09,4137354838,3959646585,8097001423,96715448320,8e+10,0.0974058483875,0,0,0,2,0,0,0,7.792467871e+09,1,0,0
1789183733,2026-09-12T03:28:53Z,8982702504,4.545128872e+09,4.437573632e+09,4483000000,4378853376,8861853376,97492586496,8e+10,0.1122837813,12288,1126443271,0,2,0,0,0,8.982702504e+09,1,0,0
1789183744,2026-09-12T03:29:04Z,8711188816,4.39525e+09,4.315938816e+09,4560782768,4508876800,9069659568,97726656512,8e+10,0.1088898602,40960,3931786767,1,2,0,0,0,8.711188816e+09,1,0,0
1789183755,2026-09-12T03:29:15Z,8470348304,4.27185e+09,4.198498304e+09,4516200000,4445962240,8962162240,97608806400,8e+10,0.1058793538,65536,6358290623,2,2,0,1,0,8.470348304e+09,1,0,0
1789183766,2026-09-12T03:29:26Z,8548818560,4.2916e+09,4.25721856e+09,4639900000,4517265408,9157165408,97462718464,8e+10,0.106860232,86016,8339624847,4,2,0,0,0,8.54881856e+09,1,0,0
1789183777,2026-09-12T03:29:37Z,8538985648,4.29435e+09,4.244635648e+09,4533400000,4487905280,9021305280,97672830976,8e+10,0.1067373206,110592,10786850223,7,2,0,0,0,8.538985648e+09,1,0,0
1789183788,2026-09-12T03:29:48Z,9127043888,4.63075e+09,4.496293888e+09,4684050000,4552916992,9236966992,97558040576,8e+10,0.1140880486,131072,12892513567,7,2,0,1,0,9.127043888e+09,1,0,0
1789183799,2026-09-12T03:29:59Z,8805320464,4.43905e+09,4.366270464e+09,4566300000,4513071104,9079371104,97744322560,8e+10,0.1100665058,155648,15256852863,7,2,0,1,0,8.805320464e+09,1,0,0
1789183810,2026-09-12T03:30:10Z,8952479328,4.5191e+09,4.433379328e+09,4643250000,4471128064,9114378064,97470300160,8e+10,0.1119059916,176128,17296207343,11,2,0,1,0,8.952479328e+09,1,0,0
1789183821,2026-09-12T03:30:21Z,8748616032,4.4159e+09,4.332716032e+09,4542250000,4471128064,9013378064,97681924096,8e+10,0.1093577004,200704,19722711199,14,2,0,0,0,8.748616032e+09,1,0,0
1789183832,2026-09-12T03:30:32Z,8985510976,4.5018e+09,4.483710976e+09,4434400000,4414504960,8848904960,97511505920,8e+10,0.1123188872,221184,21679179599,16,2,0,1,0,8.985510976e+09,1,0,0
1789183843,2026-09-12T03:30:43Z,8799780592,4.40415e+09,4.395630592e+09,4555600000,4555014144,9110614144,97777545216,8e+10,0.1099972574,245760,24101539151,16,2,0,0,0,8.799780592e+09,1,0,0
1789183854,2026-09-12T03:30:54Z,8722444512,4.4107e+09,4.311744512e+09,4660800000,4370464768,9031264768,97497513984,8e+10,0.1090305564,266240,26211346799,19,2,0,1,0,8.722444512e+09,1,0,0
