ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789199840,2026-09-12T07:57:20Z,447743169,2.71359174e+08,1.76383995e+08,682509174,541288443,1223797617,50728853504,8e+10,0.0055967896125,0,0,0,0,0,0,0,0,1,0,0
1789199851,2026-09-12T07:57:31Z,3666117297,1.887509174e+09,1.778608123e+09,2065309174,1958963195,4024272369,53325819904,8e+10,0.0458264662125,0,0,0,2,0,1,0,0,1,0,0
1789199862,2026-09-12T07:57:42Z,6988761681,3.549209174e+09,3.439552507e+09,3680359174,3577964539,7258323713,56690163712,8e+10,0.0873595210125,0,0,0,2,0,0,0,0,1,0,0
1789199873,2026-09-12T07:57:53Z,10210574417,5.160409174e+09,5.050165243e+09,5348559174,5243103227,10591662401,60198182912,8e+10,0.1276321802125,0,0,0,2,0,1,0,0,1,0,0
1789199884,2026-09-12T07:58:04Z,12727915617,6.419459174e+09,6.308456443e+09,6739609174,6639806459,13379415633,63077801984,8e+10,0.1590989452125,0,0,0,2,0,0,0,0,1,0,0
1789199895,2026-09-12T07:58:15Z,15613856193,7.862559174e+09,7.751297019e+09,8187909174,8088938491,16276847665,66114154496,8e+10,0.1951732024125,0,0,0,2,0,0,0,0,1,0,0
1789199906,2026-09-12T07:58:26Z,18751825889,9.431859174e+09,9.319966715e+09,9653159174,9567430651,19220589825,69207904256,8e+10,0.2343978236125,0,0,0,2,0,1,0,0,1,0,0
1789199918,2026-09-12T07:58:38Z,21772225329,1.0942309174e+10,1.0829916155e+10,11132059174,11068991483,22201050657,72415293440,8e+10,0.2721528166125,0,0,0,2,0,0,0,0,1,0,0
1789199930,2026-09-12T07:58:50Z,25277044401,1.2693909174e+10,1.2583135227e+10,12898609174,12809627643,25708236817,75993219072,8e+10,0.3159630550125,0,0,0,2,0,0,0,0,1,0,0
1789199942,2026-09-12T07:59:02Z,28618927393,1.4366459174e+10,1.4252468219e+10,14540009174,14485252091,29025261265,79583866880,8e+10,0.3577365924125,0,0,0,2,0,0,0,0,1,0,0
1789199954,2026-09-12T07:59:14Z,31922233169,1.6017209174e+10,1.5905023995e+10,16281109174,16211208187,32492317361,83102957568,8e+10,0.3990279146125,0,0,0,2,0,0,0,0,1,0,0
1789199966,2026-09-12T07:59:26Z,35263416161,1.7689059174e+10,1.7574356987e+10,17969959174,17901512699,35871471873,86637346816,8e+10,0.4407927020125,0,0,0,2,0,0,0,0,1,0,0
1789199978,2026-09-12T07:59:38Z,38357014337,1.9234959174e+10,1.9122055163e+10,19575159174,19495348219,39070507393,89961762816,8e+10,0.4794626792125,0,0,0,2,0,0,0,0,1,0,0
1789199990,2026-09-12T07:59:50Z,41773846065,2.0944709174e+10,2.0829136891e+10,21231709174,21120641019,42352350193,92961595392,8e+10,0.5221730758125,0,0,0,2,0,0,0,0,1,0,0
1789200003,2026-09-12T08:00:03Z,44450379041,2.2283259174e+10,2.2167119867e+10,22552109174,22511052795,45063161969,96169861120,8e+10,0.5556297380125,0,0,0,2,0,0,0,0,1,0,0
