NAMESPACE   LAST SEEN   TYPE      REASON      OBJECT           MESSAGE
bench       50m         Normal    Pulled      pod/warm-sweep   Container image "172.31.95.216:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       49m         Warning   Unhealthy   pod/warm-sweep   Readiness probe failed: Get "http://10.244.0.6:8080/healthz": dial tcp 10.244.0.6:8080: connect: connection refused
bench       46m         Normal    Scheduled   pod/e1-prev-1    Successfully assigned bench/e1-prev-1 to ocibench-control-plane
bench       46m         Normal    Pulled      pod/e1-prev-1    Container image "172.31.95.216:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       46m         Normal    Created     pod/e1-prev-1    Container created
bench       46m         Normal    Started     pod/e1-prev-1    Container started
bench       46m         Warning   Unhealthy   pod/e1-prev-1    Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
bench       24m         Normal    Pulled      pod/e1-prev-1    Container image "172.31.95.216:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       24m         Normal    Killing     pod/e1-prev-1    Stopping container predictor
bench       23m         Normal    Scheduled   pod/e1-sut-2     Successfully assigned bench/e1-sut-2 to ocibench-control-plane
bench       23m         Normal    Pulled      pod/e1-sut-2     Container image "172.31.95.216:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       23m         Normal    Created     pod/e1-sut-2     Container created
bench       23m         Normal    Started     pod/e1-sut-2     Container started
bench       8s          Normal    Pulled      pod/e1-sut-2     Container image "172.31.95.216:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       6s          Normal    Killing     pod/e1-sut-2     Stopping container predictor
bench       1s          Warning   Unhealthy   pod/e1-sut-2     Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
