ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789201262,2026-09-12T08:21:02Z,462576081,2.73609174e+08,1.88966907e+08,692759174,541288443,1234047617,50464325632,8e+10,0.0057822010125,0,0,0,0,0,0,0,4.62576081e+08,1,0,0
1789201273,2026-09-12T08:21:13Z,3674138817,1.874559174e+09,1.799579643e+09,2106259174,2038654971,4144914145,53429166080,8e+10,0.0459267352125,0,0,0,2,0,0,0,3.674138817e+09,1,0,0
1789201284,2026-09-12T08:21:24Z,6584812305,3.329809174e+09,3.255003131e+09,3454659174,3389220859,6843880033,56259629056,8e+10,0.0823101538125,0,0,0,2,0,1,0,6.584812305e+09,1,0,0
1789201295,2026-09-12T08:21:35Z,9169007937,4.622159174e+09,4.546848763e+09,4829359174,4773341179,9602700353,59179700224,8e+10,0.1146125992125,0,0,0,2,0,0,0,9.169007937e+09,1,0,0
1789201306,2026-09-12T08:21:46Z,12408409281,6.242559174e+09,6.165850107e+09,6372859174,6316845051,12689704225,62380040192,8e+10,0.1551051160125,0,0,0,2,0,0,0,1.2408409281e+10,1,0,0
1789201317,2026-09-12T08:21:57Z,14999649217,7.537759174e+09,7.461890043e+09,7797509174,7728228347,15525737521,65322549248,8e+10,0.1874956152125,0,0,0,2,0,1,0,1.4999649217e+10,1,0,0
1789201328,2026-09-12T08:22:08Z,18214567649,9.146259174e+09,9.068308475e+09,9330691942,9269635067,18600327009,68554424320,8e+10,0.2276820956125,0,0,0,2,0,1,0,1.8214567649e+10,1,0,0
1789201340,2026-09-12T08:22:20Z,21209734177,1.0644059174e+10,1.0565675003e+10,10801009174,10754418683,21555427857,71647162368,8e+10,0.2651216772125,0,0,0,2,0,0,0,2.1209734177e+10,1,0,0
1789201351,2026-09-12T08:22:31Z,23782885505,1.1929559174e+10,1.1853326331e+10,12282609174,12214036475,24496645649,74704162816,8e+10,0.2972860688125,0,0,0,2,0,0,0,2.3782885505e+10,1,0,0
1789201363,2026-09-12T08:22:43Z,26738730513,1.3409009174e+10,1.3329721339e+10,13708109174,13682042875,27390152049,77775396864,8e+10,0.3342341314125,0,0,0,2,0,0,0,2.6738730513e+10,1,0,0
1789201375,2026-09-12T08:22:55Z,29885044513,1.4982459174e+10,1.4902585339e+10,15328959174,15267489787,30596448961,81086332928,8e+10,0.3735630564125,0,0,0,2,0,1,0,2.9885044513e+10,1,0,0
1789201387,2026-09-12T08:23:07Z,33215983201,1.6648259174e+10,1.6567724027e+10,16803059174,16769050619,33572109793,84215865344,8e+10,0.4151997900125,0,0,0,2,0,0,0,3.3215983201e+10,1,0,0
1789201399,2026-09-12T08:23:19Z,36186366817,1.8133859174e+10,1.8052507643e+10,18315709174,18304165883,36619875057,87412109312,8e+10,0.4523295852125,0,0,0,2,0,1,0,3.6186366817e+10,1,0,0
1789201412,2026-09-12T08:23:32Z,39147956129,1.9614859174e+10,1.9533096955e+10,19881209174,19864446971,39745656145,90679832576,8e+10,0.4893494516125,0,0,0,2,0,0,0,3.9147956129e+10,1,0,0
1789201424,2026-09-12T08:23:44Z,42503877729,2.1293059174e+10,2.1210818555e+10,21449359174,21372299259,42821658433,93516005376,8e+10,0.5312984716125,0,0,0,2,0,0,0,4.2503877729e+10,1,0,0
1789201437,2026-09-12T08:23:57Z,45070784753,2.2576509174e+10,2.2494275579e+10,22842309174,22764808187,45607117361,96696266752,8e+10,0.5633848094125,0,0,0,2,0,0,0,4.5070784753e+10,1,0,0
1789201449,2026-09-12T08:24:09Z,46376889728,2.3174e+10,2.3202889728e+10,23436100000,23500685312,46936785312,97703559168,8e+10,0.5797111216,16384,1510181169,145,2,0,0,0,4.6376889728e+10,1,0,0
1789201462,2026-09-12T08:24:22Z,46524528336,2.331325e+10,2.3211278336e+10,23467000000,23389536256,46856536256,97663455232,8e+10,0.5815566042,45056,4464740737,148,2,0,0,0,4.6524528336e+10,1,0,0
1789201475,2026-09-12T08:24:35Z,46184006176,2.31405e+10,2.3043506176e+10,23413200000,23349690368,46762890368,97597083648,8e+10,0.5773000772,73727,7290776881,151,2,0,1,0,4.6184006176e+10,1,0,0
1789201488,2026-09-12T08:24:48Z,46211484656,2.318895e+10,2.3022534656e+10,23358450000,23257415680,46615865680,97456250880,8e+10,0.5776435582,102399,10195604801,152,2,0,1,0,4.6211484656e+10,1,0,0
1789201500,2026-09-12T08:25:00Z,46503584032,2.32965e+10,2.3207084032e+10,23427849152,23416799232,46844648384,97692397568,8e+10,0.5812948004,131071,12955382081,153,2,0,0,0,4.6503584032e+10,1,0,0
1789201513,2026-09-12T08:25:13Z,46295065040,2.318445e+10,2.311061504e+10,23405100000,23389536256,46794636256,97532801024,8e+10,0.578688313,159743,15769035313,159,2,0,1,0,4.629506504e+10,1,0,0
1789201526,2026-09-12T08:25:26Z,46220450480,2.317275e+10,2.304770048e+10,23494750000,23337107456,46831857456,97413902336,8e+10,0.577755631,184319,18245270817,162,2,0,1,0,4.622045048e+10,1,0,0
1789201538,2026-09-12T08:25:38Z,46356315040,2.32457e+10,2.311061504e+10,23481800000,23416799232,46898599232,97785942016,8e+10,0.579453938,212991,21092078481,166,2,0,0,0,4.635631504e+10,1,0,0
1789201551,2026-09-12T08:25:51Z,46363803648,2.32448e+10,2.3119003648e+10,23468932768,23408410624,46877343392,97774600192,8e+10,0.5795475456,241663,23914020321,166,2,0,0,0,4.6363803648e+10,1,0,0
1789201564,2026-09-12T08:26:04Z,46505389728,2.33025e+10,2.3202889728e+10,23499850000,23408410624,46908260624,97758101504,8e+10,0.5813173716,270335,26723529249,168,2,0,0,0,4.6505389728e+10,1,0,0
1789201576,2026-09-12T08:26:16Z,46338158080,2.31856e+10,2.315255808e+10,23455150000,23454547968,46909697968,97660579840,8e+10,0.579226976,299007,29491595137,171,2,0,1,0,4.633815808e+10,1,0,0
