ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789207350,2026-09-12T10:02:30Z,75610242480,3.7844729264e+10,3.7765513216e+10,38119979264,37958451200,76078430464,79118323712,8e+10,0.945128031,3489790,344827523937,0,2,0,0,0,7.561024248e+10,1,0,0
1789207365,2026-09-12T10:02:45Z,75957074768,3.7994429264e+10,3.7962645504e+10,37898829264,37920702464,75819531728,78812643328,8e+10,0.9494634346,3551230,350850268385,0,2,0,1,0,7.5957074768e+10,1,0,0
1789207380,2026-09-12T10:03:00Z,75620642480,3.7855129264e+10,3.7765513216e+10,38072879264,37903925248,75976804512,79220039680,8e+10,0.945258031,3608574,356572893841,0,2,0,1,0,7.562064248e+10,1,0,0
1789207395,2026-09-12T10:03:15Z,75944624768,3.7981979264e+10,3.7962645504e+10,37959429264,37903925248,75863354512,78787837952,8e+10,0.9493078096,3670014,362574916769,0,2,0,1,0,7.5944624768e+10,1,0,0
1789207409,2026-09-12T10:03:29Z,75923104512,3.8019179264e+10,3.7903925248e+10,38131682858,37950062592,76081745450,79027769344,8e+10,0.9490388064,3731454,368734423249,0,2,0,0,0,7.5923104512e+10,1,0,0
1789207424,2026-09-12T10:03:44Z,75923270336,3.7994179264e+10,3.7929091072e+10,37922229264,37950062592,75872291856,78957158400,8e+10,0.9490408792,3792894,374757167697,0,2,0,0,0,7.5923270336e+10,1,0,0
1789207439,2026-09-12T10:03:59Z,75835715588,3.7935984644e+10,3.7899730944e+10,37860734644,38004588544,75865323188,79094472704,8e+10,0.94794644485,3858430,381208499181,0,2,0,0,0,7.5835715588e+10,1,0,0
1789207454,2026-09-12T10:04:14Z,75687332318,3.7900847582e+10,3.7786484736e+10,38002400000,37929091072,75931491072,78886993920,8e+10,0.946091653975,3919870,387351415507,0,2,0,0,0,7.5687332318e+10,1,0,0
1789207469,2026-09-12T10:04:29Z,75969984112,3.799895e+10,3.7971034112e+10,38083650000,37962645504,76046295504,78786674688,8e+10,0.9496248014,3981310,393341003105,0,2,0,2,0,7.5969984112e+10,1,0,0
1789207484,2026-09-12T10:04:44Z,75679901824,3.7906e+10,3.7773901824e+10,38281100000,37987811328,76268911328,79053090816,8e+10,0.9459987728,4042750,399512942497,0,2,0,0,0,7.5679901824e+10,1,0,0
1789207498,2026-09-12T10:04:58Z,75834998032,3.794785e+10,3.7887148032e+10,37934300000,37929091072,75863391072,79293272064,8e+10,0.9479374754,4104190,405510821121,0,2,0,0,0,7.5834998032e+10,1,0,0
1789207513,2026-09-12T10:05:13Z,75818276512,3.79521e+10,3.7866176512e+10,37963800000,38151389184,76115189184,78830612480,8e+10,0.9477284564,4161534,411200292145,0,2,0,1,0,7.5818276512e+10,1,0,0
1789207528,2026-09-12T10:05:28Z,75902892336,3.801155e+10,3.7891342336e+10,38127700000,38352715776,76480415776,79110639616,8e+10,0.9487861542,4222974,417305922673,0,2,0,0,0,7.5902892336e+10,1,0,0
1789207543,2026-09-12T10:05:43Z,75872470816,3.80021e+10,3.7870370816e+10,38112450000,37937479680,76049929680,78819262464,8e+10,0.9484058852,4284414,423386687377,0,2,0,1,0,7.5872470816e+10,1,0,0
1789207558,2026-09-12T10:05:58Z,75482049920,3.78172e+10,3.766484992e+10,38211000000,37912313856,76123313856,79008817152,8e+10,0.943525624,4345854,429484029297,0,2,0,1,0,7.548204992e+10,1,0,0
1789207573,2026-09-12T10:06:13Z,75951652464,3.803095e+10,3.7920702464e+10,38039400000,38088474624,76127874624,78701424640,8e+10,0.9493956558,4407294,435510918049,0,2,0,0,0,7.5951652464e+10,1,0,0
1789207588,2026-09-12T10:06:28Z,75835510688,3.79945e+10,3.7841010688e+10,38061000000,37912313856,75973313856,78925357056,8e+10,0.9479438836,4468734,441624837185,0,2,0,0,0,7.5835510688e+10,1,0,0
1789207603,2026-09-12T10:06:43Z,75662317648,3.786325e+10,3.7799067648e+10,38064700000,37786484736,75851184736,78889230336,8e+10,0.9457789706,4530174,447606138593,0,2,0,1,0,7.5662317648e+10,1,0,0
1789207617,2026-09-12T10:06:57Z,75684694864,3.786885e+10,3.7815844864e+10,38119350000,38088474624,76207824624,78863540224,8e+10,0.9460586858,4587518,453258310881,0,2,0,0,0,7.5684694864e+10,1,0,0
1789207632,2026-09-12T10:07:12Z,75969125248,3.80652e+10,3.7903925248e+10,37872450000,37937479680,75809929680,78986018816,8e+10,0.9496140656,4648958,459438538881,0,2,0,1,0,7.5969125248e+10,1,0,0
1789207647,2026-09-12T10:07:27Z,75686229040,3.789555e+10,3.779067904e+10,37940900000,38008782848,75949682848,78680981504,8e+10,0.946077863,4714494,465860865617,0,2,0,0,0,7.568622904e+10,1,0,0
1789207662,2026-09-12T10:07:42Z,75799366384,3.796255e+10,3.7836816384e+10,38011400000,37964742656,75976142656,78968246272,8e+10,0.9474920798,4775934,471949918929,0,2,0,0,0,7.5799366384e+10,1,0,0
1789207677,2026-09-12T10:07:57Z,75953139808,3.79863e+10,3.7966839808e+10,37995150000,38004588544,75999738544,78999121920,8e+10,0.9494142476,4837374,477914643121,0,2,0,2,0,7.5953139808e+10,1,0,0
1789207692,2026-09-12T10:08:12Z,75958925248,3.8055e+10,3.7903925248e+10,38057700000,37979422720,76037122720,79203610624,8e+10,0.9494865656,4894718,483711866049,0,2,0,1,0,7.5958925248e+10,1,0,0
1789207706,2026-09-12T10:08:26Z,75905693600,3.80521e+10,3.78535936e+10,37950700000,37903925248,75854625248,78898429952,8e+10,0.94882117,4960254,490229511777,0,2,0,0,0,7.59056936e+10,1,0,0
1789207721,2026-09-12T10:08:41Z,75949213856,3.80369e+10,3.7912313856e+10,38076050000,37987811328,76063861328,79051190272,8e+10,0.9493651732,5021694,496227390401,0,2,0,1,0,7.5949213856e+10,1,0,0
1789207736,2026-09-12T10:08:56Z,75619275872,3.78999e+10,3.7719375872e+10,38107500000,38046531584,76154031584,78759833600,8e+10,0.9452409484,5083134,502353742449,0,2,0,0,0,7.5619275872e+10,1,0,0
1789207751,2026-09-12T10:09:11Z,75886054992,3.804085e+10,3.7845204992e+10,38354782768,37931188224,76285970992,79079305216,8e+10,0.9485756874,5144574,508438651457,0,2,0,2,0,7.5886054992e+10,1,0,0
1789207765,2026-09-12T10:09:25Z,75761737904,3.790395e+10,3.7857787904e+10,38129100000,37966839808,76095939808,78889992192,8e+10,0.9470217238,5210110,514773947809,0,2,0,0,0,7.5761737904e+10,1,0,0
1789207780,2026-09-12T10:09:40Z,75797776512,3.79316e+10,3.7866176512e+10,38070950000,37979422720,76050372720,78932119552,8e+10,0.9474722064,5275646,521262583409,0,2,0,1,0,7.5797776512e+10,1,0,0
1789207795,2026-09-12T10:09:55Z,75892553728,3.80096e+10,3.7882953728e+10,37896000000,38073794560,75969794560,78773694464,8e+10,0.9486569216,5332990,526993497473,0,2,0,1,0,7.5892553728e+10,1,0,0
1789207810,2026-09-12T10:10:10Z,75954101200,3.799565e+10,3.79584512e+10,38084150000,37945868288,76030018288,79230201856,8e+10,0.949426265,5394430,532970654577,0,2,0,1,0,7.59541012e+10,1,0,0
1789207824,2026-09-12T10:10:24Z,75803387904,3.79456e+10,3.7857787904e+10,37930132768,38082183168,76012315936,79226179584,8e+10,0.9475423488,5455870,539092862321,0,2,0,0,0,7.5803387904e+10,1,0,0
1789207839,2026-09-12T10:10:39Z,75724124924,3.797119462e+10,3.7752930304e+10,37932492015,37912313856,75844805871,79272423424,8e+10,0.94655156155,5517310,545293811841,0,2,0,0,0,7.5724124924e+10,1,0,0
1789207854,2026-09-12T10:10:54Z,75876785845,3.8027386549e+10,3.7849399296e+10,38035036549,37847302144,75882338693,79261204480,8e+10,0.9484598230625,5582846,551728571489,0,2,0,0,0,7.5876785845e+10,1,0,0
1789207868,2026-09-12T10:11:08Z,75701839202,3.7932131682e+10,3.776970752e+10,38247079264,38017171456,76264250720,79022526464,8e+10,0.946272990025,5636094,556972872881,0,2,0,0,0,7.5701839202e+10,1,0,0
1789207883,2026-09-12T10:11:23Z,75689059568,3.7936129264e+10,3.7752930304e+10,38020629264,38096863232,76117492496,78785941504,8e+10,0.9461132446,5701630,563469797089,0,2,0,1,0,7.5689059568e+10,1,0,0
1789207898,2026-09-12T10:11:38Z,75810102608,3.8015229264e+10,3.7794873344e+10,38056579264,37954256896,76010836160,79314767872,8e+10,0.9476262826,5758974,569171701025,0,2,0,0,0,7.5810102608e+10,1,0,0
