ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789211858,2026-09-12T11:17:38Z,63134915600,3.1535029264e+10,3.1599886336e+10,36201079264,36050042880,72251122144,75538632704,8e+10,0.946161706875,3452354,343867470817,0,2,192217,0,0,7.569293655e+10,2,0,0
1789211873,2026-09-12T11:17:53Z,62992528256,3.1438779264e+10,3.1553748992e+10,38644579264,38352715776,76997295040,81250226176,8e+10,0.94450405445,3460546,344625192353,0,2,228003,0,0,7.5560324356e+10,2,0,0
1789211887,2026-09-12T11:18:07Z,30719982477,3.0719982477e+10,0,41470329264,27959230464,69429559728,68357312512,8e+10,1.0227385912,3464642,345103516417,0,2,291982,1,1,8.1819087296e+10,2,0,0
1789211902,2026-09-12T11:18:22Z,68230337440,4.3089679264e+10,2.5140658176e+10,44138129264,25933381632,70071510896,75039707136,8e+10,0.90959536175,3476930,363936276801,0,2,292520,1,0,7.276762894e+10,3,0,0
1789211918,2026-09-12T11:18:38Z,66774884048,4.6344429264e+10,2.0430454784e+10,47215762032,21093154816,68308916848,73579597824,8e+10,0.88638159835,3478831,371909648705,0,2,292520,1,0,7.0910527868e+10,3,0,0
1789211933,2026-09-12T11:18:53Z,65006738240,4.9512979264e+10,1.5493758976e+10,50281279264,16156459008,66437738272,72132919296,8e+10,0.8597619607,3480763,380013044033,0,2,292520,0,0,6.8780956856e+10,3,0,0
1789211949,2026-09-12T11:19:09Z,71780091568,5.2901529264e+10,1.8878562304e+10,53635529264,12784238592,66419767856,72118222848,8e+10,0.94598194385,3480763,380013044033,0,2,292520,0,0,7.5678555508e+10,3,0,0
1789211965,2026-09-12T11:19:25Z,70707702160,5.5297829264e+10,1.5409872896e+10,56081379264,16324231168,72405610432,77106335744,8e+10,0.92981142035,3484859,386691246881,0,2,292520,1,0,7.4384913628e+10,3,0,0
1789211981,2026-09-12T11:19:41Z,71949082207,5.3208931935e+10,1.8740150272e+10,53400231935,19419627520,72819859455,76604055552,8e+10,0.9479298590375,3574971,391196844210,0,2,292520,0,0,7.5834388723e+10,3,0,0
1789211997,2026-09-12T11:19:57Z,71772393633,4.9982984353e+10,2.178940928e+10,50315419726,22338863104,72654282830,76136554496,8e+10,0.9486773441625,3689306,396913591792,0,2,292520,0,0,7.5894187533e+10,3,0,0
1789212013,2026-09-12T11:20:13Z,71496353691,4.6875789211e+10,2.462056448e+10,47056021979,25241321472,72297343451,76244082688,8e+10,0.9483726522375,3808090,402852786934,0,2,292520,1,0,7.5869812179e+10,3,0,0
1789212029,2026-09-12T11:20:29Z,71544558795,4.6080939211e+10,2.5463619584e+10,49277739211,28456255488,77733994699,78505078784,8e+10,0.9499382182875,3840858,404491186934,0,2,333025,0,0,7.5995057463e+10,3,0,0
