ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789252189,2026-09-12T22:29:49Z,75212513854,3.7660686534e+10,3.755182732e+10,39589123651,39598424065,79187547716,81000198144,8e+10,0.940156423175,0,0,0,2,39328,1,0,7.5212513854e+10,1,0,0
1789252202,2026-09-12T22:30:02Z,69985338612,3.1821366515e+10,3.8163972097e+10,33456866515,40013660161,73470526676,76104724480,8e+10,0.9520124928,159744,9373757467,0,6,45392,0,0,7.6160999424e+10,1,0,0
1789252216,2026-09-12T22:30:16Z,69838184056,3.1212838519e+10,3.8625345537e+10,33046788519,40470839297,73517627816,76125188096,8e+10,0.9496790016,184320,10602557467,0,6,45392,0,0,7.5974320128e+10,1,0,0
1789252229,2026-09-12T22:30:29Z,69717885368,3.0136238519e+10,3.9581646849e+10,32116988519,41569746945,73686735464,76110110720,8e+10,0.947697664,225280,12654701771,0,8,45815,0,0,7.581581312e+10,1,0,0
1789252244,2026-09-12T22:30:44Z,69851061368,2.9220838519e+10,4.0630222849e+10,30375138519,43429560321,73804698840,76259352576,8e+10,0.9543232512,266240,14764866331,0,8,45951,4,0,7.6345860096e+10,1,0,0
1789252257,2026-09-12T22:30:57Z,68098030885,2.5232244005e+10,4.286578688e+10,27270344005,44946161664,72216505669,74846556160,8e+10,0.927195599975,438265,25661955262,0,9,45951,1,0,7.4175647998e+10,1,0,0
1789252270,2026-09-12T22:31:10Z,69312341669,2.5939044005e+10,4.3373297664e+10,27919516055,45323649024,73243165079,75734786048,8e+10,0.9417391104,450486,26820053390,0,9,45951,0,0,7.5339128832e+10,1,0,0
1789252284,2026-09-12T22:31:24Z,69867202343,2.6154166055e+10,4.3713036288e+10,27924916055,45055213568,72980129623,75797020672,8e+10,0.9485606675125,462774,27815729358,0,9,45951,0,0,7.5884853401e+10,1,0,0
1789252297,2026-09-12T22:31:37Z,69974158663,2.6449866055e+10,4.3524292608e+10,28158866055,45415923712,73574789767,75889475584,8e+10,0.9494588928,470966,28975448382,0,9,45951,0,0,7.5956711424e+10,1,0,0
1789252310,2026-09-12T22:31:50Z,69554385863,2.6344666055e+10,4.3209719808e+10,28222566055,45076185088,73298751143,75743813632,8e+10,0.9437992192375,503679,32393149102,0,11,45951,0,0,7.5503937539e+10,1,0,0
