LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
58m         Normal    Scheduled                pod/v9b-k1-node1                    Successfully assigned bench/v9b-k1-node1 to ocibench-control-plane
58m         Normal    Created                  pod/v9b-k1-node1                    Container created
58m         Normal    Pulled                   pod/v9b-k1-node1                    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
58m         Warning   Unhealthy                pod/v9b-k1-node1                    Readiness probe failed: Get "http://10.244.0.26:8080/healthz": dial tcp 10.244.0.26:8080: connect: connection refused
58m         Normal    Started                  pod/v9b-k1-node1                    Container started
52m         Warning   Failed                   pod/curl-runner-65d77865d8-754kw    (combined from similar events): Error: failed to create containerd container: error unpacking image: failed to prepare extraction snapshot "extract-735034122-Rs5B sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to create prepare snapshot dir: failed to create temp dir: mkdir /var/lib/containerd-stargz-grpc/snapshotter/snapshots/new-3430560629: no space left on device
52m         Normal    Pulled                   pod/curl-runner-65d77865d8-754kw    Container image "curlimages/curl:8.9.1" already present on machine and can be accessed by the pod
51m         Normal    Pulled                   pod/v9b-k1-node1                    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
50m         Normal    Scheduled                pod/curl-runner-65d77865d8-cxq8g    Successfully assigned bench/curl-runner-65d77865d8-cxq8g to ocibench-control-plane
50m         Normal    SuccessfulCreate         replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-cxq8g
50m         Normal    Killing                  pod/v9b-k1-node1                    Stopping container predictor
50m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-cxq8g    Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "11f7129cb916a1b14dd35649e09fca7e12d2d925434a5e995a29cf337b759d92": failed to create containerd container: failed to create prepare snapshot dir: failed to create temp dir: mkdir /var/lib/containerd-stargz-grpc/snapshotter/snapshots/new-618297619: no space left on device
50m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-cxq8g    Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "9656c9b6a0ab6141ca076dfe23235e94b7cf0bdb67311d8e14e0614eb1599503": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
50m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-807550433-IjP- sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
50m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-990864130-Y-6X sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
50m         Normal    Scheduled                pod/v9b-k1-node1                    Successfully assigned bench/v9b-k1-node1 to ocibench-control-plane
50m         Normal    Created                  pod/v9b-k1-node1                    Container created
50m         Warning   Unhealthy                pod/v9b-k1-node1                    Readiness probe failed: Get "http://10.244.0.30:8080/healthz": dial tcp 10.244.0.30:8080: connect: connection refused
50m         Normal    Started                  pod/v9b-k1-node1                    Container started
50m         Normal    Pulled                   pod/v9b-k1-node1                    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
50m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-735659415-nMAi sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
50m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-754017581-nmp9 sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
49m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-734992589-xDi7 sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
