ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789274061,2026-09-13T04:34:21Z,2476346267,1.398186534e+09,1.078159733e+09,1398186534,1078159733,2476346267,90793222144,8e+10,0.0309543283375,0,0,0,2,0,0,0,2.476346267e+09,1,0,0
1789274071,2026-09-13T04:34:31Z,7284892587,3.774036534e+09,3.510856053e+09,3844586534,3698289013,7542875547,96035217408,8e+10,0.0910611573375,0,0,0,4,0,2,0,7.284892587e+09,1,0,0
1789274082,2026-09-13T04:34:42Z,9039476160,4.6774e+09,4.36207616e+09,4743600000,4450156544,9193756544,97752203264,8e+10,0.112993452,8192,909320923,1543,4,0,0,0,9.03947616e+09,1,0,0
1789274093,2026-09-13T04:34:53Z,9193756544,4.7436e+09,4.450156544e+09,4743600000,4450156544,9193756544,97752211456,8e+10,0.1149219568,8192,909320923,1543,4,0,0,0,9.193756544e+09,1,0,0
1789274104,2026-09-13T04:35:04Z,9193756544,4.7436e+09,4.450156544e+09,4743600000,4450156544,9193756544,97752215552,8e+10,0.1149219568,8192,909320923,1543,4,0,0,0,9.193756544e+09,1,0,0
1789274115,2026-09-13T04:35:15Z,8528054624,4.5183e+09,4.009754624e+09,4669550000,4177526784,8847076784,97572122624,8e+10,0.1066006828,36864,3938477963,2372,4,0,0,0,8.528054624e+09,1,0,0
1789274126,2026-09-13T04:35:26Z,8767357168,4.50175e+09,4.265607168e+09,4729950000,4500488192,9230438192,97700560896,8e+10,0.1095919646,65536,6503472955,5941,4,0,0,0,8.767357168e+09,1,0,0
1789274137,2026-09-13T04:35:37Z,8979598944,4.6343e+09,4.345298944e+09,4672500000,4475322368,9147822368,97722777600,8e+10,0.1122449868,94208,9387579355,6544,4,0,0,0,8.979598944e+09,1,0,0
1789274148,2026-09-13T04:35:48Z,8880063504,4.47185e+09,4.408213504e+09,4640850000,4483710976,9124560976,97430441984,8e+10,0.1110007938,126976,12406032587,7303,4,0,1,0,8.880063504e+09,1,0,0
1789274160,2026-09-13T04:36:00Z,8865602112,4.449e+09,4.416602112e+09,4466700000,4454350848,8921050848,97636249600,8e+10,0.1108200264,159744,15615123803,7306,4,0,0,0,8.865602112e+09,1,0,0
1789274171,2026-09-13T04:36:11Z,8642867296,4.3479e+09,4.294967296e+09,4505300000,4479516672,8984816672,97702268928,8e+10,0.1080358412,188416,18466075771,7309,4,0,1,0,8.642867296e+09,1,0,0
1789274182,2026-09-13T04:36:22Z,8372600832,4.2496e+09,4.123000832e+09,4600000000,4492099584,9092099584,97807056896,8e+10,0.1046575104,217088,21370903691,7309,4,0,0,0,8.372600832e+09,1,0,0
1789274193,2026-09-13T04:36:33Z,8655934384,4.37355e+09,4.282384384e+09,4465850000,4395630592,8861480592,97608294400,8e+10,0.1081991798,249856,24575850603,7317,4,0,0,0,8.655934384e+09,1,0,0
1789274204,2026-09-13T04:36:44Z,8494321088,4.3126e+09,4.181721088e+09,4549932768,4429185024,8979117792,97675522048,8e+10,0.1061790136,278528,27443379787,7318,4,0,0,0,8.494321088e+09,1,0,0
1789274215,2026-09-13T04:36:55Z,8637468560,4.38025e+09,4.25721856e+09,4467750000,4349493248,8817243248,97556672512,8e+10,0.107968357,311296,30677336827,7323,4,0,0,0,8.63746856e+09,1,0,0
1789274226,2026-09-13T04:37:06Z,8732616032,4.3999e+09,4.332716032e+09,4634782768,4580179968,9214962736,97551777792,8e+10,0.1091577004,339968,33453691323,7326,4,0,1,0,8.732616032e+09,1,0,0
