ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789274088.832432969,2026-09-13T04:34:48.833Z,2893112964428,3736935368,1.11
1789274093.843449869,2026-09-13T04:34:53.844Z,2893112964428,3736935368,1.02
1789274098.851283962,2026-09-13T04:34:58.852Z,2893112964428,3736935368,0.94
1789274103.858726543,2026-09-13T04:35:03.859Z,2893112966817,3736937007,0.86
1789274108.866001981,2026-09-13T04:35:08.867Z,2893676292886,3737604423,0.79
1789274113.873814802,2026-09-13T04:35:13.874Z,2894379913008,3738443379,0.73
1789274118.881677302,2026-09-13T04:35:18.882Z,2895106943350,3739281932,0.75
1789274123.890298883,2026-09-13T04:35:23.891Z,2895917263981,3740252120,0.69
1789274128.898062880,2026-09-13T04:35:28.899Z,2896720240738,3741194556,0.63
1789274133.907555149,2026-09-13T04:35:33.908Z,2897408329674,3742004764,0.58
1789274138.915479581,2026-09-13T04:35:38.916Z,2898122583091,3742872882,0.62
1789274143.923331474,2026-09-13T04:35:43.924Z,2898888836598,3743784117,0.57
1789274148.933362481,2026-09-13T04:35:48.934Z,2899587082302,3744626629,0.52
1789274153.941677186,2026-09-13T04:35:53.942Z,2900307504110,3745472546,0.56
1789274158.950143081,2026-09-13T04:35:58.951Z,2901005429322,3746319896,0.52
1789274163.958234784,2026-09-13T04:36:03.959Z,2901670749330,3747099994,0.47
1789274168.966245435,2026-09-13T04:36:08.967Z,2902381750101,3747951966,0.44
1789274173.974253799,2026-09-13T04:36:13.975Z,2903072437979,3748776058,0.40
1789274178.982026388,2026-09-13T04:36:18.983Z,2903763875567,3749584369,0.37
1789274183.990104046,2026-09-13T04:36:23.991Z,2904497425348,3750430516,0.34
1789274188.997978434,2026-09-13T04:36:28.999Z,2905204959304,3751258516,0.39
1789274194.005714279,2026-09-13T04:36:34.006Z,2905971000249,3752131248,0.36
1789274199.013718157,2026-09-13T04:36:39.014Z,2906640369558,3752932575,0.41
1789274204.022366216,2026-09-13T04:36:44.023Z,2907377990178,3753798476,0.46
1789274209.030624026,2026-09-13T04:36:49.031Z,2908094580965,3754631059,1.06
1789274214.038458000,2026-09-13T04:36:54.039Z,2908866197705,3755539846,0.98
1789274219.046418880,2026-09-13T04:36:59.047Z,2909635843404,3756425731,0.90
1789274224.054472695,2026-09-13T04:37:04.055Z,2910425186271,3757358887,0.91
1789274229.062953556,2026-09-13T04:37:09.063Z,2911121624705,3758170491,0.83
1789274234.070799393,2026-09-13T04:37:14.071Z,2911888600784,3759094679,0.77
1789274239.079262744,2026-09-13T04:37:19.080Z,2912649130302,3759960751,0.71
1789274244.087056383,2026-09-13T04:37:24.088Z,2913389748975,3760806058,0.65
1789274249.094788427,2026-09-13T04:37:29.095Z,2914108638774,3761644989,0.60
1789274254.102602069,2026-09-13T04:37:34.103Z,2914853398223,3762529895,0.63
1789274259.110838606,2026-09-13T04:37:39.111Z,2915582801067,3763415198,0.58
1789274264.119034366,2026-09-13T04:37:44.120Z,2916307783079,3764272489,0.61
1789274269.126749016,2026-09-13T04:37:49.127Z,2917010093756,3765101285,0.72
1789274274.134698933,2026-09-13T04:37:54.135Z,2917765633094,3765988100,0.67
1789274279.142434395,2026-09-13T04:37:59.143Z,2918489972183,3766838264,0.61
1789274284.150074949,2026-09-13T04:38:04.151Z,2919251582719,3767738664,0.72
1789274289.158118977,2026-09-13T04:38:09.159Z,2919979614719,3768588848,0.67
1789274294.165886525,2026-09-13T04:38:14.166Z,2920747970469,3769481518,0.61
1789274299.174118663,2026-09-13T04:38:19.175Z,2921416638591,3770284638,0.56
1789274304.181871674,2026-09-13T04:38:24.182Z,2922127185266,3771118425,0.52
1789274309.190566519,2026-09-13T04:38:29.191Z,2922881139353,3772004886,0.48
1789274314.198618286,2026-09-13T04:38:34.199Z,2923558283247,3772803273,0.44
1789274319.206446335,2026-09-13T04:38:39.207Z,2924280699235,3773640966,0.40
1789274324.214268919,2026-09-13T04:38:44.215Z,2924987081801,3774464546,0.37
1789274329.222083714,2026-09-13T04:38:49.223Z,2925711593471,3775311163,0.34
1789274334.230207872,2026-09-13T04:38:54.231Z,2926387848805,3776107751,0.31
1789274339.238487119,2026-09-13T04:38:59.239Z,2927055328425,3776876477,0.37
1789274344.246580457,2026-09-13T04:39:04.247Z,2927692015219,3777636980,0.34
1789274349.254491254,2026-09-13T04:39:09.255Z,2928355098557,3778436573,0.39
1789274354.262673430,2026-09-13T04:39:14.263Z,2929067773196,3779273012,0.36
1789274359.270809296,2026-09-13T04:39:19.271Z,2929738289700,3780082151,0.33
1789274364.278744837,2026-09-13T04:39:24.279Z,2930405698192,3780858621,0.30
1789274369.286813570,2026-09-13T04:39:29.287Z,2931121569080,3781691580,0.28
1789274374.294633859,2026-09-13T04:39:34.295Z,2931786786694,3782460976,0.26
1789274379.304010423,2026-09-13T04:39:39.305Z,2932438818354,3783224468,0.24
1789274384.311693003,2026-09-13T04:39:44.312Z,2933101881340,3783979838,0.22
1789274389.319886617,2026-09-13T04:39:49.320Z,2933760551856,3784753719,0.20
1789274394.328113324,2026-09-13T04:39:54.329Z,2934503263201,3785602176,0.18
1789274399.335955666,2026-09-13T04:39:59.337Z,2935209393680,3786400098,0.17
1789274404.343891933,2026-09-13T04:40:04.344Z,2935957808974,3787295359,0.23
1789274409.351648728,2026-09-13T04:40:09.352Z,2936679435040,3788141250,0.38
1789274414.359456228,2026-09-13T04:40:14.360Z,2937322841360,3788920689,0.43
1789274419.367237082,2026-09-13T04:40:19.368Z,2937968376408,3789682867,0.39
1789274424.375210447,2026-09-13T04:40:24.376Z,2938630772550,3790485190,0.36
1789274429.383207332,2026-09-13T04:40:29.384Z,2939304883556,3791281566,0.33
1789274434.391937702,2026-09-13T04:40:34.392Z,2939983298978,3792069113,0.30
1789274439.400376979,2026-09-13T04:40:39.401Z,2940655162050,3792855728,0.28
1789274444.408324630,2026-09-13T04:40:44.409Z,2941300660014,3793644563,0.26
1789274449.416085661,2026-09-13T04:40:49.417Z,2941961528812,3794423375,0.24
1789274454.424037437,2026-09-13T04:40:54.425Z,2942612680934,3795195879,0.22
1789274459.432248727,2026-09-13T04:40:59.433Z,2943261402172,3795974355,0.36
1789274464.440119092,2026-09-13T04:41:04.441Z,2943932326842,3796763828,0.33
1789274469.448522688,2026-09-13T04:41:09.449Z,2944615177274,3797572351,0.47
1789274474.457522708,2026-09-13T04:41:14.458Z,2945286999302,3798373808,0.43
1789274479.465930629,2026-09-13T04:41:19.467Z,2945945303524,3799153617,0.55
1789274484.474768323,2026-09-13T04:41:24.476Z,2946596703249,3799921700,0.51
1789274489.482986280,2026-09-13T04:41:29.483Z,2947243759778,3800696860,0.47
1789274494.490745708,2026-09-13T04:41:34.491Z,2947884994694,3801438498,0.43
1789274499.498593869,2026-09-13T04:41:39.499Z,2948546294604,3802235486,0.48
1789274504.506708371,2026-09-13T04:41:44.507Z,2949207325383,3803014033,0.44
1789274509.514667902,2026-09-13T04:41:49.515Z,2949978497386,3803960148,0.48
1789274514.522545957,2026-09-13T04:41:54.523Z,2950661188472,3804764938,0.44
1789274519.530306547,2026-09-13T04:41:59.531Z,2951315477598,3805558565,0.41
1789274524.538931324,2026-09-13T04:42:04.539Z,2951969806131,3806347475,0.46
1789274529.547007591,2026-09-13T04:42:09.548Z,2952663752202,3807193237,0.50
1789274534.555292660,2026-09-13T04:42:14.556Z,2953315828258,3807957163,0.46
1789274539.563275296,2026-09-13T04:42:19.564Z,2953978953257,3808745784,0.42
1789274544.571223501,2026-09-13T04:42:24.572Z,2954644273293,3809504273,0.39
1789274549.580302302,2026-09-13T04:42:29.581Z,2955300812308,3810282466,0.52
1789274554.588191607,2026-09-13T04:42:34.589Z,2956034723534,3811145067,0.48
1789274559.596391432,2026-09-13T04:42:39.597Z,2956713081029,3811928627,0.44
1789274564.604722121,2026-09-13T04:42:44.605Z,2957384575597,3812720772,0.40
1789274569.614165580,2026-09-13T04:42:49.615Z,2958036661215,3813503154,0.37
1789274574.622278887,2026-09-13T04:42:54.623Z,2958691134219,3814255001,0.34
1789274579.630097294,2026-09-13T04:42:59.631Z,2959363057241,3815064137,0.31
1789274584.638110441,2026-09-13T04:43:04.639Z,2960019529001,3815833247,0.29
1789274589.645779494,2026-09-13T04:43:09.646Z,2960682603472,3816623665,0.26
1789274594.653751228,2026-09-13T04:43:14.654Z,2961335467588,3817395024,0.32
1789274599.661570053,2026-09-13T04:43:19.662Z,2961998535648,3818199053,0.38
1789274604.669672150,2026-09-13T04:43:24.670Z,2962680976685,3818998759,0.35
1789274609.677536568,2026-09-13T04:43:29.678Z,2963335308815,3819785624,0.40
1789274614.686717191,2026-09-13T04:43:34.687Z,2964057991645,3820640146,0.53
1789274619.694530907,2026-09-13T04:43:39.695Z,2964733830919,3821436966,0.49
1789274624.702624157,2026-09-13T04:43:44.703Z,2965414026536,3822244820,0.45
1789274629.710595893,2026-09-13T04:43:49.711Z,2966079241326,3823024574,0.57
1789274634.718471965,2026-09-13T04:43:54.719Z,2966738270970,3823803787,0.53
1789274639.726419309,2026-09-13T04:43:59.727Z,2967350332198,3824518380,0.56
1789274644.734251792,2026-09-13T04:44:04.735Z,2968016109232,3825313610,0.52
1789274649.742713102,2026-09-13T04:44:09.743Z,2968669234772,3826059778,0.72
1789274654.750873846,2026-09-13T04:44:14.751Z,2969343255458,3826854245,0.74
1789274659.758696528,2026-09-13T04:44:19.759Z,2969993137990,3827615249,0.76
1789274664.766498446,2026-09-13T04:44:24.767Z,2970647514666,3828400534,0.70
1789274669.774401955,2026-09-13T04:44:29.775Z,2971318684302,3829184684,0.64
1789274674.782427780,2026-09-13T04:44:34.783Z,2971959836632,3829936039,0.59
1789274679.790374193,2026-09-13T04:44:39.791Z,2972618886884,3830705696,0.54
1789274684.798096796,2026-09-13T04:44:44.799Z,2973275372460,3831481030,0.50
1789274689.806397063,2026-09-13T04:44:49.807Z,2973948343188,3832269426,0.46
1789274694.814621375,2026-09-13T04:44:54.815Z,2974603708466,3833056785,0.42
1789274699.822453981,2026-09-13T04:44:59.823Z,2975308432788,3833877878,0.39
1789274704.830257906,2026-09-13T04:45:04.831Z,2975936319658,3834607585,0.36
1789274709.838622487,2026-09-13T04:45:09.839Z,2976581914298,3835380595,0.41
1789274714.846427909,2026-09-13T04:45:14.847Z,2977244996103,3836175176,0.38
1789274719.854311023,2026-09-13T04:45:19.855Z,2977910224329,3836973867,0.35
1789274724.862788835,2026-09-13T04:45:24.863Z,2978579911831,3837777716,0.32
1789274729.870659537,2026-09-13T04:45:29.871Z,2979285688178,3838601968,0.29
1789274734.878427519,2026-09-13T04:45:34.879Z,2979982189289,3839429734,0.27
1789274739.886249510,2026-09-13T04:45:39.887Z,2980621713360,3840193303,0.25
1789274744.894050812,2026-09-13T04:45:44.895Z,2981262803654,3840946473,0.23
1789274749.901788564,2026-09-13T04:45:49.902Z,2981908356210,3841713001,0.21
1789274754.909699862,2026-09-13T04:45:54.910Z,2982553842718,3842485597,0.35
1789274759.917674466,2026-09-13T04:45:59.918Z,2983221209260,3843261581,0.40
1789274764.925498021,2026-09-13T04:46:04.926Z,2983947632966,3844101635,0.37
1789274769.933691362,2026-09-13T04:46:09.934Z,2984616368862,3844885159,0.34
1789274774.941528025,2026-09-13T04:46:14.942Z,2985259554284,3845632256,0.39
1789274779.949264341,2026-09-13T04:46:19.950Z,2985913846150,3846383431,0.36
1789274784.957136918,2026-09-13T04:46:24.958Z,2986565864964,3847146725,0.33
1789274789.964863324,2026-09-13T04:46:29.965Z,2987220141525,3847915418,0.47
1789274794.972778199,2026-09-13T04:46:34.973Z,2987870137698,3848681444,0.67
1789274799.980716875,2026-09-13T04:46:39.981Z,2988518869684,3849462051,0.62
1789274804.988457821,2026-09-13T04:46:44.989Z,2989175356856,3850227913,0.57
1789274809.996526403,2026-09-13T04:46:49.997Z,2989849513403,3851043573,0.52
1789274815.004428193,2026-09-13T04:46:55.005Z,2990499404073,3851824655,0.48
1789274820.012265965,2026-09-13T04:47:00.013Z,2991153677581,3852585735,0.44
1789274825.020093908,2026-09-13T04:47:05.021Z,2991807503643,3853345961,0.41
1789274830.028174524,2026-09-13T04:47:10.029Z,2992453508255,3854104580,0.37
1789274835.036043605,2026-09-13T04:47:15.037Z,2993185339534,3854982333,0.34
1789274840.043984321,2026-09-13T04:47:20.045Z,2993837416848,3855730700,0.31
1789274845.052699502,2026-09-13T04:47:25.053Z,2994525252402,3856549503,0.37
