NAMESPACE   LAST SEEN   TYPE      REASON      OBJECT             MESSAGE
bench       22m         Normal    Scheduled   pod/v9b-k1-node2   Successfully assigned bench/v9b-k1-node2 to ocibench-control-plane
bench       22m         Normal    Pulling     pod/v9b-k1-node2   Pulling image "172.31.90.228:5000/model-ballast:estargz-140g"
bench       22m         Normal    Pulled      pod/v9b-k1-node2   Successfully pulled image "172.31.90.228:5000/model-ballast:estargz-140g" in 129ms (129ms including waiting). Image size: 150374665466 bytes.
bench       22m         Normal    Pulling     pod/v9b-k1-node2   Pulling image "172.31.90.228:5000/custom-predictor:v5"
bench       22m         Normal    Pulled      pod/v9b-k1-node2   Successfully pulled image "172.31.90.228:5000/custom-predictor:v5" in 1.005s (1.005s including waiting). Image size: 48519464 bytes.
bench       22m         Normal    Created     pod/v9b-k1-node2   Container created
bench       22m         Normal    Started     pod/v9b-k1-node2   Container started
bench       22m         Warning   Unhealthy   pod/v9b-k1-node2   Readiness probe failed: Get "http://10.244.0.6:8080/healthz": dial tcp 10.244.0.6:8080: connect: connection refused
bench       28s         Normal    Pulled      pod/v9b-k1-node2   Container image "172.31.90.228:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       6s          Normal    Killing     pod/v9b-k1-node2   Stopping container predictor
