ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789281740,2026-09-13T06:42:20Z,2009174,2.009174e+06,0,2009174,0,2009174,88201138176,8e+10,2.5114675e-05,0,0,0,0,0,0,0,2.009174e+06,1,0,0
1789281750,2026-09-13T06:42:30Z,4403916048,2.256209174e+09,2.147706874e+09,2435659174,2386061306,4821720480,93285974016,8e+10,0.0550489506,0,0,0,0,0,11,0,4.403916048e+09,1,0,0
1789281761,2026-09-13T06:42:41Z,9261484675,4.723247747e+09,4.538236928e+09,4723247747,4538236928,9261484675,97811570688,8e+10,0.1157685584375,4096,452392893,610,0,0,0,0,9.261484675e+09,1,0,0
1789281772,2026-09-13T06:42:52Z,8747489731,4.360247747e+09,4.387241984e+09,4427997747,4320133120,8748130867,97393192960,8e+10,0.1093436216375,27978,2628692941,872,0,0,1,0,8.747489731e+09,1,0,0
1789281783,2026-09-13T06:43:03Z,8773582771,4.344397747e+09,4.429185024e+09,4534747747,4630511616,9165259363,97811599360,8e+10,0.1096697846375,56641,5404597437,1537,0,0,0,0,8.773582771e+09,1,0,0
1789281794,2026-09-13T06:43:14Z,8946303667,4.311597747e+09,4.63470592e+09,4382897747,4726980608,9109878355,97767972864,8e+10,0.1118287958375,85313,8002746861,1575,0,0,0,0,8.946303667e+09,1,0,0
1789281805,2026-09-13T06:43:25Z,8458792608,4.2561e+09,4.202692608e+09,4458650000,4362076160,8820726160,97473028096,8e+10,0.1057349076,105793,10398509232,1800,0,0,1,0,8.458792608e+09,1,0,0
1789281816,2026-09-13T06:43:36Z,8800748944,4.45545e+09,4.345298944e+09,4556600000,4466933760,9023533760,97695219712,8e+10,0.1100093618,134465,13282615632,1803,0,0,0,0,8.800748944e+09,1,0,0
1789281826,2026-09-13T06:43:46Z,8815259072,4.4406e+09,4.374659072e+09,4465850000,4366270464,8832120464,97491394560,8e+10,0.1101907384,159041,15667676448,1806,0,0,1,0,8.815259072e+09,1,0,0
1789281837,2026-09-13T06:43:57Z,8791514768,4.42105e+09,4.370464768e+09,4524600000,4487905280,9012505280,97669529600,8e+10,0.1098939346,187713,18489618288,1806,0,0,0,0,8.791514768e+09,1,0,0
1789281848,2026-09-13T06:44:08Z,8705871728,4.37735e+09,4.328521728e+09,4595050000,4550819840,9145869840,97611870208,8e+10,0.1088233966,212289,20916122144,1811,0,0,0,0,8.705871728e+09,1,0,0
1789281859,2026-09-13T06:44:19Z,8661728688,4.37515e+09,4.286578688e+09,4482200000,4416602112,8898802112,97591263232,8e+10,0.1082716086,240961,23783651328,1815,0,0,0,0,8.661728688e+09,1,0,0
1789281870,2026-09-13T06:44:30Z,8643028688,4.35645e+09,4.286578688e+09,4604000000,4538236928,9142236928,97801003008,8e+10,0.1080378586,265537,26193577968,1819,0,0,1,0,8.643028688e+09,1,0,0
1789281881,2026-09-13T06:44:41Z,8606428688,4.31985e+09,4.286578688e+09,4462700000,4437573632,8900273632,97580847104,8e+10,0.1075803586,294209,28994798288,1825,0,0,1,0,8.606428688e+09,1,0,0
