ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789281746.655674226,2026-09-13T06:42:26.656Z,544209893655,1002213467,0.63
1789281751.664986960,2026-09-13T06:42:31.666Z,546210199242,1004237271,0.58
1789281756.678742371,2026-09-13T06:42:36.679Z,547699073660,1005696131,0.61
1789281761.686807719,2026-09-13T06:42:41.687Z,548441163892,1006393675,0.56
1789281766.694366271,2026-09-13T06:42:46.695Z,548931797182,1006912675,0.52
1789281771.702607340,2026-09-13T06:42:51.703Z,549575034152,1007615928,0.56
1789281776.710721894,2026-09-13T06:42:56.711Z,550205214180,1008321089,0.51
1789281781.719289509,2026-09-13T06:43:01.720Z,550868595706,1009054896,0.47
1789281786.727528406,2026-09-13T06:43:06.728Z,551454811880,1009692243,0.43
1789281791.736463862,2026-09-13T06:43:11.737Z,552087108588,1010382159,0.40
1789281796.745103904,2026-09-13T06:43:16.746Z,552718697348,1011097408,0.37
1789281801.753091916,2026-09-13T06:43:21.754Z,553346688214,1011786030,0.42
1789281806.761523830,2026-09-13T06:43:26.762Z,553961498302,1012456009,0.46
1789281811.769691672,2026-09-13T06:43:31.770Z,554600422631,1013149588,0.43
1789281816.778629685,2026-09-13T06:43:36.779Z,555224024529,1013849251,0.39
1789281821.787195670,2026-09-13T06:43:41.788Z,555867441591,1014566267,0.36
1789281826.796793073,2026-09-13T06:43:46.797Z,556502039861,1015272197,0.41
1789281831.804686348,2026-09-13T06:43:51.805Z,557121188205,1015954680,0.38
1789281836.812706302,2026-09-13T06:43:56.813Z,557724957289,1016606385,0.43
1789281841.821541765,2026-09-13T06:44:01.822Z,558341957483,1017283381,0.39
1789281846.830887950,2026-09-13T06:44:06.831Z,558958949596,1017933494,0.36
1789281851.839028327,2026-09-13T06:44:11.840Z,559591349545,1018632171,0.33
1789281856.847011121,2026-09-13T06:44:16.848Z,560239294681,1019377893,0.31
1789281861.855722038,2026-09-13T06:44:21.856Z,560862903894,1020099109,0.28
1789281866.863761901,2026-09-13T06:44:26.864Z,561486563634,1020795027,0.34
1789281871.872286570,2026-09-13T06:44:31.873Z,562131167824,1021517860,0.31
1789281876.881200150,2026-09-13T06:44:36.882Z,562747906144,1022203461,0.37
1789281881.890686185,2026-09-13T06:44:41.891Z,563369263844,1022899558,0.34
1789281886.898958298,2026-09-13T06:44:46.899Z,563994997668,1023593731,0.31
1789281891.906842654,2026-09-13T06:44:51.907Z,564603214218,1024237859,0.28
1789281896.914947134,2026-09-13T06:44:56.916Z,565224571140,1024923565,0.26
1789281901.922774145,2026-09-13T06:45:01.923Z,565817429870,1025550429,0.24
1789281906.931510745,2026-09-13T06:45:06.932Z,566419055858,1026198476,0.30
1789281911.939519731,2026-09-13T06:45:11.940Z,567022837206,1026851824,0.36
1789281916.948516449,2026-09-13T06:45:16.949Z,567635452410,1027548599,0.33
1789281921.956669522,2026-09-13T06:45:21.957Z,568248064054,1028224694,0.30
1789281926.964759003,2026-09-13T06:45:26.965Z,568876009656,1028921049,0.28
1789281931.973327128,2026-09-13T06:45:31.974Z,569512706132,1029639987,0.34
1789281936.981432374,2026-09-13T06:45:36.982Z,570162578268,1030369877,0.31
1789281941.989445699,2026-09-13T06:45:41.990Z,570781739382,1031056503,0.36
1789281946.997461308,2026-09-13T06:45:46.998Z,571396496764,1031726381,0.33
1789281952.005746058,2026-09-13T06:45:52.006Z,571999817526,1032411731,0.39
1789281957.013949587,2026-09-13T06:45:57.014Z,572594808118,1033053841,0.36
