ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789284541,2026-09-13T07:29:01Z,2272568530,1.194409174e+09,1.078159356e+09,1254609174,1078159356,2332768530,90631622656,8e+10,0.028407106625,0,0,0,2,0,0,0,2.27256853e+09,1,0,0
1789284552,2026-09-13T07:29:12Z,7396599666,3.764109174e+09,3.632490492e+09,3969709174,3851380732,7821089906,96657932288,8e+10,0.092457495825,0,0,0,2,0,3,0,7.396599666e+09,1,0,0
1789284563,2026-09-13T07:29:23Z,9128056499,4.606596787e+09,4.521459712e+09,4704496787,4559208448,9263705235,97811599360,8e+10,0.1141007062375,4096,452293855,1244,2,0,0,0,9.128056499e+09,1,0,0
1789284574,2026-09-13T07:29:34Z,9128056499,4.606596787e+09,4.521459712e+09,4704496787,4559208448,9263705235,97811599360,8e+10,0.1141007062375,4096,452293855,1244,2,0,0,0,9.128056499e+09,1,0,0
1789284584,2026-09-13T07:29:44Z,8637299523,4.405246787e+09,4.232052736e+09,4633196787,4408213504,9041410291,97714552832,8e+10,0.1079662440375,8192,943050831,1245,2,0,0,0,8.637299523e+09,1,0,0
1789284595,2026-09-13T07:29:55Z,8072556467,4.213796787e+09,3.85875968e+09,4632046787,4223664128,8855710915,97550860288,8e+10,0.1009069558375,36864,3947342047,3361,2,0,1,0,8.072556467e+09,1,0,0
1789284606,2026-09-13T07:30:06Z,8670418515,4.341896787e+09,4.328521728e+09,4599246787,4529848320,9129095107,97800450048,8e+10,0.1083802314375,65536,6437739567,3864,2,0,0,0,8.670418515e+09,1,0,0
1789284617,2026-09-13T07:30:17Z,8829672947,4.467596787e+09,4.36207616e+09,4545000000,4307550208,8852550208,97484156928,8e+10,0.1103709118375,90112,8959562415,4750,2,0,1,0,8.829672947e+09,1,0,0
1789284628,2026-09-13T07:30:28Z,8693883120,4.37375e+09,4.32013312e+09,4639300000,4529848320,9169148320,97330839552,8e+10,0.108673539,118784,11740058002,4753,2,0,0,0,8.69388312e+09,1,0,0
1789284639,2026-09-13T07:30:39Z,8749787552,4.3961e+09,4.353687552e+09,4559000000,4469030912,9028030912,97702928384,8e+10,0.1093723444,147456,14566144146,4757,2,0,0,0,8.749787552e+09,1,0,0
1789284650,2026-09-13T07:30:50Z,8304023616,4.1978e+09,4.106223616e+09,4680332768,4534042624,9214375392,97545277440,8e+10,0.1038002952,172032,17042379650,4761,2,0,0,0,8.304023616e+09,1,0,0
1789284661,2026-09-13T07:31:01Z,8268169184,4.1955e+09,4.072669184e+09,4588900000,4412407808,9001307808,97672163328,8e+10,0.1033521148,200704,19905764530,4763,2,0,0,0,8.268169184e+09,1,0,0
1789284671,2026-09-13T07:31:11Z,8398338176,4.2292e+09,4.169138176e+09,4504150000,4391436288,8895586288,97588547584,8e+10,0.1049792272,229376,22690407634,4763,2,0,1,0,8.398338176e+09,1,0,0
1789284682,2026-09-13T07:31:22Z,8421982480,4.24865e+09,4.17333248e+09,4635700000,4517265408,9152965408,97596350464,8e+10,0.105274781,253952,25129344402,4764,2,0,1,0,8.42198248e+09,1,0,0
1789284693,2026-09-13T07:31:33Z,8502274256,4.24925e+09,4.253024256e+09,4523450000,4492099584,9015549584,97707687936,8e+10,0.1062784282,282624,27884977378,4770,2,0,0,0,8.502274256e+09,1,0,0
1789284704,2026-09-13T07:31:44Z,8479952736,4.2479e+09,4.232052736e+09,4643700000,4582277120,9225977120,97416318976,8e+10,0.1059994092,307200,30336347058,4771,2,0,0,0,8.479952736e+09,1,0,0
1789284715,2026-09-13T07:31:55Z,8435976784,4.25845e+09,4.177526784e+09,4542400000,4420796416,8963196416,97655672832,8e+10,0.1054497098,335872,33232886370,4775,2,0,1,0,8.435976784e+09,1,0,0
1789284726,2026-09-13T07:32:06Z,8413293872,4.24835e+09,4.164943872e+09,4634750000,4510973952,9145723952,97731174400,8e+10,0.1051661734,360448,35663534530,4778,2,0,1,0,8.413293872e+09,1,0,0
1789284737,2026-09-13T07:32:17Z,8468352736,4.2363e+09,4.232052736e+09,4528000000,4483710976,9011710976,97705209856,8e+10,0.1058544092,389120,38419167506,4784,2,0,1,0,8.468352736e+09,1,0,0
1789284748,2026-09-13T07:32:28Z,8401654000,4.20735e+09,4.194304e+09,4629000000,4559208448,9188208448,97382989824,8e+10,0.105020675,413696,40853959970,4785,2,0,1,0,8.401654e+09,1,0,0
1789284758,2026-09-13T07:32:38Z,8271412224,4.1568e+09,4.114612224e+09,4487150000,4404019200,8891169200,97590202368,8e+10,0.1033926528,442367,43717294850,4789,2,0,0,0,8.271412224e+09,1,0,0
1789284769,2026-09-13T07:32:49Z,8701616032,4.3689e+09,4.332716032e+09,4587950000,4513071104,9101021104,97786257408,8e+10,0.1087702004,466942,46135460098,4793,2,0,1,0,8.701616032e+09,1,0,0
1789284780,2026-09-13T07:33:00Z,8878829328,4.44545e+09,4.433379328e+09,4527100000,4345298944,8872398944,97486028800,8e+10,0.1109853666,491517,48541192434,4795,2,0,0,0,8.878829328e+09,1,0,0
1789284791,2026-09-13T07:33:11Z,8526136912,4.31925e+09,4.206886912e+09,4545900000,4391436288,8937336288,97645010944,8e+10,0.1065767114,520189,51475030482,4800,2,0,0,0,8.526136912e+09,1,0,0
1789284802,2026-09-13T07:33:22Z,9032371104,4.5193e+09,4.513071104e+09,4447350000,4341104640,8788454640,97481732096,8e+10,0.1129046388,544763,53797826738,4800,2,0,0,0,9.032371104e+09,1,0,0
1789284813,2026-09-13T07:33:33Z,8593978688,4.3074e+09,4.286578688e+09,4528500000,4469030912,8997530912,97703800832,8e+10,0.1074247336,573435,56644634402,4801,2,0,1,0,8.593978688e+09,1,0,0
1789284824,2026-09-13T07:33:44Z,8452888176,4.28375e+09,4.169138176e+09,4610150000,4454350848,9064500848,97756254208,8e+10,0.1056611022,598010,59166407250,4804,2,0,0,0,8.452888176e+09,1,0,0
1789284835,2026-09-13T07:33:55Z,8392372352,4.2484e+09,4.143972352e+09,4698700000,4397727744,9096427744,97568534528,8e+10,0.1049046544,622585,61584572498,4805,2,0,0,0,8.392372352e+09,1,0,0
1789284845,2026-09-13T07:34:05Z,8459969824,4.2405e+09,4.219469824e+09,4595650000,4529848320,9125498320,97799192576,8e+10,0.1057496228,651255,64331816866,4808,2,0,0,0,8.459969824e+09,1,0,0
1789284856,2026-09-13T07:34:16Z,8308446400,4.219e+09,4.0894464e+09,4669900000,4500488192,9170388192,97503338496,8e+10,0.10385558,675831,66866072626,4814,2,0,0,0,8.3084464e+09,1,0,0
1789284867,2026-09-13T07:34:27Z,8375565392,4.18965e+09,4.185915392e+09,4559550000,4513071104,9072621104,97755807744,8e+10,0.1046945674,704502,69580212562,4818,2,0,1,0,8.375565392e+09,1,0,0
1789284878,2026-09-13T07:34:38Z,8639362864,4.37795e+09,4.261412864e+09,4681450000,4504682496,9186132496,97494188032,8e+10,0.1079920358,729077,72118562626,4822,2,0,0,0,8.639362864e+09,1,0,0
1789284889,2026-09-13T07:34:49Z,8708748944,4.36345e+09,4.345298944e+09,4522800000,4458545152,8981345152,97699807232,8e+10,0.1088593618,757748,74853424082,4823,2,0,0,0,8.708748944e+09,1,0,0
1789284900,2026-09-13T07:35:00Z,8601129952,4.3523e+09,4.248829952e+09,4628900000,4471128064,9100028064,97793024000,8e+10,0.1075141244,782323,77366908322,4825,2,0,1,0,8.601129952e+09,1,0,0
1789284911,2026-09-13T07:35:11Z,8737444512,4.4257e+09,4.311744512e+09,4639750000,4408213504,9047963504,97598574592,8e+10,0.1092180564,806899,79801700786,4826,2,0,1,0,8.737444512e+09,1,0,0
1789284922,2026-09-13T07:35:22Z,8572384384,4.29e+09,4.282384384e+09,4563600000,4517265408,9080865408,97775853568,8e+10,0.1071548048,835570,82532417938,4829,2,0,1,0,8.572384384e+09,1,0,0
1789284933,2026-09-13T07:35:33Z,8370539440,4.23915e+09,4.13138944e+09,4639000000,4479516672,9118516672,97804492800,8e+10,0.104631743,860145,85058335090,4830,2,0,1,0,8.37053944e+09,1,0,0
