ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789284567.238083441,2026-09-13T07:29:27.239Z,1211478434630,1716419073,1.73
1789284572.245888980,2026-09-13T07:29:32.246Z,1211478434630,1716419073,1.59
1789284577.253783003,2026-09-13T07:29:37.254Z,1211478434630,1716419073,1.47
1789284582.261438158,2026-09-13T07:29:42.262Z,1211478440745,1716423390,1.35
1789284587.269056732,2026-09-13T07:29:47.270Z,1212868828842,1717875637,1.56
1789284592.277189432,2026-09-13T07:29:52.278Z,1214973955654,1720048358,1.43
1789284597.286058203,2026-09-13T07:29:57.287Z,1216925120324,1722098291,1.56
1789284602.294476685,2026-09-13T07:30:02.295Z,1218850490246,1724095879,1.52
1789284607.302828807,2026-09-13T07:30:07.303Z,1220782311517,1726286567,1.47
1789284612.311757445,2026-09-13T07:30:12.312Z,1222780569370,1728405738,1.36
1789284617.321702129,2026-09-13T07:30:17.322Z,1224675276081,1730415284,1.41
1789284622.330929511,2026-09-13T07:30:22.332Z,1226601216730,1732476738,1.37
1789284627.342041124,2026-09-13T07:30:27.343Z,1228583636389,1734497081,1.26
1789284632.350224084,2026-09-13T07:30:32.351Z,1230542377987,1736551523,1.16
1789284637.359284058,2026-09-13T07:30:37.360Z,1232514733241,1738652321,1.23
1789284642.369573673,2026-09-13T07:30:42.371Z,1234460047050,1740704263,1.29
1789284647.379963505,2026-09-13T07:30:47.381Z,1236385705316,1742733451,1.27
1789284652.388707655,2026-09-13T07:30:52.389Z,1238308068210,1744759884,1.33
1789284657.398094173,2026-09-13T07:30:57.399Z,1240234831643,1746784532,1.46
1789284662.406178693,2026-09-13T07:31:02.407Z,1242160155903,1748792364,1.34
1789284667.414806943,2026-09-13T07:31:07.415Z,1244109173127,1750907961,1.24
1789284672.424195995,2026-09-13T07:31:12.425Z,1246070450102,1752945692,1.38
1789284677.432191198,2026-09-13T07:31:17.433Z,1248007416559,1754967451,1.51
1789284682.440352003,2026-09-13T07:31:22.441Z,1249946584014,1757029133,1.55
1789284687.449607798,2026-09-13T07:31:27.450Z,1251841937394,1759030963,1.42
1789284692.458532809,2026-09-13T07:31:32.459Z,1253766183814,1761138739,1.39
1789284697.468009147,2026-09-13T07:31:37.469Z,1255700487987,1763212064,1.68
1789284702.477302608,2026-09-13T07:31:42.478Z,1257608601905,1765303219,1.54
1789284707.486060416,2026-09-13T07:31:47.487Z,1259545603910,1767334228,1.42
1789284712.494497699,2026-09-13T07:31:52.495Z,1261454174218,1769437220,1.39
1789284717.503049373,2026-09-13T07:31:57.504Z,1263343191510,1771496740,1.60
1789284722.511197726,2026-09-13T07:32:02.512Z,1265258956795,1773514711,1.47
1789284727.520429174,2026-09-13T07:32:07.521Z,1267146918352,1775489736,1.35
1789284732.529190534,2026-09-13T07:32:12.530Z,1269066752272,1777501109,1.32
1789284737.537606529,2026-09-13T07:32:17.538Z,1270974978162,1779601205,1.30
1789284742.546738713,2026-09-13T07:32:22.548Z,1272835797644,1781562311,1.27
