ts,iso,metric_bytes,metric_http,metric_fs,du_http,du_fs,du_total,df_used,budget,occ_ratio,evictions,evicted_bytes,writes_skipped,fetch_errors,dropped,pinned,rebuilding,pressure,rebuilds,lock_lost,lock_retry
1789240610,2026-09-12T19:16:50Z,2124570318,1.100936534e+09,1.023633784e+09,1556336534,1088350584,2644687118,3562975232,8e+10,0.026557128975,0,0,0,0,0,1,0,2.124570318e+09,1,0,0
1789240621,2026-09-12T19:17:01Z,5825736862,2.973386534e+09,2.852350328e+09,3223136534,3116591480,6339728014,6869192704,8e+10,0.072821710775,0,0,0,2,0,1,0,5.825736862e+09,1,0,0
1789240632,2026-09-12T19:17:12Z,9360688846,4.742536534e+09,4.618152312e+09,4999786534,4903364984,9903151518,10596823040,8e+10,0.117008610575,0,0,0,2,0,1,0,9.360688846e+09,1,0,0
1789240643,2026-09-12T19:17:23Z,13119937038,6.622736534e+09,6.497200504e+09,6800186534,6679652728,13479839262,14280273920,8e+10,0.163999212975,0,0,0,2,0,0,0,1.3119937038e+10,1,0,0
1789240655,2026-09-12T19:17:35Z,16800886494,8.462386534e+09,8.33849996e+09,8745936534,8657267064,17403203598,18457903104,8e+10,0.210011081175,0,0,0,2,0,0,0,1.6800886494e+10,1,0,0
1789240666,2026-09-12T19:17:46Z,20712582158,1.0419536534e+10,1.0293045624e+10,10735936534,10649561464,21385497998,22631276544,8e+10,0.258907276975,0,0,0,2,0,0,0,2.0712582158e+10,1,0,0
1789240678,2026-09-12T19:17:58Z,24730603774,1.2428486534e+10,1.230211724e+10,12572236534,12486666616,25058903150,26468536320,8e+10,0.309132547175,0,0,0,2,0,0,0,2.4730603774e+10,1,0,0
1789240690,2026-09-12T19:18:10Z,28380876014,1.4254236534e+10,1.412663948e+10,14471936534,14382492024,28854428558,30429388800,8e+10,0.354760950175,0,0,0,2,0,0,0,2.8380876014e+10,1,0,0
1789240703,2026-09-12T19:18:23Z,32070769774,1.6098636534e+10,1.597213324e+10,16442136534,16341231992,32783368526,34609909760,8e+10,0.400884622175,0,0,0,2,0,0,0,3.2070769774e+10,1,0,0
1789240715,2026-09-12T19:18:35Z,36065158478,1.8096536534e+10,1.7968621944e+10,18433686534,18400635256,36834321790,38921457664,8e+10,0.450814480975,0,0,0,2,0,1,0,3.6065158478e+10,1,0,0
1789240728,2026-09-12T19:18:48Z,40068741486,2.0099436534e+10,1.9969304952e+10,20449736534,20330015096,40779751630,42955763712,8e+10,0.500859268575,0,0,0,2,0,1,0,4.0068741486e+10,1,0,0
1789240740,2026-09-12T19:19:01Z,44514972606,2.2322686534e+10,2.2192286072e+10,22489736534,22464915832,44954652366,47445733376,8e+10,0.556437157575,0,0,0,2,0,0,0,4.4514972606e+10,1,0,0
1789240754,2026-09-12T19:19:14Z,48778329038,2.4455336534e+10,2.4322992504e+10,24720886534,24624982392,49345868926,52018429952,8e+10,0.609729112975,0,0,0,2,0,0,0,4.8778329038e+10,1,0,0
1789240767,2026-09-12T19:19:27Z,52659741790,2.6394786534e+10,2.6264955256e+10,26689336534,26655025528,53344362062,56117190656,8e+10,0.658246772375,0,0,0,2,0,0,0,5.265974179e+10,1,0,0
1789240781,2026-09-12T19:19:41Z,57041968478,2.8587586534e+10,2.8454381944e+10,28833286534,28869618040,57702904574,60715393024,8e+10,0.713024605975,0,0,0,2,0,0,0,5.7041968478e+10,1,0,0
1789240794,2026-09-12T19:19:54Z,61228026174,3.0680686534e+10,3.054733964e+10,30994636534,31004518776,61999155310,65249972224,8e+10,0.765350327175,0,0,0,2,0,1,0,6.1228026174e+10,1,0,0
1789240808,2026-09-12T19:20:08Z,65816110462,3.2974486534e+10,3.2841623928e+10,33223586534,33202334072,66425920606,69809942528,8e+10,0.822701380775,0,0,0,2,0,0,0,6.5816110462e+10,1,0,0
1789240822,2026-09-12T19:20:22Z,70290474494,3.5213286534e+10,3.507718796e+10,35577336534,35454675320,71032011854,74569646080,8e+10,0.878630931175,0,0,0,2,0,1,0,7.0290474494e+10,1,0,0
1789240837,2026-09-12T19:20:37Z,74677145486,3.7406336534e+10,3.7270808952e+10,37678236534,37660879224,75339115758,79020670976,8e+10,0.933464318575,0,0,0,2,0,0,0,7.4677145486e+10,1,0,0
1789240851,2026-09-12T19:20:51Z,75963822080,3.81312e+10,3.783262208e+10,38000850000,37975228416,75976078416,78847090688,8e+10,0.949547776,28672,2989968446,0,2,0,0,0,7.596382208e+10,1,0,0
1789240865,2026-09-12T19:21:05Z,75977022720,3.79976e+10,3.797942272e+10,37962650000,37987811328,75950461328,78979059712,8e+10,0.949712784,77824,7569452094,0,2,0,0,0,7.597702272e+10,1,0,0
1789240880,2026-09-12T19:21:20Z,75868782208,3.80068e+10,3.7861982208e+10,39435650000,39426457600,78862107600,80703733760,8e+10,0.9483597776,98304,9720702782,0,2,16215,1,0,7.5868782208e+10,1,0,0
1789240894,2026-09-12T19:21:34Z,74376572048,3.720665e+10,3.7169922048e+10,39969300000,40139489280,80108789280,83881197568,8e+10,1.0001504256,131072,12846907918,0,2,46515,0,0,8.0012034048e+10,1,0,0
1789240909,2026-09-12T19:21:49Z,69086153888,4.09969e+10,2.8089253888e+10,41771400000,28454158336,70225558336,74495721472,8e+10,0.8781868782875,146392,27454883278,0,2,65922,1,0,7.0254950263e+10,2,0,0
1789240923,2026-09-12T19:22:03Z,73532635008,4.32204e+10,3.0312235008e+10,44154179961,30723276800,74877456761,71009529856,8e+10,0.9339052949125,146392,27454883278,0,2,65922,0,0,7.4712423593e+10,2,0,0
1789240938,2026-09-12T19:22:18Z,69966139986,4.5446238802e+10,2.4519901184e+10,46223036549,24939331584,71162368133,75866677248,8e+10,0.887947109075,148304,35474392526,0,2,65922,0,0,7.1035768726e+10,2,0,0
1789240953,2026-09-12T19:22:33Z,74869953984,4.7900579264e+10,2.696937472e+10,48666579264,19180552192,67847131456,72721711104,8e+10,0.949445119175,148304,35474392526,0,2,65922,0,0,7.5955609534e+10,2,0,0
