NAMESPACE   LAST SEEN   TYPE      REASON      OBJECT          MESSAGE
bench       40m         Normal    Scheduled   pod/probe140    Successfully assigned bench/probe140 to ocibench-control-plane
bench       40m         Normal    Pulling     pod/probe140    Pulling image "172.31.0.84:5000/model-ballast:estargz-140g"
bench       40m         Warning   Unhealthy   pod/probe140    Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
bench       40m         Normal    Pulled      pod/probe140    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       40m         Normal    Created     pod/probe140    Container created
bench       40m         Normal    Started     pod/probe140    Container started
bench       40m         Normal    Pulled      pod/probe140    Successfully pulled image "172.31.0.84:5000/model-ballast:estargz-140g" in 104ms (104ms including waiting). Image size: 150374665466 bytes.
bench       40m         Normal    Pulled      pod/probe140    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       39m         Normal    Killing     pod/probe140    Stopping container predictor
bench       36m         Normal    Started     pod/v9c-p1-0    Container started
bench       36m         Normal    Scheduled   pod/v9c-p1-0    Successfully assigned bench/v9c-p1-0 to ocibench-control-plane
bench       36m         Normal    Pulled      pod/v9c-p1-0    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       36m         Normal    Created     pod/v9c-p1-0    Container created
bench       20m         Normal    Pulled      pod/v9c-p1-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       19m         Normal    Killing     pod/v9c-p1-0    Stopping container predictor
bench       19m         Warning   Unhealthy   pod/v9c-p1-0    Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
bench       19m         Normal    Scheduled   pod/v9c-p1-90   Successfully assigned bench/v9c-p1-90 to ocibench-control-plane
bench       19m         Normal    Pulled      pod/v9c-p1-90   Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       19m         Normal    Created     pod/v9c-p1-90   Container created
bench       19m         Normal    Started     pod/v9c-p1-90   Container started
bench       19m         Warning   Unhealthy   pod/v9c-p1-90   Readiness probe failed: Get "http://10.244.0.9:8080/healthz": dial tcp 10.244.0.9:8080: connect: connection refused
bench       22s         Normal    Pulled      pod/v9c-p1-90   Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       6s          Normal    Killing     pod/v9c-p1-90   Stopping container predictor
